#
# EXTENSION TERMS AS TAB FILE FOR Darwin Core Event
# ROWTYPE: dwc:Event
#
TERM	QUALIFIED TERM	DESCRIPTION	EXAMPLES	LINK	DATA TYPE	REQUIRED
type	http://purl.org/dc/terms/type	The nature or genre of the resource. For Darwin Core, recommended best practice is to use the name of the class that defines the root of the record.	"StillImage", "MovingImage", "Sound", "PhysicalObject", "Event"	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:type	http://dublincore.org/documents/dcmi-type-vocabulary/	false
modified	http://purl.org/dc/terms/modified	The most recent date-time on which the resource was changed. For Darwin Core, recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E)	"1963-03-08T14:07-0600" is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, "2009-02-20T08:40Z" is 20 Feb 2009 8:40am UTC, "1809-02-12" is 12 Feb 1809, "1906-06" is Jun 1906, "1971" is just that year, "2007-03-01T13:00:00Z/2008-05-11T15:30:00Z" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, "2007-11-13/15" is the interval between 13 Nov 2007 and 15 Nov 2007	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:modified	date	false
language	http://purl.org/dc/terms/language	A language of the resource. Recommended best practice is to use a controlled vocabulary such as RFC 4646 [RFC4646]	"en" for English, "es" for Spanish	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:language	string	false
license	http://purl.org/dc/terms/license	A legal document giving official permission to do something with the resource.	"http://creativecommons.org/publicdomain/zero/1.0/legalcode", "http://creativecommons.org/licenses/by/4.0/legalcode"	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:license	string	false
rightsHolder	http://purl.org/dc/terms/rightsHolder	A person or organization owning or managing rights over the resource	"The Regents of the University of California."	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:rightsHolder	string	false
accessRights	http://purl.org/dc/terms/accessRights	Information about who can access the resource or an indication of its security status. Access Rights may include information regarding access or restrictions based on privacy, security, or other policies	"not-for-profit use only"	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:accessRights	string	false
bibliographicCitation	http://purl.org/dc/terms/bibliographicCitation	A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used. Recommended practice is to include sufficient bibliographic detail to identify the resource as unambiguously as possible	"Ctenomys sociabilis (MVZ 165861)" for a specimen, "Oliver P. Pearson. 1985. Los tuco-tucos (genera Ctenomys) de los Parques Nacionales Lanin y Nahuel Huapi, Argentina Historia Natural, 5(37):337-343." for a Taxon	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:bibliographicCitation	string	false
references	http://purl.org/dc/terms/references	A URL to a related resource that is referenced, cited, or otherwise pointed to by the described resource. Often another webpage showing the same, but richer resource	http://www.itis.gov/servlet/SingleRpt/SingleRpt?search_topic=TSN&search_value=552479	http://rs.tdwg.org/dwc/terms/index.htm#dcterms:references	uri	false
institutionID	http://rs.tdwg.org/dwc/terms/institutionID	An identifier for the institution having custody of the object(s) or information referred to in the record.		http://rs.tdwg.org/dwc/terms/index.htm#institutionID	string	false
datasetID	http://rs.tdwg.org/dwc/terms/datasetID	An identifier for the set of data. May be a global unique identifier or an identifier specific to a collection or institution.		http://rs.tdwg.org/dwc/terms/index.htm#datasetID	string	false
