"","termID","term","measurementTypeID","measurementType","dataType","originalField_AIM","originalField_NRSA","originalField_PIBO","originalField_AREMP","originalUnit_AIM","originalUnit_NRSA","originalUnit_PIBO","originalUnit_AREMP","originalDataType_AIM","originalDataType_NRSA","originalDataType_PIBO","originalDataType_AREMP","methodCollection_AIM","methodCollection_NRSA","methodCollection_PIBO","methodCollection_AREMP","methodAnalysis_AIM","methodAnalysis_NRSA","methodAnalysis_PIBO","methodAnalysis_AREMP","entity","definition","minrange","maxrange","units","sourcedefinition","unboundeddefinition","enumerateddomain","NAorBlankcell","NAdefinition","standard","noteAndConventions"
"1",103,"datasetName",NA,"","String",NA,"datasetName",NA,NA,NA,NA,NA,NA,NA,"String",NA,NA,NA,"NA ",NA,NA,NA,"NA ",NA,NA,"RecordLevel","The name of the originating data set from which the record was derived.","","","","Producer defined","Unbounded list of text","n","noNAs","","Darwin Core",""
"2",201,"verbatimLocationID",NA,"","String","PointID","SITE_ID","SiteID","SITE_ID",NA,NA,NA,NA,"String","String","Integer","String",NA,NA,NA,NA,NA,NA,NA,NA,"Location","The verbatim location ID from the originating source dataset assigned by the monitoring program.","","","","Producer defined","Unbounded list of alphanumeric text","n","noNAs",NA,"Producer defined",""
"3",205,"siteSelectionType",NA,"","String","PointSelectionType","SITETYPE","Project",NA,NA,NA,NA,NA,"String","String","String",NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","The type of site selection used according to the program.","","","","Producer defined","","y","hasNA","Site selection not known or reported by the program.","Producer defined","tbd"
"4",206,"waterBody",NA,"","String","StreamName","GNIS_NAME","Stream",NA,NA,NA,NA,NA,"String","String","String",NA,NA,NA,NA,NA,NA,"NA ",NA,NA,"Location","The name of the water body in which the location occurs.","","","","Producer defined","Unbounded list of text","n","hasNA","Water body name not reported in the original dataset.","Darwin Core",""
"5",301,"verbatimEventID",NA,"","String","EvaluationID","UID","RchID","site_survey_id",NA,NA,NA,NA,"String","String","Integer","String",NA,NA,NA,NA,NA,NA,NA,NA,"Event","The verbatim event ID from the originating source dataset assigned by the program.","","","","Producer defined","Unbounded list of alphanumeric text","n","noNAs","","Producer defined","from source datasets converted to string. Reference to source datasets unique identifier for location data.  "
"6",302,"eventDate",NA,"","Date","FieldEvalDate","DATE_COL","SampDate","survey_date","m/d/yyyy",NA,NA,NA,"Date","Date","Date","Date",NA,NA,NA,NA,NA,NA,NA,NA,"Event","The calendar date of the event from the source data.","5/20/2000","10/15/2021","calendar date (yyyy-mm-dd)","Producer defined","","n","hasNA","Source data from AREMP do not contain month or day, so no there is no eventDate for those entries.","Darwin Core","Must be ISO format yyyy-mm-dd"
"7",305,"fieldNotes",NA,"","String","PctDry","PCT_DRS","StrmFlow",NA,"percent","percent","Categorical: Flow, No Flow, Other",NA,"Double","Double","String",NA,"https://www.monitoringresources.org/Document/Method/Details/7008","https://www.monitoringresources.org/Document/Method/Details/7080","https://www.monitoringresources.org/Document/Method/Details/924",NA,"https://www.monitoringresources.org/Document/Method/Details/7004","https://www.monitoringresources.org/Document/Method/Details/7081",NA,NA,"Event","The description of flow for the reach.","","","","Producer defined","","y","hasNA","Description of the flow was not included or reported in the source dataset.","Darwin Core","Assigned Categories: Flow (Whole Reach); No Flow Dry; Other"
"8",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","Comma Separated Value (CSV) file containing information about the Monitoring Programs originating source datasets. This table corresponds to the Record table in the database (.accdb) file.","","","","Producer defined","","n","noNAs","","",""
"9",100,"datasetID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","A unique identifier assigned to the originating source data's program.","","","","Producer defined","","y","noNAs",NA,"Darwin Core","generated during data integration"
"10",101,"bibilographicCitation",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.","","","","Producer defined","Unbounded list of alphanumeric text","n","hasNA","There is no formal citation for this dataset.","Darwin Core",""
"11",102,"datasetLink",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","URL identifier for the collection or dataset from which the record was derived. The source location for the originating source data or program website.","","","","Producer defined","Unbounded list of alphanumeric text","n","noNAs","","Producer defined",""
"12",104,"institutionCode",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.","","","","Producer defined","","y","noNAs",NA,"Darwin Core",""
"13",105,"metadataID",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","URL identifier for the metadata for the originating source dataset or note how to access metadata.","","","","Producer defined","Unbounded list of alphanumeric text","n","noNAs",NA,"ODM2",""
"14",106,"preProcessingCode",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","URL identifier for access to the code used to pre-process (download, standardize and tidy) the data sets before integration into the destination dataset.","","","","Producer defined","Unbounded list of alphanumeric text","n","blank cell","Pre-processing code was not used for this dataset.","Producer defined",""
"15",107,"projectCode",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","The acronym of the name assigned by the Institution (project leader or principal investigator) to the project, from which the source data originates from.","","","","Producer defined","","y","noNAs",NA,"Producer defined",""
"16",108,"projectName",NA,NA,"String",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"RecordLevel","The name assigned by the Institution (project leader or principal investigator) to the project from which the source data originates from.","","","","Producer defined","Unbounded list of text","n","noNAs",NA,"ODM2",""
"17",NA,"",NA,NA,"",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","Comma Separated Value (CSV) file containing location data for the Integrated Stream Habitat Data. This table corresponds to the Location table in the database (.accdb) file.","","","","Producer defined","","n","noNAs","","",""
"18",100,"datasetID",NA,NA,"Integer",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Location","A unique numeric identifier assigned to the originating source data's program.","","","","Producer defined","","y","noNAs",NA,NA,""
