"SITE_ID","CREEK_CODE","SITE","ORIGINAL_SURVEY_YEAR","SAMPLE_TYPE","REACH_LENGTH","GLOBALID","STATES","HUC_12","unit","AGENCY","Prov","site_survey_id","survey_year","impact_group","poolscore","substratescore","woodscore","habitatscore","gradient","average_bfwidth","average_bfdepth","elevation","pool_fines","substrate","wood_12x25","wood_18x25","lua_group","aquatic_province","states","key_watershed","rotation_panel","creek_code","longitude","lattitude","Z","Z2"
"ORBWN0001","ORBWN",1,2009,"STATUS_AND_TREND",160,"{68276C36-7FEB-4F2B-9B61-26E9E93ABD70}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1001",2009,"ref",NA,20.18127744,90.77905227,55.93119978,0.10302087,4.20906621,0.18968938,1655,NA,67.96116504,15,7,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.919548229783,43.7371542109661,0,0
"ORBWN0005","ORBWN",5,2009,"STATUS_AND_TREND",160,"{09129CCA-B586-43D0-9A9B-98AE00EFF0EA}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1005",2009,"middle",NA,25.08399549,34.41711769,29.76557185,0.01907582,3.92080074,0.16394897,1404,NA,74.28571428,5,0,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.858194569941,43.7131772110049,1406.04300000001,1406.04300000001
"ORBWN0009","ORBWN",9,2009,"STATUS_AND_TREND",160,"{777895E5-51C1-4E21-9725-388D0916FDF9}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1009",2009,"ref",35.59504428,47.71127654,37.46643764,39.64075506,0.019846,2.20302217,0.44087437,1753,20.46666667,59.80392156,3,3,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.950126869399,43.7335453210369,1745.626,1745.626
"ORBWN0010","ORBWN",10,2009,"STATUS_AND_TREND",160,"{4744596C-DC0A-4760-9032-46539CE2DF2E}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1010",2009,"middle",NA,0,30.82361279,15.183834,0.01483217,3.81477521,0.18963296,1382,NA,73.26732673,3,0,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.844142230542,43.7085141108983,1385.61500000001,1385.61500000001
"ORBWN0016","ORBWN",16,2009,"STATUS_AND_TREND",160,"{B1B5C4D1-2944-46B8-B8D1-8D56DA19D7E5}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1016",2009,"middle",NA,0,75.80807604,38.05722399,0.0094,4.19379579,0.0822892,1353,NA,89.52380952,7,2,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.824055080524,43.7021758806985,1353.89200000001,1353.89200000001
"ORBWN0017","ORBWN",17,2009,"STATUS_AND_TREND",160,"{5FD4F58F-CF2B-44B0-8ACF-1C8A8295BBDB}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1017",2009,"middle",NA,52.02916593,24.58748412,38.46836213,0.01542566,3.65298427,0.11355106,1392,NA,36.19047619,1,0,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.851837569614,43.7096721512216,1391.143,1391.143
"ORBWN0018","ORBWN",18,2009,"STATUS_AND_TREND",160,"{44CF89EF-C3CF-48F7-B3C4-AFE9D5BFDBF3}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1018",2009,"imp75",0,18.69987855,59.26532604,25.93966247,0.03762739,2.11420452,0.50390377,1504,52.4,86.53846153,7,6,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.874617739672,43.7304467011468,1490.398,1490.398
"ORBWN0021","ORBWN",21,2009,"STATUS_AND_TREND",160,"{1697E65B-3DDE-4082-81BB-B8482B8CC8FD}","OR","170703010205","Deschutes National Forest","FSR6","HC","2009ORBWN1021",2009,"middle",NA,0,48.53407108,24.18912583,0.01497351,2.75625942,0.17641182,1362,NA,71.42857142,2,1,"MATRIX","High Cascades","OR","N",1,"ORBWN",-121.835058259629,43.7047665606234,1362.06299999999,1362.06299999999
"ORBZF0005","ORBZF",5,2009,"STATUS_AND_TREND",160,"{BE21851D-592F-4BE8-BF28-09BC84DEA8BA}","OR","171003010808","Umpqua National Forest","FSR6","WC","2009ORBZF1005",2009,"middle",72.42278383,42.90840496,73.50411111,61.87478798,0.08375263,6.4366271,0.34888462,888,0.266666667,30.47619047,17,11,"MATRIX","Western Cascades","OR","N",1,"ORBZF",-122.861295650772,43.3449028697928,880.687000000005,880.687000000005
"ORBZF0009","ORBZF",9,2009,"STATUS_AND_TREND",160,"{E40689AF-6B0B-489B-B743-7CFAC09A219F}","OR","171003010808","Umpqua National Forest","FSR6","WC","2009ORBZF1009",2009,"middle",41.28288796,23.8231737,33.43936421,31.97667117,0.14624857,5.9009652,0.61339472,608,6.107292033,22.85714285,7,7,"MATRIX","Western Cascades","OR","N",1,"ORBZF",-122.796971999578,43.3124482296153,722.790999999997,722.790999999997
