"SITE_ID","VISIT_NO","DATE_COL","SAMPLED","COM_IM","STAT_ID","QCCSCOND","COM_QCCS","STRMCOND","COM_COND","STRM_DO","COM_DO","STRMTEMP","COM_TEMP","TIME_COM","TEAM_ID","NAME_1","BIOMOR1","GEOMOR1","FORMS1","NAME_2","BIOMOR2","GEOMOR2","FORMS2","NAME_3","BIOMOR3","GEOMOR3","FORMS3","NAME_4","BIOMOR4","GEOMOR4","FORMS4","NAME_5","BIOMOR5","GEOMOR5","FORMS5","NAME_6","NAME_7","NAME_8","COM_CREW","TIME","YEAR" 
"WAZP99-0512",1,06/04/2000,"Yes"," ","X",89,"START 0930, END 0945 (WATER CHEM AND IN SITU)",714,"REPLACED CENSOR ON DO PROBE.  STILL WANT TO CALIBRATE CALIB. REDING @ 15%",0.4,"STREAM DO MEASURED NOT ACCURATE, SHOULD BE AT LEAST 8 MG/L",23.2," "," ","1","MATTHEW HAMILTON"," "," "," ","WES KINNEY"," "," "," ","BILL KEPNER"," "," "," ","ANITA LAHEY"," "," "," ","KARL LEAVITT"," "," "," "," "," "," "," ",".",2000 
"WAZP99-0537",1,05/29/2003,"Yes"," ","X", ," ", ,"% SAT= 105 +-4.",8.5," ",26.5," "," ","1","NICK PARETTI"," ","Y"," ","JOHN FLEMING"," ","Y"," ","ANDREA WOODS","Y"," "," ","ANITA LAHEY"," "," "," "," "," "," "," "," "," "," "," ","10:02",2003 
"WAZP99-0539",1,05/22/2000,"Yes"," ","X",83," ",383," ",8.9," ",21.3," "," ","1","WES KINNEY"," "," "," ","MATTHEW HAMILTON"," "," "," ","BILL KEPNER"," "," "," ","ANITA LAHEY"," "," "," ","KARL LEAVITT"," "," "," "," "," "," "," ",".",2000 
"WAZP99-0545",1,06/05/2000,"Yes"," "," ",88," ",157,"SEE BELOW",4.5,"INCORRECT READING. DO METER WON'T CALIBRATE.",18.6,"SEE BELOW"," ","1","WES KINNEY"," "," "," ","ANITA LAHEY"," "," "," ","MATTHEW HAMILTON"," "," "," ","KARL LEAVITT"," "," "," ","TERRY MYERS"," "," "," ","BILL KEPNER"," "," "," ",".",2000 
"WAZP99-0551",1,05/24/2000,"Yes"," ","X",89," ",509," ",7.3," ",23.8," "," ","1","MATTHEW HAMILTON"," "," "," ","WES KINNEY"," "," "," ","ANITA LAHEY"," "," "," ","KARL LEAVITT"," "," "," ","BILL KEPNER"," "," "," "," "," "," "," ",".",2000 
"WAZP99-0551",1,05/21/2001,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",8.1," ",25.4," "," ","1","PAUL MATSON","Y"," "," ","ANDREA FRANCIS","Y"," "," ","DAVID WARD"," ","Y"," ","CHUCK SCHADE"," ","Y","Y"," "," "," "," "," "," "," "," ","13:20",2001 
"WAZP99-0568",1,05/20/2000,"Yes"," ","X",83," ",880," ",7.3,"ELEVATION 1600",26," "," ","1","WES KINNEY"," "," "," ","MATTHEW HAMILTON"," "," "," ","BILL KEPNER"," "," "," ","ANITA LAHEY"," "," "," ","KARL LEAVITT"," "," "," "," "," "," "," ",".",2000 
"WAZP99-0569",1,06/06/2000,"Yes"," ","X",88," ",105," ", ,"METER IS BROKEN. Q.",13.3," "," ","1","WES KINNEY"," "," "," ","BILL KEPNER"," "," "," ","ANITA LAHEY"," "," "," ","KARL LEAVITT"," "," "," ","TERRY MYERS"," "," "," ","JERRY WARD","MATTHEW HAMILTON"," "," ",".",2000 
"WAZP99-0590",1,09/15/2002,"Yes","CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","X", ," ", ," ",8.9," ",21.4," "," ","1","NICK PARETTI"," ","Y"," ","CHUCK SCHADE"," ","Y"," ","JIM PARENT","Y"," "," ","RYAN SCOTT","Y"," "," "," "," "," "," "," "," "," "," ","16:10",2002 
"WAZP99-0598",1,05/23/2000,"Yes"," ","F",86,"PARK VEHICLES ON ROAD BRIDGE. HIKE UPSTREAM 1/2 MILE ALONG CREEK TO STUDY REACH.",215," ",10.3," ",12.5," "," ","1","WES KINNEY"," "," "," ","MATTHEW HAMILTON"," "," "," ","KARL LEAVITT"," "," "," ","ANITA LAHEY"," "," "," ","BILL KEPNER"," "," "," "," "," "," "," ",".",2000 
