"SITE_ID","YEAR","VISIT_NO","TRANSECT","DATE_COL","TEAM_ID","DBH","HEIGHT","DISTANCE","TREE","NOTREES","SPECIES" 
"WAZP99-0512",2000,1,"A",06/04/2000,"1",".75-2","15-30",75,"Deciduous"," ","COTTONWOOD" 
"WAZP99-0512",2000,1,"B",06/04/2000,"1",".3-.75","5-15",8,"Deciduous"," ","GOODDING WILLOW" 
"WAZP99-0512",2000,1,"C",06/04/2000,"1",".3-.75","5-15",6,"Deciduous"," ","GOODDING WILLOW" 
"WAZP99-0512",2000,1,"D",06/04/2000,"1",".3-.75","5-15",15,"Deciduous"," ","GOODDING WILLOW" 
"WAZP99-0512",2000,1,"E",06/04/2000,"1",".3-.75","5-15",4,"Deciduous"," ","MESQUITE" 
"WAZP99-0512",2000,1,"F",06/04/2000,"1",".3-.75","5-15",3,"Deciduous"," ","COTTONWOOD" 
"WAZP99-0512",2000,1,"G",06/04/2000,"1",".3-.75","5-15",4,"Deciduous"," ","GOODDING WILLOW" 
"WAZP99-0512",2000,1,"H",06/04/2000,"1",".3-.75","5-15",12,"Deciduous"," ","GOODDING WILLOW" 
"WAZP99-0512",2000,1,"I",06/04/2000,"1",".3-.75","5-15",5,"Deciduous"," ","GOODDING WILLOW" 
"WAZP99-0512",2000,1,"J",06/04/2000,"1",".3-.75","5-15",10,"Deciduous"," ","COTTONWOOD" 
"WAZP99-0512",2000,1,"K",06/04/2000,"1",".1-.3","<5",8,"Deciduous"," ","GOODING WILLOW" 
"WAZP99-0537",2003,1,"A",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"B",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"C",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"D",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"E",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"F",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"G",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"H",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"I",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"J",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0537",2003,1,"K",05/29/2003,"1"," "," ", ," ","X"," " 
"WAZP99-0539",2000,1,"A",05/22/2000,"1",".75-2",">30",50,"Deciduous"," ","POPLAR" 
"WAZP99-0539",2000,1,"B",05/22/2000,"1",".1-.3","15-30",10,"Deciduous"," ","SYCAMORE" 
"WAZP99-0539",2000,1,"C",05/22/2000,"1",".1-.3","15-30",7,"Deciduous"," ","ASH" 
"WAZP99-0539",2000,1,"D",05/22/2000,"1",".1-.3","15-30",20,"Deciduous"," ","POPLAR" 
"WAZP99-0539",2000,1,"E",05/22/2000,"1",".3-.75","5-15",4," "," ","SYCAMORE" 
"WAZP99-0539",2000,1,"F",05/22/2000,"1",".3-.75","15-30",70," "," ","SYCAMORE" 
"WAZP99-0539",2000,1,"G",05/22/2000,"1",".3-.75","15-30",30,"Deciduous"," ","WILLOW" 
"WAZP99-0539",2000,1,"H",05/22/2000,"1",".3-.75","15-30",2,"Deciduous"," ","ALDER" 
"WAZP99-0539",2000,1,"I",05/22/2000,"1",".1-.3","5-15",2,"Deciduous"," ","ALDER" 
"WAZP99-0539",2000,1,"J",05/22/2000,"1",".3-.75","15-30",1,"Deciduous"," ","SYCAMORE" 
"WAZP99-0539",2000,1,"K",05/22/2000,"1",".3-.75","5-15",1,"Deciduous"," ","ALDER" 
"WAZP99-0545",2000,1,"A",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"B",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"C",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"D",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"E",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"F",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"G",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"H",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"I",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"J",06/05/2000,"1"," "," ", ," ","X"," " 
"WAZP99-0545",2000,1,"K",06/05/2000,"1",".75-2","5-15",8,"Coniferous"," ","BLUE SPRUCE" 
"WAZP99-0551",2000,1,"A",05/24/2000,"1",".75-2","15-30",3,"Deciduous"," ","SYCAMORE" 
"WAZP99-0551",2000,1,"B",05/24/2000,"1",".75-2","15-30",2,"Deciduous"," ","SYCAMORE" 
"WAZP99-0551",2000,1,"C",05/24/2000,"1",".3-.75","15-30",1,"Deciduous"," ","GOODDING WILLOW" 
"WAZP99-0551",2000,1,"D",05/24/2000,"1",".75-2","15-30",0,"Deciduous"," ","SYCAMORE" 
"WAZP99-0551",2000,1,"E",05/24/2000,"1",".75-2","15-30",5,"Deciduous"," ","ARIZONA WALNUT" 
"WAZP99-0551",2000,1,"F",05/24/2000,"1",".75-2","15-30",6,"Coniferous"," ","ARIZONA CYPRESS" 
"WAZP99-0551",2000,1,"G",05/24/2000,"1",".75-2","15-30",1,"Deciduous"," ","SYCAMORE" 
"WAZP99-0551",2000,1,"H",05/24/2000,"1",".75-2",">30",5,"Deciduous"," ","SYCAMORE" 
"WAZP99-0551",2000,1,"I",05/24/2000,"1",".75-2","15-30",6,"Deciduous"," ","SYCAMORE" 
"WAZP99-0551",2000,1,"J",05/24/2000,"1",".75-2","15-30",7,"Deciduous"," ","SYCAMORE" 
"WAZP99-0551",2000,1,"K",05/24/2000,"1",".75-2","15-30",0,"Deciduous"," ","SYCAMORE" 
"WAZP99-0568",2000,1,"A",05/20/2000,"1",".1-.3","5-15",5,"Deciduous"," ","WILLOW" 
"WAZP99-0568",2000,1,"B",05/20/2000,"1",".3-.75","5-15",6,"Deciduous"," ","WILLOW" 
"WAZP99-0568",2000,1,"C",05/20/2000,"1",".1-.3","5-15",5,"Deciduous"," ","WILLOW" 
