"SITE_ID","YEAR","VISIT_NO","SAMPLED","DATE_COL","DATECHEM","TEAM_ID","SAMP_LOC","PHSTVL","PHSTVLF","COND","CONDF","ANC","ANCF","TURB","TURBF","TSS","TSSF","COLOR","COLORF","DOC","DOCF","DIC","DICF","PTL","PTLF","SE","SEF","CA","CAF","MG","MGF","NA","NAF","K","KF","NH4","NH4F","SO4","SO4F","NO3","NO3F","CL","CLF","NTL","NTLF","ZN","ZNF","SIO2","SIO2F","H","OH","HCO3","CO3","ALKCALC","CATSUM","ANSUM","ANDEF","SOBC","IONSTR","BALANCE","ORGION","CONCAL","CONDHO","DAY_SHIP","COM_LAB","COM_FLD","COM_IM" 
"WAZP99-0512",2000,1,"Yes",06/04/2000,06/04/2000,"1","F",8.37," ",675," ",3208.3," ",0.794," ",12.2,"H221",5," ",0.96," ",41.93,"H4",15," ",1.0,"H446B",1664.2,"H218",782.6,"H243",3865.7,"H240",100.1,"H248",1.4," ",2126.8,"H59",51.4,"H11",1269.6,"H59",930," ",13.0,"H508",42.84,"H8",0.004,2.344,3420.793,75.187,3498.1,6413.88,6946.04,-532.16,6412.6,0.014,-3.98,9.58,770.08,642.1,3," ","Collected 0930.  Placed on ice in cooler."," " 
"WAZP99-0537",2003,1,"Yes",05/29/2003,05/29/2003,"1","X",7.67,"H4",4465," ",4356.4,"H8",10.1,"H4",10.3," ",5,"H4",1.83," ",49.12,"H8",19,"H34",0.2,"H316",4481.5,"H183",4061.4," ",34802.7,"H198",170.6," ",0.9,"H29",4425.5,"H28",0.0," ",37067.2,"H13",310,"H34",6.0,"H258",2.59," ",0.0213796209,0.4677351413,3894.0829484,17.077487017,3911.3433822,43517.174825,45404.324331,-1887.149505,43516.246634,0.0639389536,-1.061132304,18.156220047,5594.5010779,4355.2393207,2,"Cloudy digestate appears to cause TP interference, 5X dilution used. RW"," "," " 
"WAZP99-0539",2000,1,"Yes",05/22/2000,05/22/2000,"1","F",8.53," ",364," ",3834.7," ",1.37," ",38.1,"H234",15," ",0.78," ",47.74," ",42," ",1.0,"H459B",1812.2,"H231",1928.7,"H256",291.4,"H322",38.0,"H261",0.4," ",50.8," ",3.6," ",119.3," ",166," ",14.0,"H521",17.74," ",0.003,3.388,3887.407,123.503,4014.06,4070.67,4187.98,-117.31,4070.3,0.01,-1.42,7.79,423.05,394.3,2," ","x site at F transect"," " 
"WAZP99-0545",2000,1,"Yes",06/05/2000,06/05/2000,"1","F",7.90," ",112," ",1052.4," ",11.4," ",32.6,"H220",15," ",2.01," ",12.90," ",92," ",1.0,"H445B",483.2,"H217",393.3,"H242",228.7,"H239",32.7,"H247",1.2," ",58.5,"H10",0.0,"H10",31.6,"H10",324," ",13.0,"H507",18.24," ",0.013,0.794,1040.746,7.751,1049.21,1139.07,1139.39,-0.32,1137.89,0.003,-0.01,19.99,117.63,111.82,2," ","SAMPLE COOLED IN STREAM AND TRANSPORTED TO CAR. SAMPLE COLLECTED 9AM."," " 
"WAZP99-0551",2000,1,"Yes",05/24/2000,05/24/2000,"1","F",8.32," ",483," ",4350.5," ",0.147," ",11.7,"H257",10," ",0.46," ",52.06,"H6",14," ",1.0,"H457B",2590.2,"H229",2170.4,"H254",406.5,"H251",48.6,"H259",0.5," ",494.5," ",2.1," ",251.0," ",371," ",5.0,"H519",21.77," ",0.005,2.089,4247.335,83.202,4332.35,5216.13,5080.28,135.85,5215.67,0.013,1.32,4.59,547.09,496.68,3," ","Cooled samples in stream."," " 
"WAZP99-0568",2000,1,"Yes",05/20/2000,05/20/2000,"1","I",7.97," ",817," ",5476.6," ",0.279," ",5.2,"H236",10," ",1.72," ",57.86,"H4",58," ",1.0,"H461B",2275.1,"H233",1817.3,"H258",3999.0,"H255",115.5,"H263",0.6," ",1135.9,"H10",0.0," ",1994.7,"H375",174," ",10.0,"H523",28.52," ",0.011,0.933,4684.202,40.988,4725.8,8207.55,7856.79,350.76,8206.93,0.016,2.18,17.12,894.99,793.82,3," ","collected upon arrival at stream.  Attempted to cool samples in stream-too shallow.  Didn't have plastic trays for syringe samples.  One sample lock came loose in transect and lost part of sample."," " 
"WAZP99-0569",2000,1,"Yes",06/06/2000,06/06/2000,"1","F",7.96,"H4",96,"H10",974.8,"H9",0.205,"H4",0.5,"H219",5," ",0.75," ",12.02,"H8",37," ",1.0,"H444B",440.7,"H216",306.4,"H241",247.0,"H238",36.9,"H246",0.6," ",25.2,"H9",3.6,"H9",20.9,"H9",66," ",2.5,"H506B",26.97," ",0.011,0.912,972.673,8.317,981.83,1031.44,1031.54,-0.09,1030.89,0.002,0,7.46,105.47,101.3,3," ","Cooled in stream. Iced at trailhead."," " 
"WAZP99-0590",2002,1,"Yes",09/15/2002,09/15/2002,"1","X",8.36,"H11",315,"H13",3406.2,"H13",0.377,"H11",5.12,"H24",5,"H11",0.66,"H17",40.06,"H11",5," ",0.0,"H571",1688.6," ",1746.5," ",125.5," ",29.5," ",0.3,"H30",127.8,"H17",1.1,"H17",83.2,"H17",64," ",16.4,"H208",6.75,"H12",0.0043651583,2.2908676528,3268.4067885,70.202870379,3340.6912658,3590.4144325,3553.0013331,37.413099407,3590.153918,0.0090214042,0.2618712156,6.6164449574,368.87677695,343.67673189,11," "," "," " 
"WAZP99-0598",2000,1,"Yes",05/23/2000,05/23/2000,"1","F",8.20,"H4",203," ",2045.2,"H8",0.436,"H4",1.9,"H233",10,"H4",0.49," ",25.40,"H7",33," ",1.0,"H458B",1402.3,"H230",570.2,"H255",85.1,"H427",20.9,"H260",0.4," ",68.3," ",4.3," ",49.4," ",61," ",5.0,"H520",8.70,"H8",0.006,1.585,2070.116,30.762,2102.33,2078.92,2224.4,-145.47,2078.59,0.005,-3.38,4.88,223.55,211.02,4," ","KEPT SAMPLES IN BAG IN STREAM TO COOL."," " 
"WAZP99-0599",2004,1,"Yes",06/29/2004,06/29/2004,"1","F",7.13," ",1426,"H8",2763.1,"H8",7.48," ",10.8," ",10," ",1.05," ",39.56," ",30," ",0.0," ",3618.1," ",1432.5," ",8549.4," ",267.0," ",0.9," ",2228.4," ",2.1," ",8941.9," ",157," ",11.0," ",42.18,"H9",0.0741310241,0.1348962883,2821.6491006,3.5687963794,2825.0861963,13867.924854,13997.725213,-129.8003593,13866.999796,0.0248565686,-0.232903878,10.31048654,1725.5655271,1492.0128328,2," "," "," " 
