"SITE_ID","YEAR","VISIT_NO","LANDAREA","PFOR","PWETL","PURB","PAGT","RDDENS","POPDENS","ELEV","PRECIP_M" 
"WNVP99-0635",2002,1,14.1,4.56,0.02,0.11,16.76,0.96,0.07,1585,0.248 
"WWYP99-0540",2000,1,113.8,0,0.74,0,0,1.02,0,1780,0.276 
"WCOP01-0836",2001,1,125.67,0.59,0,0.62,24.24,1.24,5.95,1221,0.283 
"WMTP99-0653",2001,1,5608.53,1.66,0,0,2.17,0.27,0.1,727,0.288 
"WCAP99-1032",2002,1,1.8,0.15,0.05,4.69,70.02,0.85,410.49,214,0.289 
"WMTP99-0731",2002,1,638.27,1.57,0.01,0,4.35,0.43,0.03,694,0.29 
"WWYP99-0508",2000,1,117.35,14.18,0.43,0,0.07,0.76,0.02,1847,0.293 
"WAZP99-0861",2003,1,3668.04,12.96,0,0.07,0.21,0.37,0.23,951,0.302 
"WORP99-0613",2000,1,35.38,3.73,0.01,0.04,0,0.34,0,700,0.307 
"WUTP99-0559",2003,1,4228.74,21.51,0.01,0.05,0.54,0.32,0.25,1335,0.312 
"WNVP99-0620",2002,1,9.92,1.44,0,0,0,0.25,0,1771,0.314 
"WMTP99-0804",2004,1,293.95,1.71,0.33,0,62.02,0.45,0.25,670,0.315 
"WWYP99-0525",2000,1,1064.17,7.29,0.12,0.02,1.26,0.91,0.07,1316,0.316 
"WNVP99-0557",2001,1,103.81,2.76,0,0,0,0.33,0,1655,0.318 
"WNVP99-0670",2002,1,2,0,0,0,0,1.34,0,1890,0.319 
"WCAP99-0888",2001,1,24.91,10.2,0.09,0.29,31.33,2.58,4.57,159,0.32 
"WAZP99-0744",2002,1,6.48,38.96,0,0,0,0.59,0.15,2024,0.322 
"WNVP99-0509",2000,1,5.62,1.73,0,0,0,0,0,1804,0.322 
"WMTP99-0635",2001,1,2851.99,0.52,0.04,0.19,67.4,0.67,1.5,591,0.326 
"WNVP99-0505",2000,1,5.62,36.54,0.02,0,0,0,0,2405,0.326 
"WAZP99-0653",2001,1,94.42,89.04,0,0,0,1.63,1.36,2014,0.33 
"WUTP99-0737",2003,1,198.68,39.14,0,0,0,0.42,0.02,1751,0.332 
"WWYP99-0653",2002,1,9.55,0.01,2.02,0,0.22,1.32,0.1,2237,0.344 
"WWYP99-0604",2001,1,28.73,5.66,0.46,0,1.48,0.72,0.03,1903,0.345 
"WAZP99-0876",2003,1,199.16,73.8,0.02,0.02,1.52,2.24,0.63,2194,0.348 
"WNVP99-0566",2001,1,44.64,2.02,0.01,0,0.83,0.76,0.02,1532,0.348 
"WNVP99-0608",2002,1,27.55,1.8,0,0,0,0.36,0,1255,0.349 
"WAZP99-0712",2002,1,13033.36,21.83,0.02,0.27,0.68,0.63,3.94,494,0.35 
"WNVP99-0524",2000,1,1712.21,46.71,0.05,0.39,0.7,1.24,3.84,1856,0.351 
"WMTP99-0648",2001,1,4612.72,3.41,1.86,0.09,2.91,1.01,0.82,944,0.352 
"WNVP99-0556",2001,1,14.43,0.57,0,0,0.01,0,0,1765,0.352 
"WAZP99-0537",2003,1,34912.36,34.23,0.02,0.26,0.3,1.05,3.1,1484,0.354 
"WCOP99-0563",2001,1,453.9,0,0,0,18.73,0.81,0.45,1594,0.354 
"WNVP99-0613",2002,1,2562.12,44.32,1.03,0.31,0.75,1.18,3.14,1817,0.354 
"WWYP99-0524",2000,1,2083.63,0.45,0.32,0.03,0,1.3,0.44,1342,0.354 
"WNVP99-0687",2002,1,15952.32,5.51,0.68,0.21,2.81,0.7,1.76,1424,0.355 
"WWYP99-0670",2002,1,222.68,0.58,0.56,0,0.01,0.81,0.07,1532,0.355 
"WAZP99-0669",2001,1,46.79,85.85,0.01,0,0,2.32,0.23,2378,0.362 
"WCAP99-1131",2002,1,145.05,8.48,0.05,19.84,13.13,3.73,621.13,101,0.363 
"WWYP99-0671",2002,1,2463.17,0.13,0.76,0.03,5.51,1.25,0.79,1312,0.363 
"WWYP99-0720",2003,1,31.01,3.4,0,0,30.64,0.52,0.16,1407,0.363 
"WWYP99-0516",2000,1,85.21,17.25,0.22,0,0,0.84,0,2104,0.366 
"WWYP99-0531",2000,1,14270.48,4.17,0.93,0.04,1.26,0.92,0.13,1102,0.366 
"WCAP99-1125",2002,1,122.29,8.3,0.04,22.34,14.67,4.09,724.5,174,0.368 
"WNVP99-0521",2000,1,1998.78,8.79,0.45,0,1.41,0.57,0.04,1623,0.368 
"WORP99-0523",2000,1,184.05,11.9,0.03,0,0.7,0.62,0.17,777,0.368 
"WAZP99-0701",2001,1,88.87,51.03,0,0.12,0,3.08,7.47,2246,0.369 
"WMTP99-0793",2003,1,48.26,0.76,0,0.09,21.74,0.6,1.74,963,0.375 
"WNVP99-0519",2000,1,29.87,0.1,0.01,0,0,0.26,0,1464,0.375 
"WMTP99-0604",2001,1,1906.07,2.03,0.03,0.04,15.92,0.73,0.11,778,0.376 
