termID,term,measurementTypeID,measurementType,description,units,dataType,entity,attribute,sourcedefinition,minimumPossibleValue,maximumPossibleValue,title
401,term,500,Sin,"Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach, unit: none)",ratio,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Reach sinuosity 
401,term,501,StreamOrder,Strahler stream order of the site from the provider dataset (unit: none).,NA,Numeric,MetricControlledVocabulary,measurementType,Producer defined,1,12,Strahler stream order
401,term,502,AvgBFWDRatio,Average bankfull width depth ratio for the reach (unit: meters).,meters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,NA,Average bankfull width to depth ratio 
401,term,503,BFHeight,Average bankfull height measured from water surface across transects (unit: meters).,meters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Average bankfull height 
401,term,504,BFWidth,Average bankfull width across transects for the reach (unit: meters).,meters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Average bankfull width 
401,term,505,countTransectsBFWidth,Number of cross sections included in the average bankfull width calculation (units: count of measurements),count of measurments,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,
401,term,506,Grad,"Slope of water surface from the bottom of the reach to the top of the reach (expressed as percent, unit: none).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Gradient 
401,term,507,MeanThalwegDepth,Mean thalweg depth. Metric of how deep the water was at the site (unit: meters).,meters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Thalweg depth 
401,term,508,ReachLen,Length of sampling reach measured along the thalweg (unit: meters).,meters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Reach length 
401,term,509,WetWidth,Average wetted width across transects (unit: meters).,meters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Average wetted widht 
401,term,510,PctPool,"Percent of the sample reach (linear extent) classified as pool habitat (expressed as a percent, unit: none, min: 0, max: 100).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Percent pools 
401,term,511,RPD,Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth (unit: meters).,meters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Average residual pool depth 
401,term,512,BankAngle,Average of the measured angle of the stream bank (unit: degrees).,degrees,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,180,Bank angle 
401,term,513,PctStab,"Percent of banks lacking visible signs of active erosion (e.g., slump, slough, fracture)  (unit: none, min: 0, max: 100).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Bank Stability 
401,term,514,D16,Bed surface particle size corresponding to the 16th percentile of measured particles (unit: millimeters).,millimeters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,4098,D16
401,term,515,D50,Bed surface particle size corresponding to the 50th percentile of measured particles (unit: millimeters).,millimeters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,4098,D50
401,term,516,D84,Bed surface particle size corresponding to the 84th percentile of measured particles (unit: millimeters).,millimeters,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,4098,D84
401,term,517,PctBdrk,"Percent of the stream bed area that is composed of particles with a b axis greater than 4098 millimeters (expressed as percent, units: none, min: 0, max: 100).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Percent bedrock 
401,term,518,PctFines2,"Percent of the stream bed area that is comprised of particles with a b axis less than 2 millimeters (expressed as percent, units: none, min: 0, max: 100).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Percent fines less than 2 millimeters
401,term,519,PctFines6,"Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none, min: 0, max: 100).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Percent fines less than 6 millimeters
401,term,520,PoolTailFines2,"Average percent fine sediment (less than 2 millimeters) on the pool tail (expressed as percent, unit: none).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Pool tail fines less than 2 millimeters 
401,term,522,PoolTailFines6,"Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none).",percent,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,100,Pool tail fines less than 6 millimeters 
401,term,523,Conductivity,"Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current. Used as a measure of mineral / ionic concentration (unit: ppm or parts per million).",parts per million,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Conductivity
401,term,524,pH,"Measured pH value (unit: none, min: 0, max:14).",NA,Numeric,MetricControlledVocabulary,measurementType,Producer defined,0,14,pH 
401,term,525,SpecificConductance,Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C (unit: uS/cm or microSiemens per centimeter).,uS/cm,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Specific conductance 
401,term,526,TotalNitrogen,Measured total nitrogen value (unit: ug/L or micrograms per liter).,ug/L,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Total nitrogen 
401,term,527,TotalPhosphorous,Measured total phosphorous value (unit: ug/L or micrograms per liter).,ug/L,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Total phosporous 
401,term,528,Turbidity,Average water clarity as measured by the suspended solids in the water column (unit: NTU or Nephelometric Turbidity unit),NTU,Numeric,MetricControlledVocabulary,measurementType,Producer defined,NA,NA,Turbidity 
