entity,attribute,enumerateddomain,enumerateddefinition,sourcedefinition,units,minimumPossibleValue,maximumPossibleValue
Record,datasetID,1,The dataset ID assigned to PIBO source data.,Producer defined,NA,,
Record,datasetID,2,The dataset ID assigned to AIM source data.,Producer defined,NA,,
Record,datasetID,3,The dataset ID assigned to AREMP source data.,Producer defined,NA,,
Record,datasetID,4,The dataset ID assigned to NRSA 2008 to 2009 source data.,Producer defined,NA,,
Record,datasetID,5,The dataset ID assigned to NRSA 2013 to 2014 source data.,Producer defined,NA,,
Record,datasetID,6,The dataset ID assigned to NRSA 2018 to 2019 source data.,Producer defined,NA,,
Record,datasetID,7,The dataset ID assigned to NRSA 2018 to 2019 source data.,Producer defined,NA,,
Record,datasetID,8,The dataset ID assigned to NRSA Streams 2004 source data.,Producer defined,NA,,
Record,institutionCode,BLM,Bureau of Land Management,Producer defined,NA,,
Record,institutionCode,EPA,Environment Protection Agency,Producer defined,NA,,
Record,institutionCode,USFS,United States Forest Service,Producer defined,NA,,
Record,preProcessingCode,NA,Pre-processing code was not used for this dataset.,Producer defined,NA,,
Record,projectCode,AIM,Assessment Inventory and Monitoring,Producer defined,NA,,
Record,projectCode,AREMP,Aquatic and Riparian Effectiveness Monitoring Plan,Producer defined,NA,,
Record,projectCode,NRSA,National Rivers and Streams Assessment,Producer defined,NA,,
Record,projectCode,PIBO,PacFish/InFish Biological Opinion Monitoring Program,Producer defined,NA,,
Location,datasetID,1,The dataset ID assigned to PIBO source data.,Producer defined,NA,,
Location,datasetID,2,The dataset ID assigned to AIM source data.,Producer defined,NA,,
Location,datasetID,3,The dataset ID assigned to AREMP source data.,Producer defined,NA,,
Location,datasetID,4,The dataset ID assigned to NRSA 2008 to 2009 source data.,Producer defined,NA,,
Location,datasetID,5,The dataset ID assigned to NRSA 2013 to 2014 source data.,Producer defined,NA,,
Location,datasetID,6,The dataset ID assigned to NRSA 2018 to 2019 source data.,Producer defined,NA,,
Location,datasetID,7,The dataset ID assigned to NRSA 2018 to 2019 source data.,Producer defined,NA,,
Location,datasetID,8,The dataset ID assigned to NRSA Streams 2004 source data.,Producer defined,NA,,
Location,locationRemarks,Bottom of Reach,Geographic coordinates were obtained at the bottom of the reach.,Producer defined,NA,,
Location,locationRemarks,Middle of Reach,Geographic coordinates were obtained at the middle of the reach.,Producer defined,NA,,
Location,siteSelectionType,Random,Sample location was selected as part of a the program's probabilistic random design.,Producer defined,NA,,
Location,siteSelectionType,Targeted,"Sample location was selected as a targed site to address a specific management concern or question, not part of the random design.",Producer defined,NA,,
Location,siteSelectionType,NA,Site selection not known or reported by the program.,Producer defined,NA,,
Location,waterBody,NA,Water body name not reported in the original dataset.,Producer defined,NA,,
Event,eventDate,NA,"Source data from AREMP do not contain month or day, so no there is no eventDate for those entries.",Producer defined,NA,,
Event,fieldNotes,NA,Description of the flow was not included or reported in the source dataset.,Producer defined,NA,,
Event,fieldNotes,Flow Whole Reach,Flow for the full reach,Producer defined,NA,,
Event,fieldNotes,No Flow Dry,"Reach is completely dry, no flow",Producer defined,NA,,
Event,fieldNotes,Partial Flow or Stagnant Pools,Flow for part or subset of the reach,Producer defined,NA,,
Event,samplingProtocol,NA,Sampling Protocol was not included or reported in the source dataset.,Producer defined,NA,,
Event,samplingProtocol,WADEABLE,Source programs conducted surveys in wadeable streams following wadeable protocols.,Producer defined,NA,,
Event,beaverImpactFlow,NA,Beaver impacts were not reported in the source data.,Producer defined,NA,,
Event,beaverImpactFlow,Major,tbd need def,Producer defined,NA,,
Event,beaverImpactFlow,Minor,tbd need def,Producer defined,NA,,
Event,beaverImpactFlow,None,tbd need def,Producer defined,NA,,
