entity,attribute,definition,minrange,maxrange,units,sourcedefinition,unboundeddefinition,enumerateddomain,NAorBlankcell,NAdefinition,dataType,standard,termID,noteAndConventions
RecordLevel,,Comma Separated Value (CSV) file containing information about the Monitoring Programs originating source datasets. This table corresponds to the Record table in the database (.accdb) file.,,,,Producer defined,,n,noNAs,,,,,
RecordLevel,datasetID,A unique identifier assigned to the originating source data's program.,,,,Producer defined,,y,noNAs,NA,Integer,Darwin Core,100,generated during data integration
RecordLevel,bibilographicCitation,A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.,,,,Producer defined,Unbounded list of alphanumeric text,n,hasNA,There is no formal citation for this dataset.,String,Darwin Core,101,
RecordLevel,datasetLink,URL identifier for the collection or dataset from which the record was derived. The source location for the originating source data or program website.,,,,Producer defined,Unbounded list of alphanumeric text,n,noNAs,,String,Producer defined,102,
RecordLevel,datasetName,The name of the originating data set from which the record was derived.,,,,Producer defined,Unbounded list of text,n,noNAs,,String,Darwin Core,103,
RecordLevel,institutionCode,The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.,,,,Producer defined,,y,noNAs,NA,String,Darwin Core,104,
RecordLevel,metadataID,URL identifier for the metadata for the originating source dataset or note how to access metadata.,,,,Producer defined,Unbounded list of alphanumeric text,n,noNAs,NA,String,ODM2,105,
RecordLevel,preProcessingCode,"URL identifier for access to the code used to pre-process (download, standardize and tidy) the data sets before integration into the destination dataset.",,,,Producer defined,Unbounded list of alphanumeric text,n,blank cell,Pre-processing code was not used for this dataset.,String,Producer defined,106,
RecordLevel,projectCode,"The acronym of the name assigned by the Institution (project leader or principal investigator) to the project, from which the source data originates from.",,,,Producer defined,,y,noNAs,NA,String,Producer defined,107,
RecordLevel,projectName,The name assigned by the Institution (project leader or principal investigator) to the project from which the source data originates from.,,,,Producer defined,Unbounded list of text,n,noNAs,NA,String,ODM2,108,
Location,,Comma Separated Value (CSV) file containing location data for the Integrated Stream Habitat Data. This table corresponds to the Location table in the database (.accdb) file.,,,,Producer defined,,n,noNAs,,,,,
Location,datasetID,A unique numeric identifier assigned to the originating source data's program.,,,,Producer defined,,y,noNAs,NA,Integer,Producer defined,100,
Location,locationID,An identifier for the set of location information. Global unique identifier.,1,12179,,Producer defined,,n,noNAs,NA,Integer,Darwin Core,200,generated during data integration
Location,verbatimLocationID,The verbatim location ID from the originating source dataset assigned by the monitoring program.,,,,Producer defined,Unbounded list of alphanumeric text,n,noNAs,NA,String,Producer defined,201,
Location,latitude,The geographic latitude (WGS84) of the geographic center of a location in decimal degrees.,26.625,71.2686,decimal degrees,Producer defined,,n,noNAs,NA,Float,Darwin Core,202,Must be decimal degrees WGS84
