"entity","termID","term","definition","dataType","minrange","maxrange","units","standard"
"RecordLevel",100,"datasetID","A unique identifier assigned to the originating source data's program. Value generated during data integration.","Integer","","","","Darwin Core"
"RecordLevel",101,"bibilographicCitation","A bibliographic reference for the resource as a statement indicating how this record should be cited (attributed) when used.","String","","","","Darwin Core"
"RecordLevel",102,"datasetLink","URL identifier for the collection or dataset from which the record was derived. The source location for the originating source data or program website.","String","","","","Producer defined"
"RecordLevel",103,"datasetName","The name of the originating data set from which the record was derived.","String","","","","Darwin Core"
"RecordLevel",104,"institutionCode","The name (or acronym) in use by the institution having custody of the object(s) or information referred to in the record.","String","","","","Darwin Core"
"RecordLevel",105,"metadataID","URL identifier for the metadata for the originating source dataset or note how to access metadata.","String","","","","ODM2"
"RecordLevel",106,"preProcessingCode","URL identifier for access to the code used to pre-process (download, standardize and tidy) the data sets before integration into the destination dataset.","String","","","","Producer defined"
"RecordLevel",107,"projectCode","The acronym of the name assigned by the Institution (project leader or principal investigator) to the project, from which the source data originates from.","String","","","","Producer defined"
"RecordLevel",108,"projectName","The name assigned by the Institution (project leader or principal investigator) to the project from which the source data originates from.","String","","","","ODM2"
"RecordLevel",109,"samplingProtocol","The references to the stream survey protocols used by a program.","String","","","","Darwin Core"
