"","termID","term","measurementTypeID","measurementType","dataType","originalField_AREMP","originalField_PIBO","originalField_AIM","originalField_NRSA","originalUnit_AREMP","originalUnit_PIBO","originalUnit_AIM","originalUnit_NRSA","originalDataType_AREMP","originalDataType_PIBO","originalDataType_AIM","originalDataType_NRSA","methodCollection_AREMP","methodCollection_PIBO","methodCollection_AIM","methodCollection_NRSA","methodAnalysis_AREMP","methodAnalysis_PIBO","methodAnalysis_AIM","methodAnalysis_NRSA","description","units","entity","attribute","sourcedefinition","minimumPossibleValue","maximumPossibleValue"
"1",401,"term",502,"AvgBFWDRatio","Numeric","ave_widthDepth_ratio","WDTrans",NA,NA,"ratio","ratio",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/CustomizedMethod/Details/31107","https://www.monitoringresources.org/Document/Method/Details/65 | https://www.monitoringresources.org/Document/Method/Details/6871",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7132","https://www.monitoringresources.org/Document/Method/Details/7047",NA,NA,"Average bankfull width-depth ratio for the reach where depth is measured from the streambed.","none","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"2",401,"term",512,"BankAngle","Numeric",NA,"BankAngle","BankAngleAvg",NA,NA,"degrees","degrees",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/68","https://www.monitoringresources.org/Document/Method/Details/68",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7034",NA,"Average angle of the stream bank within the reach measured where bed-meets-bank to the first flat depositional feature at or above bankfull. Acute angles indicate undercut banks while obtuse angles are laid back banks.","degrees","MetricControlledVocabulary","measurementType","Producer defined",0,"180"
"3",401,"term",503,"BFHeight","Numeric","average_bfdepth",NA,NA,NA,"meters",NA,NA,NA,"double",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7028",NA,NA,NA,"https://www.monitoringresources.org/Document/CustomizedMethod/Details/32163",NA,NA,NA,"Average bankfull height measured from the streambed across transects (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"4",401,"term",504,"BFWidth","Numeric","average_bfwidth","Bf","BankfullWidthAvg","XBKF_W","meters","meters","meters","meters","Double","Double","Double","Double","https://www.monitoringresources.org/Document/Method/Details/6849","https://www.monitoringresources.org/Document/Method/Details/6871","https://www.monitoringresources.org/Document/Method/Details/7041","https://www.monitoringresources.org/Document/Method/Details/6870","https://www.monitoringresources.org/Document/Method/Details/4245","https://www.monitoringresources.org/Document/CustomizedMethod/Details/32197","https://www.monitoringresources.org/Document/CustomizedMethod/Details/32166","https://www.monitoringresources.org/Document/Method/Details/7081","Average bankfull width across transects for the reach (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"5",401,"term",514,"D16","Numeric",NA,"D16","D16",NA,NA,"meters","millimeters",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6797","https://www.monitoringresources.org/Document/Method/Details/6801",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7025","https://www.monitoringresources.org/Document/Method/Details/7025",NA,"Bed surface particle size corresponding to the 16th percentile of measured particles (unit: millimeters, min: 0, max: 4098).","millimeters","MetricControlledVocabulary","measurementType","Producer defined",0,"4098"
"6",401,"term",515,"D50","Numeric",NA,"D50","D50",NA,NA,"meters","millimeters",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6797","https://www.monitoringresources.org/Document/Method/Details/6801",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7025","https://www.monitoringresources.org/Document/Method/Details/7055 ",NA,"Bed surface particle size corresponding to the 50th percentile of measured particles (unit: millimeters, min: 0, max: 4098).","millimeters","MetricControlledVocabulary","measurementType","Producer defined",0,"4098"
"7",401,"term",516,"D84","Numeric",NA,"D84","D84",NA,NA,"meters","millimeters",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6797","https://www.monitoringresources.org/Document/Method/Details/6801",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7025","https://www.monitoringresources.org/Document/Method/Details/7025",NA,"Bed surface particle size corresponding to the 84th percentile of measured particles (unit: millimeters, min: 0, max: 4098).","millimeters","MetricControlledVocabulary","measurementType","Producer defined",0,"4098"
"8",401,"term",506,"Grad","Numeric","gradient","Grad","PctSlope","XSLOPE","percent","percent","percent","percent","Double","Double","Double","Double","https://www.monitoringresources.org/Document/Method/Details/6852","https://www.monitoringresources.org/Document/Method/Details/6868","https://www.monitoringresources.org/Document/CustomizedMethod/Details/31139","https://www.monitoringresources.org/Document/CustomizedMethod/Details/31186",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7033","https://www.monitoringresources.org/Document/Method/Details/7081","Mean slope of water surface from the bottom of the reach to the top of the reach (expressed as percent, unit: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
"9",401,"term",507,"MeanThalwegDepth","Numeric",NA,NA,"ThalwegDepthAvg","XDEPTH_CM",NA,NA,"meters","centimeters",NA,NA,"Double","Double",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7032","https://www.monitoringresources.org/Document/Method/Details/7080",NA,NA,"https://www.monitoringresources.org/Document/Method/Details/4245","https://www.monitoringresources.org/Document/Method/Details/7081","Mean deepest location in the reach (unit: meters).","meters","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
"10",401,"term",517,"PctBdrk","Numeric",NA,NA,NA,"PCT_BDRK",NA,NA,NA,"Log 10 millimeters",NA,NA,NA,"Double",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/6874",NA,NA,NA,"https://www.monitoringresources.org/Document/Method/Details/7011","Percent of the stream bed area that is composed of particles with a b axis greater than 4098 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
