"termID","term","measurementTypeID","measurementType","description","units","dataType","entity","attribute","sourcedefinition","minimumPossibleValue","maximumPossibleValue"
401,"term","500","Sin","Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach, expressed as a ratio)","none","Numeric","MetricControlledVocabulary","measurementType","Producer defined",1,"None"
401,"term","502","AvgBFWDRatio","Average bankfull width-depth ratio for the reach where depth is measured from the streambed.","none","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","503","BFHeight","Average bankfull height measured from the streambed across transects (unit: meters).","meters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","504","BFWidth","Average bankfull width across transects for the reach (unit: meters).","meters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","506","Grad","Mean slope of water surface from the bottom of the reach to the top of the reach (expressed as percent, unit: none, min: 0, max: 100).","percent","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
401,"term","507","MeanThalwegDepth","Mean deepest location in the reach (unit: meters).","meters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","508","ReachLen","Length of the sampling reach measured along the thalweg (unit: meters).","meters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",150,"4000"
401,"term","509","WetWidth","Average wetted width across 11 to 21 transects (unit: meters).","meters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","510","PctPool","Percent of the sample reach (linear extent) classified as pool habitat (expressed as a percent, unit: none, min: 0, max: 100).","percent","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
401,"term","511","RPD","Average of the residual pool depth values. Residual pool depth is the difference between the pool tail depth and the max depth (unit: meters).","meters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","512","BankAngle","Average angle of the stream bank within the reach measured where bed-meets-bank to the first flat depositional feature at or above bankfull. Acute angles indicate undercut banks while obtuse angles are laid back banks.","degrees","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"180"
401,"term","514","D16","Bed surface particle size corresponding to the 16th percentile of measured particles (unit: millimeters, min: 0, max: 4098).","millimeters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"4098"
401,"term","515","D50","Bed surface particle size corresponding to the 50th percentile of measured particles (unit: millimeters, min: 0, max: 4098).","millimeters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"4098"
401,"term","516","D84","Bed surface particle size corresponding to the 84th percentile of measured particles (unit: millimeters, min: 0, max: 4098).","millimeters","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"4098"
401,"term","517","PctBdrk","Percent of the stream bed area that is composed of particles with a b axis greater than 4098 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
401,"term","518","PctFines2","Percent of the stream bed area that is comprised of particles with a b axis less than 2 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
401,"term","519","PctFines6","Percent of the stream bed area that is composed of particles with a b-axis less than 6 millimeters (expressed as percent, units: none, min: 0, max: 100).","percent","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
401,"term","520","PoolTailFines2","Average percent fine sediment (less than 2 millimeters) on the pool tail (expressed as percent, unit: none, min: 0, max: 100).","percent","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
401,"term","522","PoolTailFines6","Average percent fine sediment (less than 6 millimeters) on the pool tail (expressed as a percent, unit: none, min: 0, max: 100).","percent","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"100"
401,"term","524","pH","Measured pH value (unit: none, min: 0, max:14).","None","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"14"
401,"term","525","SpecificConductance","Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C (unit: uS/cm or microSiemens per centimeter).","uS/cm","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"65500"
401,"term","526","TotalNitrogen","Measured total nitrogen value (unit: ug/L or micrograms per liter).","ug/L","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","527","TotalPhosphorous","Measured total phosphorous value (unit: ug/L or micrograms per liter).","ug/L","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","528","Turbidity","Average water clarity as measured by the suspended solids in the water column (unit: NTU or Nephelometric Turbidity unit)","NTU","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
401,"term","529","ProtocolReachLen","Total reach length intended to be sampled. Calculated from average widths using the protocol rules (unit: meter).","metrics ","Numeric","MetricControlledVocabulary","measurementType","Producer defined",150,"4000"
401,"term","530","PoolFreq","Number of pools within the sampled reach standardized to pools per kilometer (unit: pools per kilometer).","count per kilometer","Numeric","MetricControlledVocabulary","measurementType","Producer defined",0,"None"
