"OBJECTID","SITE_CD","STRM_NM","MS_CD","UID","DT","MRG_SITE_CD","VST_NMBR","MIDLAT","MIDLONG","PRJCT","PRTCL","STRTM","DSGN_TYP","INDCTR_CLLCTD","STRM_ORDR","STRM_SZ_ORDER","STRM_SZ_BNK","NAMC_BENCHMARK","ECRGN","CLIMATE","BTMLAT","BTMLONG","TRLAT","TRLONG","TOT_RCH_LEN","FLD_STATUS","PCT_OVRHD_CVR","BK_OVRHD_CVR","VEG_CMPLXTY","RPRN_VEG_CNPY_CVR","RPRN_VEG_UNDRSTRY_CVR","RPRN_VEG_GC","NON_NTVE_WDY","NTVE_WDY","NON_NTVE_HRB","NTVE_HRB","SDGE_RSH","INVSVE_INVRT_SP","OBSRVD_INVRT_RCHNSS","EXPCTD_INVRT_RCHNSS","OE_MACROINVRTBRTE","MMI_MACROINVRTBRTE","OE_MMI_MOD_USD","MOD_APPLCBLTY","MACROINVRTBRTE_CNT","TTL_N","PRD_TTL_N","TTL_P","PRD_TTL_P","SPCFC_CNDCTNCE","PRD_SPCFC_CNDCTNCE","pH","INSTNT_TEMP","MN_AG_TEMP","TRBDTY","PCT_PL","RES_PL_DEP","NM_PL","PL_FREQ","LWD_FREQ","LWD_VL","PCT_FN2","PCT_FN6","D16","D84","D50","GMTRC_MN_PRTCLE_DIAM","PL_TL_FN2","PL_TL_FN6","BankCoverFoliar","BankCoverBasal","BnkCoverFoliar_Stab","BNK_STBLTY","BNK_CVR_BDRCK","BNK_CVR_CBBLE","BNK_CVR_LWD","BnkCoverFoliarVeg","BnkCoverBasalVeg","BNKFLL_HT","INCSN_HT","CHN_INCSN","FLDPLN_CNNCTVTY","INSTRM_HBTT_CMPLXTY","BNK_AN","THLWG_DEP_CV","THLWG_DEP_MN","PCT_DRY","BNKFLL_WT","WTTD_WT","FLD_WT","ENTRCH","SLPE","SNSTY","HMNINFLNC","BVR_FLW_MD","BVR_SGN","SD_CHNNLS","WTR_WTHDRWL","geometry"
6819,"CR-SS-11837","EBY CREEK","BLMMaster-11837","43F431AA-5AEF-47C1-A33F-9A11F24C7B52",2017-06-14,NA,"1",39.695876,-106.832848,"CO_NorthwestDO","WADEABLE","COLORADO RIVER VALLEY FIELD OFFICE","Random","Core","2","SS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",39.695245,-106.83296,39.696465,-106.833364,150,"Sampled - Full Reach",90.4,99.2,1.55,0.09,0.06,0.32,0,100,100,100,27,"ABSENT",NA,NA,NA,67.6,"CO-EDAS2017 - Biotype 1",NA,307,NA,NA,NA,24.9,290.4,306.7,8.49,10.1,13.04,NA,0,NA,0,0,8.667,7.22,33.3,34.8,2,178,42,4,NA,NA,NA,74,NA,86,0,17,7,NA,39,0.22,0.34,-0.67,1.25,0.58,121,0.36,0.24,0,3.24,2.29,4.95,1.49,3.86,1.07,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-106.832858522222, 39.6958822840404)
6820,"SW-SS-19199","Rock Creek","BLMMaster-19199","2CF8310E-561D-4455-B2BB-057CFCCE3743",2016-09-12,NA,"1",45.885509,-120.562843,"WA_SpokaneDO","WADEABLE","SPOKANE WENATCHEE FIELD OFFICE","Random","Core","2","SS","SmallWadeable","PacificNorthwestXericCalifornia_SmallWadeable","PacificNorthwest","Mountains",45.884841,-120.562831,45.886083,-120.56328,150,"Sampled - Interrupted Flow",98.3,99.7,2.05,0.55,0.72,0.68,0,100,5,5,0,"ABSENT",3,5.15851637,0.58156256,NA,"Westwide2018_OtherEcoregions","Fail",300,56,146,19.6,38.5,199.5,154.1,6.81,12.4,16.65,NA,NA,NA,NA,NA,0.667,0.029,1.5,1.5,30,230,81,7,52,52,NA,95,NA,100,10,48,0,NA,21,0.39,1.09,-0.1,NA,NA,136,NA,NA,NA,4.34,1.66,7.8,1.8,3.37,1.05,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-120.562857217253, 45.8855147039312)
6821,"MS-SS-3114","Catamount Creek","BLM13-3114","3301484074",2015-07-25,NA,"1",39.794385,-106.829646,"WRSA","WADEABLE","MT_SROCK","Random","Core","1","SS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",39.794874,-106.829613,39.793745,-106.829612,150,"Sampled - Full Reach",80.5,88,2.04,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,57.9,"CO-EDAS2017 - Biotype 2",NA,319,160,133.1,42.6,26.5,170.8,244.1,7.9,6.2,7.88,NA,1.8,0.23,2,13.3,27.333,19.82,18.8,20.4,1,133,39,4,NA,NA,NA,81,NA,98,NA,NA,NA,NA,NA,0.11,0.36,-0.46,1.95,1.75,82,0.32,0.18,0,1.65,1.54,NA,NA,4.01,1.19,NA,"NONE","ABSENT","PRESENT",NA,c(-106.829656533225, 39.7943912972669)
6822,"CA-SS-1022","RED BLUFF DRAW","NM_SONM_STANDARD_2018-1022","D46622E2-5D25-46DC-A456-FB0B9C8A1990",2018-06-25,NA,"1",32.08114,-104.33449,"NM_SouthernNewMexico","WADEABLE","CARLSBAD FIELD OFFICE","Random","Core","2","SS","SmallWadeable","SouthernXericBasin_SmallWadeable","SouthernXericBasin","Xeric",32.08151,-104.33382,32.08081,-104.3351,150,"Sampled - Interrupted Flow",20.9,43.3,0.61,0,0.11,0.11,5,91,91,100,82,"ABSENT",3,5.57232743,0.53837468,NA,"Westwide2018_OtherEcoregions","Fail",300,4233.6,412.4,191.7,22.2,4212,674.7,7.41,25.1,24.7,14.77,NA,NA,NA,NA,0,0,60,64,1,4097,2,3,NA,NA,NA,64,NA,90,12,7,0,NA,40,0.45,0.86,-0.3,1.74,0.05,152,NA,0.08,64,4.61,0.89,9.21,2.22,1.95,1.05,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-104.334499292024, 32.0811452816803)
6823,"CO-LS-9421","Montezuma Creek","BLM14-9421","2582765230",2015-07-05,NA,"1",37.801059,-109.278777,"ColoradoPlateau","WADEABLE","COPLT","Random","Core","3","LS","SmallWadeable","EasternXericBasin_SmallWadeable","EasternXericBasin","Xeric",37.800574,-109.278534,37.801866,-109.279077,150,"Sampled - Partial Reach",12.2,32.8,2.08,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",4,10.42484965,0.38369858,NA,"UT_DEQ_2015",NA,400,525.1,176.6,100.5,29.6,1270,297.8,7.85,21.2,19.49,NA,NA,NA,NA,NA,0,0,100,100,1,1,1,1,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,0.31,0.31,-1,1,0.19,152,0.3,0.24,0,4.62,1.56,NA,NA,0.22,NA,NA,"MAJOR","COMMON","ABSENT",NA,c(-109.278787841059, 37.8010648666122)
6824,"AF-LS3-9139",NA,"AK14-9139","7659666467",2014-08-05,NA,"1",63.975459,-142.899908,"AK_EasternInteriorFO","WADEABLE","Fortymile","Random","Core","3",NA,"SmallWadeable",NA,"Interior Highlands",NA,63.975044,-142.898951,63.975781,-142.9009,150,"Sampled - Full Reach",52.8,80,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63.5,NA,7.28,6.1,NA,1.95,NA,NA,NA,NA,1.333,0.221,0,1,26,125,70,6,NA,NA,NA,93,NA,95,NA,NA,NA,NA,NA,0.21,0.72,-0.21,1.91,0.71,NA,0.28,0.33,0,1.8,1.69,NA,NA,2.05,1.19,NA,"NONE","ABSENT","PRESENT",NA,c(-142.899933111113, 63.9754616511928)
6825,"MS-LS-3024","Starvation Creek","BLM13-3024","9734304471",2014-08-02,NA,"1",39.879406,-111.197349,"WRSA","WADEABLE","MT_SROCK","Random","Core","3","LS","SmallWadeable","SouthernRockies_SmallWadeable","SouthernRockies","Mountains",39.879848,-111.1977,39.878824,-111.197185,150,"Sampled - Full Reach",86.2,94.1,1.42,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",12,9.60057037,1.24992574,NA,"UT_DEQ_2015",NA,400,309,243.6,65,21.8,451.7,290.6,8.36,7.6,14.11,NA,39.47,0.27,8,53.3,4,0.938,31,31.9,1,118,34,3,NA,NA,NA,55,NA,90,NA,NA,NA,NA,NA,0.46,1.21,-0.07,2.21,0.39,117,0.47,0.22,0,5.61,5.75,NA,NA,2.53,1.23,NA,NA,NA,NA,NA,c(-111.197360479393, 39.8794119894303)
6826,"GL-LS-1091","Unamed","GAFO-1091","19514709-CF04-431E-AC00-D5E044E84952",2016-07-23,NA,"1",63.23568,-147.59343,"AK_GlennallenFO","WADEABLE","Glennallen Field Office","Random","Core","3",NA,"SmallWadeable",NA,"Alaska Range",NA,63.2352,-147.59283,63.23603,-147.59451,150,"Sampled - Full Reach",5.2,75.6,1.57,0.03,0.69,0.63,0,100,0,100,81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,186,NA,7.59,13.37,NA,1.09,NA,NA,NA,NA,0,0,15.5,15.5,16,150,60,5,NA,NA,NA,67,NA,93,0,2,0,NA,55,0.15,0.47,-0.37,1.44,0.23,NA,0.25,0.64,0,5.6,4.83,NA,NA,0.96,1.2,NA,"NONE","ABSENT","PRESENT","ABSENT",c(-147.593454595816, 63.2356818944485)
6827,"PR-TR-010","Lower DMA","PR-TR-010","425E30FF-5F0A-42B0-9A5F-9B5730B5C3EB",2016-09-10,NA,"1",44.0203,-120.013866,"OR_PrinevilleDO","WADEABLE",NA,"Targeted","Core","5","RV","LargeWadeable","NorthernRockies_LargeWadeable","NorthernRockies","Mountains",NA,NA,NA,NA,110,"Sampled - Partial Reach",0,60.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PRESENT",7,11.931628,0.586676,NA,"OR_WesternCordillera_ColumbiaPlateau","Pass",58,353.8,226.3,55.1,49.3,625,220.8,8.05,14.6,18.45,NA,0,NA,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,NA,NA,134,NA,NA,NA,12.09,NA,26.05,2.15,0.67,NA,NA,"NONE","ABSENT","ABSENT","ABSENT",c(-120.013879759032, 44.0203056312582)
6828,"TP-SS-8252",NA,"BLM13-8252","3083229750",2015-09-13,NA,"1",40.518532,-119.983716,"CA_NorthernCaliforniaDO","WADEABLE","Twin Peaks","Random","Core","1","SS","SmallWadeable","NorthernXericBasin_SmallWadeable","NorthernXericBasin","Xeric",40.51889,-119.983058,40.517789,-119.983566,150,"Sampled - Interrupted Flow",11.6,16.6,1.01,NA,NA,NA,NA,NA,NA,NA,NA,"ABSENT",NA,NA,NA,31.86764632,"NV_MMI",NA,300,182.6,335.3,121,49.7,380.1,267.9,7.1,16.2,16.59,NA,NA,NA,NA,NA,0,0,21.2,23.1,1,175,68,5,NA,NA,NA,100,NA,100,NA,NA,NA,NA,NA,0.17,0.52,-0.35,2.6,0.13,149,NA,0.04,40.7,1.34,0.48,NA,NA,8.32,1.16,NA,"NONE","ABSENT","ABSENT",NA,c(-119.983729187055, 40.5185373616103)
