"SITE_ID","Latitude","Longitude","locationRemarks","siteSelectionType","waterBody","site_survey_id","eventDate","year","samplingProtocol","fieldNotes","dry_site","dry_pcnt","beaver_impacted","CREEK_CODE","SITE","ORIGINAL_SURVEY_YEAR","SAMPLE_TYPE","REACH_LENGTH","GLOBALID","STATES","HUC_12","unit","AGENCY","Prov","survey_year","impact_group","poolscore","substratescore","woodscore","habitatscore","gradient","average_bfwidth","average_bfdepth","elevation","pool_fines","substrate","wood_12x25","wood_18x25","lua_group","aquatic_province","states","key_watershed","rotation_panel","creek_code"
"CAASH0002",41.3942668586989,-122.093867029957,"Downstream End","Random GRTS","Cold Creek","2010CAASH1002",2010-07-08 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",2,2010,"STATUS_AND_TREND",200,"{37ABB10E-C776-46D5-87D3-72F94060FD33}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"imp75",62.53212164,25.73232854,32.82287971,39.1344847,0.07457084,9.16463307,0.50750913,1760,14.76190476,67.96116504,4,3,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0002",41.3942668586989,-122.093867029957,"Downstream End","Random GRTS","Cold Creek","2018CAASH1002",2018-07-15 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAASH0005",41.4003878183824,-122.096652000496,"Downstream End","Random GRTS","Ash Creek","2010CAASH1005",2010-07-08 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",5,2010,"STATUS_AND_TREND",200,"{BED7976A-E832-4275-A1E5-A8DF2C132828}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"middle",83.32756663,64.79232279,29.36662156,57.77963337,0.08708818,11.20061923,0.8717455,1813,0,36.89320388,2,1,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0005",41.4003878183824,-122.096652000496,"Downstream End","Random GRTS","Ash Creek","2018CAASH1005",2018-07-16 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAASH0007",41.4208968282768,-122.072386970134,"Downstream End","Random GRTS","Brewer Creek","2010CAASH1007",2010-07-09 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",7,2010,"STATUS_AND_TREND",160,"{9F2C0454-A707-4EF0-97B0-9438CA735143}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"imp75",NA,0,42.8756468,21.31196923,0.03536227,1.12553661,0.0938082,1669,NA,95.23809523,4,4,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0014",41.4003752921646,-122.053229778195,"Downstream End","Random GRTS","Ash Creek","2010CAASH1014",2010-07-12 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",14,2010,"STATUS_AND_TREND",160,"{DA6BBC90-DDFC-42B7-A8D8-6AA053A4936B}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"imp75",NA,3.28159638,34.73697312,18.84227602,0.03356516,6.6827567,0.39549841,1540,NA,56.19047619,3,2,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0014",41.4003752921646,-122.053229778195,"Downstream End","Random GRTS","Ash Creek","2018CAASH1014",2018-07-12 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAASH0016",41.3909038681296,-122.070831040127,"Downstream End","Random GRTS","Cold Creek","2010CAASH1016",2010-07-10 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",16,2010,"STATUS_AND_TREND",200,"{2E06760C-3AA6-4BC2-B289-2D907C798CC8}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"middle",39.86133264,31.7964875,36.07287685,35.12265834,0.07850294,7.07308992,0.66946442,1625,39.0515873,57.14285714,5,2,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0016",41.3909038681296,-122.070831040127,"Downstream End","Random GRTS","Cold Creek","2018CAASH1016",2018-07-13 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAASH0018",41.4285427986124,-122.091324040028,"Downstream End","Random GRTS","Brewer Creek","2010CAASH1018",2010-07-09 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",18,2010,"STATUS_AND_TREND",160,"{E6B87F87-9BFE-4A30-8C31-009860479727}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"middle",NA,29.75457794,24.90485619,27.30370824,0.0831957,3.82144054,0.53393662,1793,NA,64.76190476,0,0,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0018",41.4285427986124,-122.091324040028,"Downstream End","Random GRTS","Brewer Creek","2018CAASH1018",2018-07-14 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAASH0021",41.3910937978271,-122.075493979902,"Downstream End","Random GRTS","Cold Creek","2010CAASH1021",2010-07-10 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",21,2010,"STATUS_AND_TREND",200,"{8B447FC7-F86D-40B6-8EAF-CDEB93956472}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"middle",69.4462644,33.35831668,50.27741011,49.82278254,0.07126965,8.28183952,0.43072508,1653,6.666666667,62.85714285,7,7,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0021",41.3910937978271,-122.075493979902,"Downstream End","Random GRTS","Cold Creek","2018CAASH1021",2018-07-13 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAASH0022",41.4019508783999,-122.088052000382,"Downstream End","Random GRTS","Ash Creek","2010CAASH1022",2010-07-11 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",22,2010,"STATUS_AND_TREND",200,"{057343A8-39F7-4454-89BE-70BEB34F8ED5}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"middle",NA,64.02943227,27.05139616,45.82300791,0.08632332,10.14473057,0.50117814,1737,NA,37.5,2,1,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0022",41.4019508783999,-122.088052000382,"Downstream End","Random GRTS","Ash Creek","2018CAASH1022",2018-07-14 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CAASH0032",41.4290638184429,-122.08162399999,"Downstream End","Random GRTS","Brewer Creek","2010CAASH1032",2010-07-13 00:00:00,"2010","Wadeable",NA,NA,NA,"NA","CAASH",32,2010,"STATUS_AND_TREND",160,"{3B90D9CA-0C79-47C9-892F-5020B12AE24C}","CA","180200040102","Shasta-Trinity National Forest","FSR5","KS",2010,"imp90",NA,14.18870523,30.39586338,22.18091002,0.06634255,2.28267055,0.29448235,1731,NA,77.14285714,1,1,"RES","Klamath/Siskiyou","CA","N",2,"CAASH"
"CAASH0032",41.4290638184429,-122.08162399999,"Downstream End","Random GRTS","Brewer Creek","2018CAASH1032",2018-07-12 00:00:00,"2018","Wadeable",NA,NA,NA,"None",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
