"UNIQUE_ID","DSGN_CYCLE","COMID","SITE_ID"
"NRS_AL-10005","2008-09","19645438","FW08AL011"
"NRS_AL-10006","2008-09","18227941","FW08AL009"
"NRS_AL-10010","2008-09","22203253","FW08AL004"
"NRS_AL-10019","2008-09","21655478","FW08AL002"
"NRS_AL-10020","2008-09","22202275","FW08AL008"
"NRS_AL-10023","2008-09","18670272","FW08AL007"
"NRS_AL-10024","2008-09","2409198","FW08AL003"
"NRS_AL-10026","2008-09","22273974","FW08AL006"
"NRS_AL-10029","2008-09","21655990","FW08AL001"
"NRS_AL-10031","2008-09","19598502","FW08AL012"
"NRS_AL-10032","2008-09","22034461","FW08AL013"
"NRS_AL-10033","2008-09","21717668","FW08AL014"
"NRS_AL-10034","2008-09","2413396","FW08AL015"
"NRS_AL-10035","2008-09","19580273","FW08AL016"
"NRS_AL-10037","2008-09","22274544","FW08AL018"
"NRS_AL-10038","2008-09","18208576","FW08AL019"
"NRS_AL-10039","2008-09","21656490","FW08AL020"
"NRS_AL-10040","2008-09","2188031","FW08AL021"
"NRS_AL-10041","2008-09","21639814","FW08AL022"
"NRS_AL-10042","2008-09","21455328","FW08AL023"
"NRS_AL-10043","2008-09","18589042","FW08AL024"
"NRS_AL-10044","2008-09","3434292","FW08AL025"
"NRS_AL-10045","2008-09","21642420","FW08AL026"
"NRS_AL-10046","2008-09","21455470","FW08AL027"
"NRS_AL-10051","2008-09","19567812","FW08AL032"
"NRS_AL-10052","2008-09","22203587","FW08AL033"
"NRS_AL-10053","2008-09","18091929","FW08AL034"
"NRS_AL-10054","2008-09","18229879","FW08AL035"
"NRS_AL-10055","2008-09","18645468","FW08AL036"
"NRS_AL-10057","2008-09","3296412","FW08AL046"
"NRS_AL-10058","2008-09","21659936","FW08AL047"
"NRS_AL-10061","2008-09","21453030","FW08AL051"
"NRS_AR-10016","2008-09","7805589","FW08AR007"
"NRS_AR-10017","2008-09","7561231","FW08AR006"
"NRS_AR-10019","2008-09","7627960","FW08AR003"
"NRS_AL-10047","2008-09","19598508","FW08AL028"
"NRS_AL-10048","2008-09","15809987","FW08AL029"
"NRS_AL-10049","2008-09","2208972","FW08AL030"
"NRS_AL-10050","2008-09","21658128","FW08AL031"
"NRS_AR-10059","2008-09","14865395","FW08AR012"
"NRS_AR-10060","2008-09","21812182","FW08AR013"
"NRS_AR-10061","2008-09","3682162","FW08AR014"
"NRS_AR-10063","2008-09","7751684","FW08AR016"
"NRS_AR-10064","2008-09","21821222","FW08AR017"
"NRS_AR-10066","2008-09","7830270","FW08AR019"
"NRS_AR-10067","2008-09","22699450","FW08AR020"
"NRS_AR-10025","2008-09","3667406","FW08AR001"
"NRS_AR-10026","2008-09","21923571","FW08AR008"
"NRS_AR-10040","2008-09","15236258","FW08AR004"
"NRS_AR-10052","2008-09","14318887","FW08AR002"
"NRS_AR-10055","2008-09","22702780","FW08AR009"
"NRS_AR-10057","2008-09","7471678","FW08AR010"
"NRS_AR-10079","2008-09","7756138","FW08AR032"
"NRS_AR-10082","2008-09","7764647","FW08AR035"
"NRS_AR-10083","2008-09","9544233","FW08AR036"
"NRS_AR-10084","2008-09","7549121","FW08AR037"
"NRS_AR-10088","2008-09","7629290","FW08AR041"
"NRS_AR-10089","2008-09","22865301","FW08AR042"
"NRS_AR-10069","2008-09","22864775","FW08AR022"
"NRS_AR-10071","2008-09","3747896","FW08AR024"
"NRS_AR-10072","2008-09","11807676","FW08AR025"
"NRS_AR-10073","2008-09","3672208","FW08AR026"
"NRS_AR-10074","2008-09","11800649","FW08AR027"
"NRS_AR-10075","2008-09","14865277","FW08AR028"
"NRS_AR-10077","2008-09","21999768","FW08AR030"
"NRS_AR-10078","2008-09","7817214","FW08AR031"
"NRS_AR-10115","2008-09","14189961","FW08AR078"
"NRS_AR-10116","2008-09","7751690","FW08AR080"
"NRS_AR-10117","2008-09","22704848","FW08AR084"
"NRS_AR-10090","2008-09","14320659","FW08AR043"
"NRS_AR-10091","2008-09","7802359","FW08AR044"
"NRS_AR-10099","2008-09","19950146","FW08AR052"
"NRS_AR-10100","2008-09","7672972","FW08AR053"
"NRS_AR-10104","2008-09","11830740","FW08AR057"
"NRS_AR-10107","2008-09","1543505","FW08AR060"
"NRS_AR-10108","2008-09","14191085","FW08AR067"
"NRS_AR-10109","2008-09","11828858","FW08AR069"
"NRS_AR-10110","2008-09","11774535","FW08AR070"
"NRS_AR-10111","2008-09","21955804","FW08AR072"
"NRS_AR-10112","2008-09","7629788","FW08AR073"
"NRS_AR-10138","2008-09","15238480","FW08AR142"
"NRS_AR-10120","2008-09","18055942","FW08AR087"
"NRS_AR-10121","2008-09","21956030","FW08AR088"
"NRS_AR-10123","2008-09","19302949","FW08AR093"
"NRS_AR-10124","2008-09","22003532","FW08AR094"
"NRS_AR-10125","2008-09","7763911","FW08AR099"
"NRS_AR-10127","2008-09","7817572","FW08AR111"
"NRS_AR-10128","2008-09","15232632","FW08AR112"
"NRS_AR-10129","2008-09","21920301","FW08AR114"
"NRS_AR-10131","2008-09","1128599","FW08AR116"
"NRS_AR-10133","2008-09","3678506","FW08AR122"
"NRS_AR-10134","2008-09","7803971","FW08AR124"
"NRS_AR-10135","2008-09","7549955","FW08AR133"
"NRS_AR-10140","2008-09","7672720","FW08AR145"
"NRS_AR-10141","2008-09","22699488","FW08AR146"
"NRS_AR-10142","2008-09","7827470","FW08AR147"
"NRS_AR-10143","2008-09","22698076","FW08AR148"
"NRS_AR-10144","2008-09","19338391","FW08AR151"
"NRS_AR-10145","2008-09","7653039","FW08AR153"
"NRS_AR-10146","2008-09","9270596","FW08AR161"
"NRS_AR-10151","2008-09","7602197","FW08AR177"
"NRS_AR-10152","2008-09","7816238","FW08AR179"
"NRS_AR-10157","2008-09","7806555","FW08AR188"
"NRS_AR-10159","2008-09","3746108","FW08AR192"
"NRS_AR-10162","2008-09","18057726","FW08AR205"
"NRS_AR-10137","2008-09","19341643","FW08AR141"
"NRS_AR-10186","2008-09","7476356","FW08AR274"
"NRS_AR-10187","2008-09","7769717","FW08AR276"
"NRS_AR-10195","2008-09","19949394","FW08AR303"
"NRS_AR-10197","2008-09","1542317","FW08AR307"
"NRS_AR-10200","2008-09","17914871","FW08AR311"
