"SITE_ID","YEAR","VISIT_NO","TRANSECT","TRANSDIR","DATE_COL","TEAM_ID","DENSIOM","COM_FLDF" 
"OWW04440-0139",2004,1,"C","CL",07/29/2004,"11",14," " 
"OWW04440-0139",2004,1,"C","CD",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"C","CR",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"C","LF",07/29/2004,"11",14," " 
"OWW04440-0139",2004,1,"C","RT",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"D","CU",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"D","CL",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"D","CD",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"D","CR",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"D","LF",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"D","RT",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"E","CU",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"E","CL",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"E","CD",07/29/2004,"11",15," " 
"OWW04440-0139",2004,1,"E","CR",07/29/2004,"11",15," " 
"OWW04440-0139",2004,1,"E","LF",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"E","RT",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"F","CU",07/29/2004,"11",15," " 
"OWW04440-0139",2004,1,"F","CL",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"F","CD",07/29/2004,"11",12," " 
"OWW04440-0139",2004,1,"F","CR",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"F","LF",07/29/2004,"11",15," " 
"OWW04440-0139",2004,1,"F","RT",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"G","CU",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"G","CL",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"G","CD",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"G","CR",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"G","LF",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"G","RT",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"H","CU",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"H","CL",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"H","CD",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"H","CR",07/29/2004,"11",15," " 
"OWW04440-0139",2004,1,"H","LF",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"H","RT",07/29/2004,"11",14," " 
"OWW04440-0139",2004,1,"I","CU",07/29/2004,"11",14," " 
"OWW04440-0139",2004,1,"I","CL",07/29/2004,"11",12," " 
"OWW04440-0139",2004,1,"I","CD",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"I","CR",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"I","LF",07/29/2004,"11",8," " 
"OWW04440-0139",2004,1,"I","RT",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"J","CU",07/29/2004,"11",17,"U" 
"OWW04440-0139",2004,1,"J","CL",07/29/2004,"11",17,"U" 
"OWW04440-0139",2004,1,"J","CD",07/29/2004,"11",17,"U" 
"OWW04440-0139",2004,1,"J","CR",07/29/2004,"11",17,"U" 
"OWW04440-0139",2004,1,"J","LF",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"J","RT",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"K","CU",07/29/2004,"11",17," " 
"OWW04440-0139",2004,1,"K","CL",07/29/2004,"11",16," " 
"OWW04440-0139",2004,1,"K","CD",07/29/2004,"11",16," " 
