"SITE_ID","YEAR","VISIT_NO","DATE_COL","TEAM_ID","CHAN_CON","PERCENT","BANKFULL","VALLEY","PATTERN","CONSTRNT","FEATURES","VALLYBOX" 
"WAZP99-0512",2000,1,06/04/2000,"1","UB",0,100,100," "," "," "," " 
"WAZP99-0537",2003,1,05/29/2003,"1"," ",0,75, ,"SINGLE","UNC_BROAD","NOCONST","Y" 
"WAZP99-0539",2000,1,05/22/2000,"1","CT",50,70,300," "," "," "," " 
"WAZP99-0545",2000,1,06/05/2000,"1","US",0,30,50," "," "," "," " 
"WAZP99-0551",2000,1,05/24/2000,"1","CH",0.5, , ," "," "," "," " 
"WAZP99-0568",2000,1,05/20/2000,"1","CH",100,25,150," "," "," "," " 
"WAZP99-0569",2000,1,06/06/2000,"1","CH",100,5,40," "," "," "," " 
"WAZP99-0590",2002,1,09/15/2002,"1"," ",100,75,75,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WAZP99-0598",2000,1,05/23/2000,"1","US", , , ," "," "," "," " 
"WAZP99-0599",2004,1,06/29/2004,"1"," ",80,20,1000,"SINGLE","CON_BROAD","HILLSLOPE","Y" 
"WAZP99-0605",2000,1,06/07/2000,"1","CH",10,50,100," "," "," "," " 
"WAZP99-0615",2000,1,06/17/2000,"1","CH",100,5,60," "," "," "," " 
"WAZP99-0619",2000,1,06/19/2000,"1","CT",40,30,100," "," "," "," " 
"WAZP99-0632",2001,1,05/22/2001,"1"," ",55,30,100,"SINGLE","CON_VSHAPED","BEDROCK","Y" 
"WAZP99-0639",2001,1,05/31/2001,"1"," ",100,4,100,"SINGLE","CON_BROAD","TERRACE"," " 
"WAZP99-0645",2001,1,06/13/2001,"1"," ",0,10,200,"SINGLE","UNC_BROAD","NOCONST"," " 
"WAZP99-0648",2001,1,06/01/2001,"1"," ",0,35,50,"SINGLE","UNC_NARROW","HILLSLOPE"," " 
"WAZP99-0649",2001,1,05/25/2001,"1"," ",90,40,40,"ANASTOM","CON_VSHAPED","BEDROCK"," " 
"WAZP99-0653",2001,1,06/28/2001,"1"," ",70,5,55,"SINGLE","UNC_NARROW","TERRACE"," " 
"WAZP99-0669",2001,1,06/27/2001,"1"," ",25,3,300,"SINGLE","CON_BROAD","TERRACE","Y" 
"WAZP99-0681",2001,1,06/19/2001,"1"," ",45,20,90,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WAZP99-0687",2001,1,05/30/2001,"1"," ",100,8,35,"SINGLE","UNC_NARROW","TERRACE"," " 
"WAZP99-0701",2001,1,06/26/2001,"1"," ",5,9,50,"SINGLE","CON_VSHAPED","TERRACE"," " 
"WAZP99-0712",2002,1,08/01/2002,"1"," ",35,30,1500,"SINGLE","UNC_BROAD","NOCONST","Y" 
"WAZP99-0716",2002,1,06/20/2002,"1"," ",75,43,1500,"SINGLE","UNC_BROAD","NOCONST"," " 
"WAZP99-0722",2002,1,07/18/2002,"1"," ",70,3,150,"SINGLE","UNC_BROAD","TERRACE"," " 
"WAZP99-0744",2002,1,08/15/2002,"1"," ",70,5,55,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WAZP99-0750",2003,1,07/30/2003,"1"," ",50,11,50,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
"WAZP99-0768",2002,1,09/15/2002,"1"," ",100,15,50,"SINGLE","UNC_NARROW","BEDROCK"," " 
"WAZP99-0783",2002,1,07/16/2002,"1"," ",85,15,250,"SINGLE","CON_VSHAPED","TERRACE"," " 
"WAZP99-0828",2002,1,08/13/2002,"1"," ",15,25,400,"SINGLE","UNC_NARROW","NOCONST"," " 
"WAZP99-0833",2003,1,06/10/2003,"1"," ",50,9,75,"SINGLE","CON_VSHAPED","BEDROCK"," " 
"WAZP99-0839",2003,1,05/06/2003,"1"," ",10, ,150,"SINGLE","UNC_NARROW","BEDROCK"," " 
"WAZP99-0840",2002,1,08/14/2002,"1"," ",80,3,1000,"SINGLE","CON_BROAD","TERRACE","Y" 
"WAZP99-0851",2002,1,08/19/2002,"1"," ",30,45,750,"SINGLE","UNC_BROAD","NOCONST"," " 
"WAZP99-0861",2003,1,05/28/2003,"1"," ",100,9,350,"SINGLE","CON_BROAD","TERRACE"," " 
"WAZP99-0863",2003,1,05/14/2003,"1"," ",10,11,150,"SINGLE","UNC_NARROW","TERRACE"," " 
"WAZP99-0868",2003,1,06/03/2003,"1"," ",5,15,70,"SINGLE","UNC_NARROW","BEDROCK"," " 
"WAZP99-0876",2003,1,06/17/2003,"1"," ",100,6,2000,"SINGLE","CON_BROAD","TERRACE"," " 
"WAZP99-0888",2003,1,05/20/2003,"1"," ",100,7,350,"SINGLE","CON_VSHAPED","HILLSLOPE"," " 
