"SITE_ID","YEAR","VISIT_NO","TRANSECT","DATE_COL","TEAM_ID","ALGAE","ALGAE_F","MACPHY","MACPHY_F","WOODY","WOODY_F","BRUSH","BRUSH_F","ROOTS","ROOTS_F","OVRHNG","OVRHNG_F","UNDCUT","UNDCUT_F","BOULDR","BOULDR_F","STRUCT","STRUCT_F","TRANSDIR" 
"WAZP99-0512",2000,1,"A",06/04/2000,"1",2," ",2," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"B",06/04/2000,"1",2," ",2," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"C",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",1," ",0," "," " 
"WAZP99-0512",2000,1,"D",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0512",2000,1,"E",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"F",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"G",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",2," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"H",06/04/2000,"1",1," ",2," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"I",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"J",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0512",2000,1,"K",06/04/2000,"1",1," ",1," ",0," ",0," ",0," ",1," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"A",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"B",05/29/2003,"1",0," ",0," ",0," ",1," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"C",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"D",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"E",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"F",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"G",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"H",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"I",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"J",05/29/2003,"1",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0537",2003,1,"K",05/29/2003,"1",0," ",0," ",0," ",1," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0539",2000,1,"A",05/22/2000,"1",1," ",0," ",0," ",1," ",0," ",1," ",1," ",4," ",0," "," " 
"WAZP99-0539",2000,1,"B",05/22/2000,"1",0," ",0," ",2," ",1," ",0," ",1," ",0," ",4," ",0," "," " 
"WAZP99-0539",2000,1,"C",05/22/2000,"1",1," ",0," ",2," ",2," ",0," ",0," ",0," ",4," ",0," "," " 
"WAZP99-0539",2000,1,"D",05/22/2000,"1",1," ",0," ",2," ",2," ",0," ",1," ",0," ",4," ",0," "," " 
"WAZP99-0539",2000,1,"E",05/22/2000,"1",1," ",1," ",1," ",1," ",1," ",1," ",0," ",4," ",0," "," " 
"WAZP99-0539",2000,1,"F",05/22/2000,"1",1," ",1," ",1," ",1," ",1," ",1," ",1," ",4," ",0," "," " 
"WAZP99-0539",2000,1,"G",05/22/2000,"1",1," ",1," ",1," ",2," ",1," ",0," ",0," ",4," ",0," "," " 
"WAZP99-0539",2000,1,"H",05/22/2000,"1",1," ",1," ",1," ",1," ",0," ",1," ",0," ",2," ",0," "," " 
"WAZP99-0539",2000,1,"I",05/22/2000,"1",1," ",1," ",1," ",2," ",1," ",1," ",1," ",1," ",0," "," " 
"WAZP99-0539",2000,1,"J",05/22/2000,"1",1," ",0," ",2," ",2," ",1," ",2," ",1," ",1," ",0," "," " 
"WAZP99-0539",2000,1,"K",05/22/2000,"1",1," ",0," ",2," ",2," ",0," ",1," ",1," ",1," ",0," "," " 
"WAZP99-0545",2000,1,"A",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0545",2000,1,"B",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0545",2000,1,"C",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0545",2000,1,"D",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",2," ",0," "," " 
"WAZP99-0545",2000,1,"E",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",2," ",1," ",0," "," " 
"WAZP99-0545",2000,1,"F",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",2," ",0," ",0," "," " 
"WAZP99-0545",2000,1,"G",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",0," ",0," "," " 
"WAZP99-0545",2000,1,"H",06/05/2000,"1",0," ",2," ",0," ",0," ",0," ",0," ",1," ",0," ",0," "," " 
"WAZP99-0545",2000,1,"I",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",1," ",1," ",0," "," " 
"WAZP99-0545",2000,1,"J",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",1," ",3," ",0," "," " 
"WAZP99-0545",2000,1,"K",06/05/2000,"1",0," ",1," ",0," ",0," ",0," ",0," ",0," ",3," ",0," "," " 
