"SITE_ID","YEAR","VISIT_NO","LTMXSPP","LTMXDIST","LTMXDBH","LTMXSIZE","LTMXHT","LTMXCNT","LTMDDIST","LTMDDOM","LTMDSUB","LTMDDOMN","LTMDSUBN","LTSPLIST","LTFRACS","LTFRACM","LTFRACL","LTFRACX" 
"WAZP99-0512",2000,1,"Poplar/Cottonwood",75,".75-2","L","15-30",11,14.2,"Willow","Poplar/Cottonwood",6,3,"COTTONWOOD,GOODDING WILLOW,GOODDING WILLOW,GOODDING WILLOW,MESQUITE,COTTONWOOD,GOODDING WILLOW,GOODDING WILLOW,GOODDING WILLOW,COTTONWOOD,GOODING WILLOW",11,10,1,0 
"WAZP99-0537",2003,1," ", ," "," "," ", , ," "," ",11, ," ", , , ,  
"WAZP99-0539",2000,1,"Poplar/Cottonwood",50,".75-2","X",">30",11,22.571428571,"Sycamore","Alder/Birch",3,2,"POPLAR,SYCAMORE,ASH,POPLAR,SYCAMORE,SYCAMORE,WILLOW,ALDER,ALDER,SYCAMORE,ALDER",11,11,5,1 
"WAZP99-0545",2000,1,"Spruce",8,".75-2","L","5-15",1,8,"Spruce"," ",1, ,"BLUE SPRUCE",1,1,1,0 
"WAZP99-0551",2000,1,"Sycamore",5,".75-2","X",">30",11,3.5,"Sycamore"," ",8,1,"SYCAMORE,SYCAMORE,GOODDING WILLOW,SYCAMORE,ARIZONA WALNUT,ARIZONA CYPRESS,SYCAMORE,SYCAMORE,SYCAMORE,SYCAMORE,SYCAMORE",11,11,11,1 
"WAZP99-0568",2000,1,"Willow",6,".3-.75","M","5-15",11,7,"Willow"," ",11, ,"WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW,WILLOW",11,6,0,0 
"WAZP99-0569",2000,1,"Firs/Hemlock",3,".75-2","X",">30",10,5,"Firs/Hemlock","Pine",5,1,"DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,PONDEROSA PINE,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,WHITE FIR,DOUGLAS FIR",10,10,8,6 
"WAZP99-0590",2002,1,"Acacia/Mesquite",10,"0-0.1","S","<5",10,23,"Acacia/Mesquite"," ",10, ,"ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE,ACACIA MESQUITE",10,0,0,0 
"WAZP99-0598",2000,1,"Firs/Hemlock",2,".75-2","X",">30",11,3.4444444444,"Firs/Hemlock","Maple/Boxelder",8,1,"DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,BOX ELDER,DOUGLAS FIR,DOUGLAS FIR,DOUGLAS FIR,PONDEROSA PINE,DOUGLAS FIR",11,11,11,8 
"WAZP99-0599",2004,1,"Poplar/Cottonwood",50,".1-.3","M","15-30",11,43.125,"Poplar/Cottonwood"," ",8, ,"COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,WILLOW,SALT CEDAR,COTTONWOOD,COTTONWOOD,COTTONWOOD,COTTONWOOD,SALT CEDAR",11,8,0,0 
"WAZP99-0605",2000,1,"Juniper",10,".3-.75","M","5-15",11,7.8333333333,"Juniper","Sycamore",5,1,"DESERT WILLOW,DESERT WILLOW,JUNIPER,JUNIPER,SYCAMORE,DESERT WILLOW,JUNIPER,DESERT HACKBERRY,JUNIPER,JUNIPER,ARIZONA ALDER",11,7,0,0 
"WAZP99-0615",2000,1,"Firs/Hemlock",10,".75-2","L","15-30",11,4.6363636364,"Firs/Hemlock","Pine",5,3,"DOUGLAS FIR,DOUGLAS FIR,DOUGLAS,BLUE SPRUCE,DOUGLAS FIR,DOUGLAS FIR,BLUE SPRUCE,PONDEROSA PINE,PONDEROSA PINE,PONDEROSA PINE,GAMBELS OAK",11,11,7,0 
"WAZP99-0632",2001,1,"Pine",12,".3-.75","L",">30",6,22.909090909,"Pine"," ",11, ,"PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE,PINE",6,6,6,0 
