"SITE_ID","YEAR","VISIT_NO","TRANSECT","DATE_COL","TEAM_ID","SUB_5_7","XSUB_LFT","XSUBLCTR","XSUB_CTR","XSUBRCTR","XSUB_RGT","COM_FLDF" 
"WAZP99-0512",2000,1,"A",06/04/2000,"1",5,"FN","FN","FN","GC","CB"," " 
"WAZP99-0512",2000,1,"B",06/04/2000,"1",5,"FN","GC","FN","FN","FN"," " 
"WAZP99-0512",2000,1,"C",06/04/2000,"1",5,"FN","FN","FN","FN","FN"," " 
"WAZP99-0512",2000,1,"D",06/04/2000,"1",5,"FN","FN","CB","FN","FN"," " 
"WAZP99-0512",2000,1,"E",06/04/2000,"1",5,"FN","CB","FN","FN","FN"," " 
"WAZP99-0512",2000,1,"F",06/04/2000,"1",5,"GC","FN","FN","FN","FN"," " 
"WAZP99-0512",2000,1,"G",06/04/2000,"1",5,"FN","FN","GC","GC","FN"," " 
"WAZP99-0512",2000,1,"H",06/04/2000,"1",5,"GC","FN","CB","FN","FN"," " 
"WAZP99-0512",2000,1,"I",06/04/2000,"1",5,"FN","FN","FN","FN","FN"," " 
"WAZP99-0512",2000,1,"J",06/04/2000,"1",5,"FN","FN","FN","FN","FN"," " 
"WAZP99-0537",2003,1,"A",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"B",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"C",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"D",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"E",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"F",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"G",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"H",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"I",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0537",2003,1,"J",05/29/2003,"1",5,"SA","SA","SA","SA","SA"," " 
"WAZP99-0539",2000,1,"A",05/22/2000,"1",5,"BL","BL","BL","BL","BL"," " 
"WAZP99-0539",2000,1,"B",05/22/2000,"1",5,"BL","BL","BL","BL","BL"," " 
"WAZP99-0539",2000,1,"C",05/22/2000,"1",5,"BL","CB","BL","CB","SA"," " 
"WAZP99-0539",2000,1,"D",05/22/2000,"1",5,"BL","BL","BL","BL","SA"," " 
"WAZP99-0539",2000,1,"E",05/22/2000,"1",5,"BL","CB","BL","GC","FN"," " 
"WAZP99-0539",2000,1,"F",05/22/2000,"1",5,"FN","GC","CB","BL","FN"," " 
"WAZP99-0539",2000,1,"G",05/22/2000,"1",5,"BL","CB","FN","FN","FN"," " 
"WAZP99-0539",2000,1,"H",05/22/2000,"1",5,"FN","CB","CB","CB","FN"," " 
"WAZP99-0539",2000,1,"I",05/22/2000,"1",5,"FN","BL","GC","CB","FN"," " 
"WAZP99-0539",2000,1,"J",05/22/2000,"1",5,"FN","CB","FN","CB","FN"," " 
"WAZP99-0545",2000,1,"A",06/05/2000,"1",5,"GC","GC","CB","BL","GC"," " 
"WAZP99-0545",2000,1,"B",06/05/2000,"1",5,"FN","FN","CB","GC","GC"," " 
"WAZP99-0545",2000,1,"C",06/05/2000,"1",5,"BL","CB","CB","BL","BL"," " 
"WAZP99-0545",2000,1,"D",06/05/2000,"1",5,"CB","CB","GC","GC","GC"," " 
"WAZP99-0545",2000,1,"E",06/05/2000,"1",5,"FN","GC","GC","GC","FN"," " 
"WAZP99-0545",2000,1,"F",06/05/2000,"1",5,"FN","GC","GC","GC","FN"," " 
"WAZP99-0545",2000,1,"G",06/05/2000,"1",5,"GC","GC","GC","GC","GC"," " 
"WAZP99-0545",2000,1,"H",06/05/2000,"1",5,"GC","GC","GC","GC","GC"," " 
"WAZP99-0545",2000,1,"I",06/05/2000,"1",5,"CB","GC","GC","BL","CB"," " 
"WAZP99-0545",2000,1,"J",06/05/2000,"1",5,"FN","GC","GC","BL","FN"," " 
"WAZP99-0551",2000,1,"A",05/24/2000,"1",5,"CB","CB","CB","FN","FN"," " 
"WAZP99-0551",2000,1,"B",05/24/2000,"1",5,"CB","GC","BL","BL","BL"," " 
"WAZP99-0551",2000,1,"C",05/24/2000,"1", ," "," "," "," "," "," " 
"WAZP99-0551",2000,1,"D",05/24/2000,"1",5,"FN","CB","BL","BL","CB"," " 
"WAZP99-0551",2000,1,"E",05/24/2000,"1",5,"BL","CB","CB","GC","WD"," " 
"WAZP99-0551",2000,1,"F",05/24/2000,"1",5,"BL","CB","BL","GC","CB"," " 
"WAZP99-0551",2000,1,"G",05/24/2000,"1",5,"BL","BL","BL","CB","BL"," " 
"WAZP99-0551",2000,1,"H",05/24/2000,"1",5,"CB","CB","BL","CB","FN"," " 
"WAZP99-0551",2000,1,"I",05/24/2000,"1",5,"CB","CB","BL","CB","BL"," " 
"WAZP99-0551",2000,1,"J",05/24/2000,"1",5,"BL","CB","GC","CB","CB"," " 
