"SITE_ID","YEAR","VISIT_NO","XBKA","XUN","XBKF_W","XBKF_H","XINC_H","XPCM","XPCMG","XPMG","XPMGH","XPMGW","XCL","XGB","XC","XG","XCMW","XCMGW","PCAN_C","XCDENBK","XCDENMID","XEMBED","XFC_ALG","XFC_AQM","XFC_LWD","XFC_BRS","XFC_OHV","XFC_UCB","XFC_RCK","XFC_HUM","XFC_ALL","XFC_NAT","XFC_BIG","W1_HALL","W1_HNOAG","W1_HAG","W1H_WALL","W1H_PIPE","LSUB_DMM","LTEST","LRBS_TST","LDMB_BW5","LRBS_BW5","REACHLEN","XSLOPE","XDEPTH","RPGT75","RPGT100","RPMXDEP","RPXAREA","RP100","PCT_FN","PCT_SA","PCT_HP","PCT_RC","PCT_SAFN","PCT_SFGF","PCT_BIGR","PCT_BDRK","PCT_ORG","LSUBD_SD","V1W_MSQ","V4W_MSQ","V1TM100","V4TM100","SINU","SDDEPTH","XWIDTH","XWXD","XWD_RAT","SDWXD","PCT_FA","PCT_FAST","PCT_SLOW","PCT_POOL","PCT_DRS","PCT_SIDE","SAMPLED" 
"WAZP99-0512",2000,1,42.318181818,0,89.090909091,3,6,0.4545454545,0.4545454545,0.8636363636,0.1363636364,0.5454545455,0.0204545455,0.0931818182,0.0431818182,0.1988636364,0.0931818182,0.1454545455,0,73.529411765,0.5347593583,94,0.0863636364,0.1045454545,0,0,0.0590909091,0,0.0272727273,0,0.0863636364,0.0863636364,0.0272727273,1.9545545455,0.4545545455,1.5,0,0,-1.388367728,1.2974921283,-2.685859857,2.3180422171,-3.706409945,514.8,0.93,31.14,0,0,49.668,1.3301551761,4.650892224,81.904761905,0,0,0,81.904761905,81.904761905,18.095238095,0,0,1.5495134719,0,0,0,0,1.0673446947,9.6661650863,19.26,6.1607,64.598643994,3.0993700226,0,26,74,1,0,0,"YES" 
"WAZP99-0539",2000,1,34.181818182,0.0121428571,24.454545455,1.4454545455,8.9090909091,0.9545454545,0.9545454545,0.9545454545,0.8636363636,0.8181818182,0.2409090909,0.3068181818,0.4590909091,0.1909090909,0.5954545455,0.6545454545,0,86.363636364,27.673796791,55.925925926,0.0454545455,0.0227272727,0.1363636364,0.1590909091,0.0590909091,0.0227272727,0.5931818182,0,0.9704545455,0.9704545455,0.7522727273,0.7197272727,0.7197272727,0,0,0.3863772727,1.39577107,1.6938907895,-0.298119719,2.3309201329,-0.935149063,148.5,1.8,40.08,0,0,34.64,1.240837953,10.86255447,21.904761905,2.8571428571,0,0,24.761904762,28.571428571,70.476190476,0,0.9523809524,2.0271830079,0,0,0,0,1.0050371264,11.71865473,10.815,4.7428,26.46176226,3.0496186405,0,43,57,38,0,0,"YES" 
"WAZP99-0545",2000,1,25.5,0.0409090909,28.181818182,0.5454545455,1.6363636364,0,0,0,0,0,0,0,0,0.6284090909,0,0,0,0,0,63.363636364,0,0.0681818182,0,0,0,0.0590909091,0.2045454545,0,0.2636363636,0.2636363636,0.2636363636,1.1363636364,0,1.1363636364,0,0,1.0724373573,0.7592765013,0.313160856,1.2631928413,-0.190755484,148.5,0.38,22.07,0,0,27.2275,1.0216439317,6.1917814043,19.047619048,0,0,0,19.047619048,19.047619048,80.952380952,0,0,1.6152253015,0,0,0,0,1.1429092096,10.969429513,3.785,0.96905,18.514358003,1.019799592,0,16,84,43,0,0,"YES" 
"WAZP99-0551",2000,1,26.363636364,0,48.181818182,3.4545454545,3.4545454545,0.8636363636,0.7272727273,0.7272727273,0,0.5454545455,0.2227272727,0.3431818182,0.3227272727,0.0522727273,0.3931818182,0.4272727273,0,100,100,76.454545455,0.2613636364,0.0181818182,0.0863636364,0.1590909091,0.0681818182,0.0090909091,0.2909090909,0,0.6136363636,0.6136363636,0.3863636364,0,0,0,0,0,1.8374956626,1.6032916395,0.2342040231,2.8982782084,-1.060782546,148.5,3.2,18.3,0,0,22.62,0.1665719356,2.8042413397,12,0,0,0,12,12,84,0,4,1.5791136556,0.0000405311,0,0.2734006734,0,1.0810435194,5.7198926316,2.661,0.52959,14.350979659,0.3854916122,0,94.949494949,5.0505050505,5.0505050505,0,0,"YES" 
"WAZP99-0568",2000,1,39.318181818,0.0136363636,24.818181818,1.0727272727,3.8818181818,0.8181818182,0.8181818182,0.9545454545,0.9545454545,0.5,0.025,0.4272727273,0.0681818182,0.0863636364,0.1068181818,0.1340909091,0,48.395721925,17.780748663,80.363636364,0.05,0.1409090909,0,0.0409090909,0.0136363636,0.0090909091,0.1522727273,0,0.2159090909,0.2159090909,0.1613636364,0,0,0,0,0,0.2055104183,1.2669256367,-1.061415218,2.108128037,-1.902617619,148.5,1.6,16.87,0,0,27.1,0.659642834,7.1072628576,45.714285714,1.9047619048,0,0,47.619047619,56.19047619,40.952380952,0,0.9523809524,2.3136814279,0,0,0,0,1.0116670816,8.4395114512,2.415,0.4576,16.384022473,0.4522765107,0,50,50,44.444444444,0,24,"YES" 
"WAZP99-0569",2000,1,58.454545455,0.0340909091,5.2272727273,0.8454545455,2.5,1,1,1,1,1,0.3738636364,0.3795454545,0.4511363636,0.4329545455,0.7420454545,0.8193181818,0,97.860962567,91.443850267,30.4,0,0,0.2818181818,0.2431818182,0.0681818182,0.0045454545,0.4840909091,0,1.0818181818,1.0818181818,0.7704545455,0,0,0,0,0,2.2294629283,2.0817793739,0.1476835544,2.7773887131,-0.547925785,148.5,10.83,16.272727273,0,0,38.5175,0.222203125,3.5911616162,2.8571428571,1.9047619048,0,0,4.7619047619,4.7619047619,88.571428571,0,6.6666666667,1.0242771714,0.082452818,0.0635465378,95.296296296,65.508417508,1.1250737273,10.394089943,2.455,0.41985,18.519691851,0.3571603318,0,53.535353535,45.454545455,34.343434343,1.0101010101,0,"YES" 
"WAZP99-0598",2000,1,57.272727273,0.08125,20.363636364,3.9090909091,4,1,0.9,0.9,0.0476190476,0.8571428571,0.5,0.2522727273,0.7659090909,0.0977272727,0.8647727273,0.9079545455,0,92.780748663,75.401069519,41.363636364,0.0136363636,0.0590909091,0.1659090909,0.1227272727,0.0090909091,0.0136363636,0.8477272727,0,1.1590909091,1.1590909091,1.0272727273,0,0,0,0,0,2.5355862372,1.9959669741,0.5396192631,3.1544678077,-0.618881571,148.5,5.1,28.36,1,0,78.5375,0.8186539694,10.474360551,4.7619047619,0,0,0,4.7619047619,6.6666666667,92.380952381,0,0.9523809524,1.16221765,0.0014031085,0.0009626323,3.0188552189,1.9602693603,1.1090974857,16.889731505,3.795,1.1323,17.797123065,1.1195669793,0,74.747474747,25.252525253,12.121212121,0,6,"YES" 
"WAZP99-0605",2000,1,21.136363636,0,52,1,2.0454545455,0,0,1,0,0.9545454545,0,0.4477272727,0,0.125,0.2545454545,0.3022727273,0,65.50802139,18.449197861,67.181818182,0.0181818182,0,0,0.0136363636,0.0363636364,0,0.2,0,0.25,0.25,0.2,1.5,0,1.5,0,0,1.4054523207,0.7124451732,0.6930071476,1.5169277693,-0.111475449,148.5,0.43,17.51,0,0,30.3975,0.6720346154,5.8831313131,18.095238095,0,0,0,18.095238095,18.095238095,81.904761905,0,0,1.7049036583,0,0,0,0,1.0299315298,8.7979508634,4.92,0.88155,33.673373384,0.4533949684,0,26,74,49,0,0,"YES" 
"WAZP99-0615",2000,1,38.090909091,0,3.9545454545,0.6363636364,1.9545454545,0.9090909091,0.9090909091,1,0,1,0.0818181818,0.3227272727,0.1522727273,0.3454545455,0.3920454545,0.5420454545,0,95.989304813,87.299465241,37.618181818,0.0045454545,0,0.0545454545,0.05,0.3795454545,0.0045454545,0.875,0,1.3636363636,1.3636363636,0.9340909091,1,0,1,0,0,2.1962674606,1.422286877,0.7739805836,2.2660033789,-0.069735918,148.5,4.52,8.54,0,0,51.75,0.3061184211,3.9166666667,3.8095238095,0,0,0,3.8095238095,3.8095238095,92.380952381,0,3.8095238095,1.0394863239,0.0433478076,0.0209995743,21.760942761,10.264646465,1.2414669899,9.7756861858,0.769,0.10887,7.8672398186,0.1300992823,0,12,69,56,19,0,"YES" 
"WAZP99-0619",2000,1,24.363636364,0,27,0.7409090909,4.5909090909,0.3636363636,0.3636363636,1,0.0454545455,1,0.0181818182,0.3284090909,0.0181818182,0.3420454545,0.2227272727,0.3454545455,0,62.299465241,3.4759358289,69, ,0.8477272727,0.05,0.05,0.1227272727,0,0.25,0,0.4727272727,0.4727272727,0.3,0.33335,0.33335,0,0,0,0.5149866314,1.4529027631,-0.937916132,1.7723286954,-1.257342064,633.6,0.73,56.74,1,1,104.192,4.3753412721,12.429946796,33.653846154,0,0,0,33.653846154,33.653846154,66.346153846,0,0,1.9050278475,0.00005448,0,0.1470959596,0,1.0230594631,26.466910922,17.16,11.1268,33.979021696,9.3509517928,0,26,74,21,0,0,"YES" 
