"SITE_ID","YEAR","VISIT_NO","N_BA","XBKA","SDBK_A","BKA_Q3","MEDBK_A","BKA_Q1","INTQBKA","N_UN","XUN","SDUN","BKUN_Q3","MEDBKUN","BKUN_Q1","INTQBKUN","SIDECNT","N_BW","XBKF_W","SDBKF_W","N_BH","XBKF_H","SDBKF_H","N_INCIS","XINC_H","SDINC_H","XPCAN","XPMID","XPGVEG","XPCM","XPCMG","XPMG","XPMGH","XPMGW","XCL","XCS","XMW","XMH","XGW","XGH","XGB","XC","XM","XG","XCM","XCMW","XCMG","XCMGW","SDCL","SDCS","SDMW","SDMH","SDGW","SDGH","SDGB","SDC","SDM","SDG","SDCM","SDCMW","SDCMG","SDCMGW","PCL10","PCL25","PCL75","PCL90","PCS10","PCS25","PCS75","PCS90","PMW10","PMW25","PMW75","PMW90","PMH10","PMH25","PMH75","PMH90","PGW10","PGW25","PGW75","PGW90","PGH10","PGH25","PGH75","PGH90","PGB10","PGB25","PGB75","PGB90","PC10","PC25","PC75","PC90","PM10","PM25","PM75","PM90","PG10","PG25","PG75","PG90","PCM10","PCM25","PCM75","PCM90","PCMW10","PCMW25","PCMW75","PCMW90","PCMG10","PCMG25","PCMG75","PCMG90","PCMGW10","PCMGW25","PCMGW75","PCMGW90","IQRCL","IDRCL","IQRCS","IDRCS","IQRMW","IDRMW","IQRMH","IDRMH","IQRGW","IDRGW","IQRGH","IDRGH","IQRGB","IDRGB","IQRC","IDRC","IQRM","IDRM","IQRG","IDRG","IQRCM","IDRCM","IQRCMW","IDRCMW","IQRCMG","IDRCMG","IQRCMGW","IDRCMGW","PCAN_C","PCAN_D","PCAN_E","PCAN_M","PCAN_N","PMID_C","PMID_D","PMID_E","PMID_M","PMID_N","NMID","NBNK","XCDENBK","VCDENBK","XCDENMID","VCDENMID","N55","XEMBED","VEMBED","N33","XCEMBED","VCEMBED","XFC_ALG","XFC_AQM","XFC_LWD","XFC_BRS","XFC_OHV","XFC_UCB","XFC_RCK","XFC_HUM","PFC_ALG","PFC_AQM","PFC_LWD","PFC_BRS","PFC_OHV","PFC_UCB","PFC_RCK","PFC_HUM","PFC_ALL","PFC_NAT","PFC_BIG","SDFC_OHV","SDFC_UCB","XFC_ALL","XFC_NAT","XFC_BIG","IQROHV","IDROHV","IQRUCB","IDRUCB","SDB_HALL","SDC_HALL","SDCB_HALL","SDWCB_HALL","XB_HALL","XC_HALL","XF_HALL","XCB_HALL","X_HALL","XB_HNOAG","XC_HNOAG","XF_HNOAG","XCB_HNAG","X_HNOAG","XB_HAG","XC_HAG","XF_HAG","XCB_HAG","X_HAG","W1_HALL","W1_HNOAG","W1_HAG","W1H_BLDG" 
"WAZP99-0512",2000,1,22,42.318181818,30.286546382,65,39,15,50,22,0,0,0,0,0,0,0,11,89.090909091,13.751033019,11,3,0,11,6,0,0.4545454545,0.8636363636,1,0.4545454545,0.4545454545,0.8636363636,0.1363636364,0.5454545455,0.0204545455,0.0227272727,0.05,0.025,0.0522727273,0.1465909091,0.0931818182,0.0431818182,0.075,0.1988636364,0.1181818182,0.0931818182,0.3170454545,0.1454545455,0.025161814,0.0550481883,0.0487950036,0.0735980072,0.0680987951,0.1363415386,0.1711623113,0.0622886035,0.0869455221,0.135505507,0.1220318602,0.0849305803,0.1929387954,0.105682691,0,0,0.05,0.05,0,0,0.05,0.05,0,0.05,0.05,0.05,0,0,0,0.05,0,0,0.05,0.05,0.05,0.05,0.25,0.25,0,0,0.05,0.25,0,0,0.1,0.1,0,0.05,0.05,0.25,0.05,0.1,0.3,0.3,0,0.05,0.15,0.3,0,0.05,0.15,0.15,0.1,0.15,0.45,0.625,0.05,0.1,0.2,0.3,0.05,0.05,0.05,0.05,0,0.05,0,0.05,0.05,0.05,0.2,0.2,0.05,0.25,0.1,0.1,0,0.25,0.2,0.25,0.1,0.3,0.1,0.15,0.3,0.525,0.1,0.25,0,0.4545454545,0,0,0.5454545455,0,0.8636363636,0,0,0.1363636364,44,22,73.529411765,39.553863986,0.5347593583,2.4789065287,55,94,21.221931353,33,94.545454545,20.014199505,0.0863636364,0.1045454545,0,0,0.0590909091,0,0.0272727273,0,1,1,0,0,0.8181818182,0,0.1818181818,0,0.9090909091,0.9090909091,0.1818181818,0.0664009858,0,0.0863636364,0.0863636364,0.0272727273,0,0.05,0,0,0.4045199175,0.4670993665,0.5222329679,0.6501748017,1.0909090909,0.1363636364,0.2727272727,1.2272727273,1.5,0.0909090909,0.1363636364,0.2727272727,0.2272727273,0.5,1,0,0,1,1,1.9545545455,0.4545545455,1.5,0 
"WAZP99-0539",2000,1,22,34.181818182,39.490368161,45,20,10,35,14,0.0121428571,0.0314223271,0,0,0,0,0,11,24.454545455,7.5678746866,11,1.4454545455,0.4524679798,11,8.9090909091,6.2242195568,0.9545454545,0.9545454545,1,0.9545454545,0.9545454545,0.9545454545,0.8636363636,0.8181818182,0.2409090909,0.2181818182,0.1363636364,0.0704545455,0.0590909091,0.1318181818,0.3068181818,0.4590909091,0.2068181818,0.1909090909,0.6659090909,0.5954545455,0.8568181818,0.6545454545,0.1366141278,0.0824411111,0.107106776,0.075054093,0.0648007268,0.1006472559,0.1839030895,0.1984381658,0.1583361813,0.1042391523,0.304777969,0.2741476362,0.3661399207,0.3018431834,0.05,0.25,0.25,0.25,0.05,0.25,0.25,0.25,0.05,0.05,0.25,0.25,0,0.05,0.05,0.25,0,0.05,0.05,0.05,0.05,0.05,0.25,0.25,0.25,0.25,0.25,0.25,0.1,0.5,0.5,0.5,0.05,0.1,0.3,0.5,0.1,0.1,0.3,0.3,0.2,0.55,0.8,1,0.15,0.55,0.75,0.75,0.3,0.7,1.1,1.3,0.2,0.55,0.8,1,0,0.2,0,0.2,0.2,0.2,0,0.25,0,0.05,0.2,0.2,0,0,0,0.4,0.2,0.45,0.2,0.2,0.25,0.8,0.2,0.6,0.4,1,0.25,0.8,0,0.9545454545,0,0,0.0454545455,0,0.9545454545,0,0,0.0454545455,44,22,86.363636364,23.834600854,27.673796791,29.659138785,54,55.925925926,37.088294371,33,45.757575758,33.729651554,0.0454545455,0.0227272727,0.1363636364,0.1590909091,0.0590909091,0.0227272727,0.5931818182,0,0.9090909091,0.4545454545,0.9090909091,1,0.8181818182,0.4545454545,1,0,1,1,1,0.0664009858,0.0261116484,0.9704545455,0.9704545455,0.7522727273,0,0.05,0.05,0.05,0.3015113446,0.3015113446,0.4045199175,0.5178627407,0.0454545455,0.0454545455,0.9090909091,0.0909090909,1,0.0454545455,0.0454545455,0.9090909091,0.0909090909,1,0,0,0,0,0,0.7197272727,0.7197272727,0,0.3030454545 
"WAZP99-0545",2000,1,22,25.5,29.242418635,24,15,12,12,22,0.0409090909,0.1532476704,0,0,0,0,0,11,28.181818182,3.3709993123,11,0.5454545455,0.1439696938,11,1.6363636364,0.3931226966,0,0,1,0,0,0,0,0,0,0,0,0,0,0.6284090909,0,0,0,0.6284090909,0,0,0.6284090909,0,0,0,0,0,0,0.1531991107,0,0,0,0.1531991107,0,0,0.1531991107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0.575,0.575,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0.575,0.575,0.575,0.875,0,0,0,0,0,0,0,0,0.575,0.575,0.575,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,0,44,22,0,0,0,0,55,63.363636364,39.640216969,33,50.303030303,37.954318635,0,0.0681818182,0,0,0,0.0590909091,0.2045454545,0,0,1,0,0,0,0.4545454545,0.7272727273,0,0.9090909091,0.9090909091,0.9090909091,0,0.0970004686,0.2636363636,0.2636363636,0.2636363636,0,0,0.05,0.25,0.934198733,0.934198733,0,0.4670993665,0.2727272727,0.7272727273,0,1,1,0,0,0,0,0,0.2727272727,0.7272727273,0,1,1,1.1363636364,0,1.1363636364,0 
"WAZP99-0551",2000,1,22,26.363636364,17.4561913,35,21.5,15,20,22,0,0,0,0,0,0,0,11,48.181818182,11.677484162,11,3.4545454545,0.5222329679,11,3.4545454545,0.5222329679,1,0.8636363636,0.8636363636,0.8636363636,0.7272727273,0.7272727273,0,0.5454545455,0.2227272727,0.1,0.0704545455,0.0045454545,0.0340909091,0.0181818182,0.3431818182,0.3227272727,0.075,0.0522727273,0.3977272727,0.3931818182,0.45,0.4272727273,0.0702500173,0.0951189731,0.075054093,0.0147122472,0.0238365647,0.0246182982,0.2294120096,0.1141503527,0.0869455221,0.0287736351,0.1707666695,0.1598328402,0.158113883,0.1509708839,0.05,0.25,0.25,0.25,0.05,0.05,0.25,0.25,0,0.05,0.05,0.25,0,0,0,0,0,0,0.05,0.05,0,0,0.05,0.05,0.05,0.05,0.575,0.575,0.25,0.3,0.3,0.5,0,0.05,0.05,0.25,0,0.05,0.05,0.1,0.25,0.3,0.55,0.55,0.25,0.3,0.55,0.55,0.35,0.35,0.6,0.6,0.3,0.35,0.55,0.6,0,0.2,0.2,0.2,0,0.25,0,0,0.05,0.05,0.05,0.05,0.525,0.525,0,0.25,0,0.25,0,0.1,0.25,0.3,0.25,0.3,0.25,0.25,0.2,0.3,0,1,0,0,0,0,0.8636363636,0,0,0.1363636364,44,22,100,0,100,0,55,76.454545455,24.975408781,33,78.333333333,23.172810936,0.2613636364,0.0181818182,0.0863636364,0.1590909091,0.0681818182,0.0090909091,0.2909090909,0,1,0.3636363636,1,1,0.6363636364,0.1818181818,1,0,1,1,1,0.0929320377,0.0202259959,0.6136363636,0.6136363636,0.3863636364,0.05,0.25,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"WAZP99-0568",2000,1,22,39.318181818,33.462681935,45,30,15,30,22,0.0136363636,0.0441367415,0,0,0,0,0,11,24.818181818,2.9294430125,11,1.0727272727,0.1902151891,11,3.8818181818,1.7127861407,0.8636363636,0.9545454545,1,0.8181818182,0.8181818182,0.9545454545,0.9545454545,0.5,0.025,0.0431818182,0.0386363636,0.0477272727,0.0272727273,0.0590909091,0.4272727273,0.0681818182,0.0863636364,0.0863636364,0.1545454545,0.1068181818,0.2409090909,0.1340909091,0.0255883158,0.0175625043,0.0214466014,0.0106600358,0.0254823596,0.0426401433,0.1656353372,0.03633657,0.0275240941,0.0538556673,0.0405588664,0.0387158591,0.0683763459,0.0472741841,0,0,0.05,0.05,0,0.05,0.05,0.05,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.25,0.575,0.575,0,0.05,0.1,0.1,0.05,0.1,0.1,0.1,0.05,0.05,0.1,0.1,0.1,0.1,0.2,0.2,0.05,0.1,0.15,0.15,0.15,0.2,0.3,0.3,0.1,0.1,0.15,0.2,0.05,0.05,0,0.05,0,0.05,0,0,0.05,0.05,0,0,0.325,0.325,0.05,0.1,0,0.05,0.05,0.05,0.1,0.1,0.05,0.1,0.1,0.15,0.05,0.1,0,0.8636363636,0,0,0.1363636364,0,0.9545454545,0,0,0.0454545455,44,22,48.395721925,34.152007144,17.780748663,23.37461517,55,80.363636364,26.594599589,33,77.272727273,27.303013487,0.05,0.1409090909,0,0.0409090909,0.0136363636,0.0090909091,0.1522727273,0,0.6363636364,1,0,0.4545454545,0.2727272727,0.1818181818,1,0,1,1,1,0.0233549683,0.0202259959,0.2159090909,0.2159090909,0.1613636364,0.05,0.05,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"WAZP99-0569",2000,1,22,58.454545455,32.622994042,70,57.5,35,35,22,0.0340909091,0.0968385544,0,0,0,0,0,11,5.2272727273,0.9317627478,11,0.8454545455,0.2018099916,11,2.5,0.9486832981,1,1,1,1,1,1,1,1,0.3738636364,0.0772727273,0.2909090909,0.0590909091,0.0772727273,0.3556818182,0.3795454545,0.4511363636,0.35,0.4329545455,0.8011363636,0.7420454545,1.2340909091,0.8193181818,0.1763514606,0.0702500173,0.1489138163,0.0426401433,0.0702500173,0.1981960036,0.1911176968,0.2033173207,0.1523623501,0.2248526454,0.2502947397,0.2463285605,0.3123018853,0.2466359157,0.25,0.25,0.575,0.575,0.05,0.05,0.05,0.25,0.25,0.25,0.25,0.575,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.05,0.25,0.575,0.575,0.25,0.25,0.575,0.575,0.3,0.3,0.625,0.625,0.3,0.3,0.3,0.625,0.1,0.3,0.625,0.625,0.6,0.6,0.925,1,0.55,0.55,0.875,0.875,0.9,1.025,1.35,1.55,0.6,0.6,0.925,1.125,0.325,0.325,0,0.2,0,0.325,0,0,0,0.2,0.325,0.525,0.325,0.325,0.325,0.325,0,0.325,0.325,0.525,0.325,0.4,0.325,0.325,0.325,0.65,0.325,0.525,0,0,0,1,0,0,0,0,0.9090909091,0,44,22,97.860962567,3.870304088,91.443850267,8.9214399362,55,30.4,31.630154389,33,29.242424242,31.699793279,0,0,0.2818181818,0.2431818182,0.0681818182,0.0045454545,0.4840909091,0,0,0,1,1,1,0.0909090909,1,0,1,1,1,0.0603022689,0.0150755672,1.0818181818,1.0818181818,0.7704545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"WAZP99-0598",2000,1,22,57.272727273,40.288462035,75,47.5,25,50,16,0.08125,0.1973786547,0,0,0,0,0,11,20.363636364,6.0542997493,11,3.9090909091,0.53935989,11,4,0.4472135955,1,1,0.9090909091,1,0.9,0.9,0.0476190476,0.8571428571,0.5,0.2659090909,0.1035714286,0.0166666667,0.0431818182,0.0545454545,0.2522727273,0.7659090909,0.1147727273,0.0977272727,0.8806818182,0.8647727273,0.9784090909,0.9079545455,0.1690308509,0.2124888589,0.1294907608,0.0555277708,0.0175625043,0.0460566186,0.125572283,0.2505405412,0.1359838687,0.054504855,0.3139544077,0.3024364446,0.2984379427,0.2916890839,0.25,0.25,0.575,0.575,0.05,0.05,0.575,0.575,0.05,0.05,0.05,0.25,0,0,0,0.05,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.25,0.25,0.5,0.625,0.825,1.15,0.05,0.05,0.05,0.3,0.05,0.1,0.1,0.1,0.55,0.675,1.075,1.4,0.55,0.675,0.975,1.4,0.65,0.775,1.175,1.45,0.6,0.725,1.025,1.4,0.325,0.325,0.525,0.525,0,0.2,0,0.05,0,0.05,0,0,0,0.2,0.2,0.65,0,0.25,0,0.05,0.4,0.85,0.3,0.85,0.4,0.8,0.3,0.8,0,0,0,1,0,0,0,0,1,0,44,22,92.780748663,9.2442762048,75.401069519,19.125179081,55,41.363636364,28.681755484,33,41.818181818,26.274339365,0.0136363636,0.0590909091,0.1659090909,0.1227272727,0.0090909091,0.0136363636,0.8477272727,0,0.2727272727,0.8181818182,0.9090909091,1,0.1818181818,0.2727272727,1,0,1,1,1,0.0202259959,0.0233549683,1.1590909091,1.1590909091,1.0272727273,0,0.05,0.05,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 
"WAZP99-0605",2000,1,22,21.136363636,18.158811201,25,16,10,15,22,0,0,0,0,0,0,0,10,52,6.3245553203,11,1,0,11,2.0454545455,0.4156047073,0,1,1,0,0,1,0,0.9545454545,0,0,0.2545454545,0,0.0477272727,0.0772727273,0.4477272727,0,0.2545454545,0.125,0.2545454545,0.2545454545,0.3795454545,0.3022727273,0,0,0.1775555519,0,0.0106600358,0.0702500173,0.1770978158,0,0.1775555519,0.0719622917,0.1775555519,0.1775555519,0.1934394768,0.1805924593,0,0,0,0,0,0,0,0,0.05,0.05,0.25,0.575,0,0,0,0,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.25,0.25,0.25,0.575,0.575,0,0,0,0,0.05,0.05,0.25,0.575,0.1,0.1,0.1,0.3,0.05,0.05,0.25,0.575,0.05,0.05,0.25,0.575,0.15,0.15,0.55,0.675,0.1,0.1,0.3,0.625,0,0,0,0,0.2,0.525,0,0,0,0,0,0.2,0.325,0.325,0,0,0.2,0.525,0,0.2,0.2,0.525,0.2,0.525,0.4,0.525,0.2,0.525,0,0,0,0,1,0,1,0,0,0,44,22,65.50802139,39.325984434,18.449197861,23.309192054,55,67.181818182,34.691279142,33,66.515151515,35.211078878,0.0181818182,0,0,0.0136363636,0.0363636364,0,0.2,0,0.3636363636,0,0,0.2727272727,0.7272727273,0,1,0,1,1,1,0.0233549683,0,0.25,0.25,0.2,0.05,0.05,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1.5,0,1.5,0 
"WAZP99-0615",2000,1,22,38.090909091,24.154086889,60,31,15,45,22,0,0,0,0,0,0,0,11,3.9545454545,1.6039723416,11,0.6363636364,0.2335496832,11,1.9545454545,0.8501336793,0.9090909091,1,1,0.9090909091,0.9090909091,1,0,1,0.0818181818,0.0704545455,0.2397727273,0,0.15,0.1954545455,0.3227272727,0.1522727273,0.2397727273,0.3454545455,0.3920454545,0.3920454545,0.7375,0.5420454545,0.0824411111,0.075054093,0.1625062436,0,0.1023532631,0.0911684612,0.2102873729,0.1239021049,0.1625062436,0.1503243247,0.1539917986,0.1539917986,0.1974163476,0.1484816735,0.05,0.05,0.05,0.25,0,0.05,0.05,0.25,0.05,0.05,0.25,0.575,0,0,0,0,0.05,0.05,0.25,0.25,0.05,0.05,0.25,0.25,0.05,0.25,0.575,0.575,0.05,0.1,0.3,0.3,0.05,0.05,0.25,0.575,0.1,0.3,0.5,0.5,0.15,0.35,0.55,0.575,0.15,0.35,0.55,0.575,0.45,0.65,0.85,0.925,0.4,0.4,0.6,0.675,0,0.2,0,0.25,0.2,0.525,0,0,0.2,0.2,0.2,0.2,0.325,0.525,0.2,0.25,0.2,0.525,0.2,0.4,0.2,0.425,0.2,0.425,0.2,0.475,0.2,0.275,0,0,0,0.9090909091,0.0909090909,0,0,0,1,0,44,22,95.989304813,11.818694558,87.299465241,19.111308296,55,37.618181818,32.942425032,33,34.666666667,32.97694902,0.0045454545,0,0.0545454545,0.05,0.3795454545,0.0045454545,0.875,0,0.0909090909,0,0.7272727273,1,1,0.0909090909,1,0,1,1,1,0.195837363,0.0150755672,1.3636363636,1.3636363636,0.9340909091,0.325,0.325,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,1,0,1,0 
"WAZP99-0619",2000,1,22,24.363636364,19.597243379,27,17,15,12,22,0,0,0,0,0,0,0,11,27,9.7877474426,11,0.7409090909,0.3137022329,11,4.5909090909,1.3568010506,0.3636363636,1,1,0.3636363636,0.3636363636,1,0.0454545455,1,0.0181818182,0,0.2045454545,0.0022727273,0.1227272727,0.2193181818,0.3284090909,0.0181818182,0.2068181818,0.3420454545,0.225,0.2227272727,0.5670454545,0.3454545455,0.0246182982,0,0.0857864054,0.0106600358,0.0984731928,0.1164790545,0.2241777906,0.0246182982,0.0876891894,0.112701239,0.0841625412,0.0827032456,0.1534108947,0.1262170192,0,0,0.05,0.05,0,0,0,0,0.05,0.25,0.25,0.25,0,0,0,0,0.05,0.05,0.25,0.25,0.05,0.25,0.25,0.25,0.05,0.05,0.575,0.575,0,0,0.05,0.05,0.05,0.25,0.25,0.25,0.3,0.3,0.3,0.5,0.1,0.25,0.3,0.3,0.1,0.25,0.25,0.3,0.35,0.4,0.6,0.75,0.15,0.3,0.5,0.5,0.05,0.05,0,0,0,0.2,0,0,0.2,0.2,0,0.2,0.525,0.525,0.05,0.05,0,0.2,0,0.2,0.05,0.2,0,0.2,0.2,0.4,0.2,0.35,0,0.3636363636,0,0,0.6363636364,0,1,0,0,0,44,22,62.299465241,39.591716393,3.4759358289,11.579818189,55,69,35.17680212,33,53.787878788,34.004372491, ,0.8477272727,0.05,0.05,0.1227272727,0,0.25,0, ,1,1,1,1,0,1,0,1,1,1,0.1009049958,0,0.4727272727,0.4727272727,0.3,0.2,0.2,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0.5,0,0.5,0,0,0,0,0,0.33335,0.33335,0,0.33335 
