"SITE_ID","YEAR","VISIT_NO","W1H_WALL","W1H_PVMT","W1H_ROAD","W1H_PIPE","W1H_LDFL","W1H_PARK","W1H_CROP","W1H_PSTR","W1H_LOG","W1H_MINE","LSUB_DMM","LTEST","LRBS_TST","LDMB_BW5","S_LDMB_BW5","LDMB_BW4","LRBS_BW6","S_LRBS_BW6","LRBS_BW5","S_LRBS_BW5","LRBS_BW4","DCBF_G08","LDCBF_G08","LRBS_G08","REACHLEN","XSLOPE","XDEPTH","INTERVAL","TOTCHLEN","NRP","SEGMENTS","RPGT50","RPGT75","RPGT100","RPMXLEN","RPMXDEP","RPMXWID","RPMXAR","RPMXVOL","RPXWID","RPXDEP","RPXLEN","RPXAREA","RPXVOL","RPVDEP","RPVLEN","RPVAREA","TOTPLEN","AREASUM","TOTPVOL","TOTSDLEN","TOTDPLEN","TOTUPLEN","TOTDPSDL","TOTUPSDL","TOTPLENC","AREASUMC","TOTPVOLC","TOTSDLNC","RPGT05","RPGT05X","RPGT10","RPGT10X","RPGT20","RPGT20X","PCTRCHRP","PCTRSED","PCTCHARP","PCTCHASD","PCTPSED","PCTDSED","PCTUSED","RP100","RPV100R","RP100C","RPV100C","S_RP100","PCT_GF","PCT_RS","PCT_OT","PCT_FN","PCT_OM","PCT_SA","PCT_RR","PCT_GC","PCT_CB","PCT_WD","PCT_HP","PCT_BL","PCT_RC","PCT_SB","PCT_XB","PCT_SAFN","PCT_SFGF","PCT_BIGR","PCT_BDRK","PCT_ORG","N","LSUBD_SD","LSUB_D75","LSUB_D50","LSUB_D25","LSUB_IQR","LSUB_D16","LSUB_D84","N_NOR","LSUB_DMM_NOR","SUB_DMM_NOR","LSUBD_SD_NOR","SUBD_SD_NOR","LSUB2DMM","LSUBD2SD","LSUB2D75","LSUB2D50","LSUB2D25","LSUB2IQR","LSUB2D16","LSUB2D84","LSUB2DMM_NOR","SUB2DMM_NOR","LSUBD2SD_NOR","SUBD2SD_NOR","LSUB2D16INOR","LSUB2D50INOR","LSUB2D84INOR","DGM","D16","D50","D84","NC","NS","C1W","C2W","C3W","C4W","C5W","C1D","C2D","C3D","C4D","C5D","V1W","V2W","V3W","V4W","V5W","V1D","V2D","V3D","V4D","V5D","C1T","C2T","C3T","C4T","C5T","V1T","V2T","V3T","V4T","V5T","C1W_MSQ","C2W_MSQ","C3W_MSQ","C4W_MSQ","C5W_MSQ","V1W_MSQ","V2W_MSQ","V3W_MSQ","V4W_MSQ","V5W_MSQ","C1WM100","C2WM100","C3WM100","C4WM100","C5WM100","V1WM100","V2WM100","V3WM100","V4WM100","V5WM100","C1DM100","C2DM100","C3DM100","C4DM100","C5DM100","V1DM100","V2DM100","V3DM100","V4DM100","V5DM100","C1TM100","C2TM100","C3TM100","C4TM100","C5TM100","V1TM100","V2TM100","V3TM100","V4TM100","V5TM100","RCHWSDSL","RCHWSDML","RCHWSDLL","RCHWMDSL","RCHWMDML","RCHWMDLL","RCHWLDSL","RCHWLDML","RCHWLDLL","RCHWXDSL","RCHWXDML","RCHWXDLL","RCHDSDSL","RCHDSDML","RCHDSDLL","RCHDMDSL","RCHDMDML","RCHDMDLL","RCHDLDSL","RCHDLDML","RCHDLDLL","RCHDXDSL","RCHDXDML","RCHDXDLL","RCHTSDSL","RCHTSDML","RCHTSDLL","RCHTMDSL","RCHTMDML","RCHTMDLL","RCHTLDSL","RCHTLDML","RCHTLDLL","RCHTXDSL","RCHTXDML","RCHTXDLL","RCHWETT","RCHDRYT","RCHWDT","LWDWV33","LWDDV33","LWDTV33","LWDWVCAL","LWDDVCAL","LWDTVCAL","SMWETDIA","MDWETDIA","LGWETDIA","XLWETDIA","SMDRYDIA","MDDRYDIA","LGDRYDIA","XLDRYDIA","SMDIATOT","MDDIATOT","LGDIATOT","XLDIATOT","SHWETLEN","MDWETLEN","LGWETLEN","SHDRYLEN","MDDRYLEN","LGDRYLEN","SHLENTOT","MDLENTOT","LGLENTOT","VSLOPE","NSLP","TOTEAST","TOTNORTH","N_XTOT","N_YTOT","FISH_D","TRANSPC","LOCMETHOD","CROWS_D","SINU","XBEARING","N_D","SDDEPTH","N_W","XWIDTH","SDWIDTH","N_WD","N_WDR","N_BFRAT","XWXD","XWD_RAT","BFWD_RAT","SDWXD","SDWD_RAT","PCT_DR","PCT_PD","PCT_GL","PCT_PL","PCT_RI","PCT_CA","PCT_RA","PCT_PT","PCT_PB","PCT_PP","PCT_FA","PCT_P","PCT_FAST","PCT_SLOW","PCT_POOL","PCT_DRS","PCT_SUB","PCT_SIDE","SAMPLED" 
"WAZP99-0512",2000,1,0,0,0.4545545455,0,0,0,0,1.5,0,0,-1.388367728,1.2974921283,-2.685859857,2.3180422171,2.3159427378,2.3180422171, , ,-3.706409945,-3.704310466,-3.706409945,603.04463152,2.7803494556,-4.168717184,514.8,0.93,31.14,5.2,514.8,18,0,0,0,0,41.6,49.668,16.825035,5.79826,38.259794834,4.3836158234,8.5629908229,15.888888889,1.3301551761,4.9269771536,8.2412649278,12.545113363,1.7677701563,286,23.942793169,88.685588764,49,114.4,171.6,104,150.8,286,23.942793169,88.685588764,49,9,18.096462787,7,21.147595012,1,49.668,55.555555556,9.5182595183,55.555555556,9.5182595183,17.132867133,90.909090909,87.878787879,4.650892224,17.227192845,4.650892224,17.227192845,6.225406704,0,0,0,81.904761905,0,0,0,6.6666666667,11.428571429,0,0,0,0, , ,81.904761905,81.904761905,18.095238095,0,0,105,1.5495134719,-2.110922507,-2.110922507,-2.110922507,0,-2.110922507,1.5051499783,105,-1.388367728,16.595677676,1.5495134719,40.459608541, , , , , , , , , , , , , , , , , , , ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2213594362,10,-61.54028117,483.28790448,10,10,520,52,"NONE",487.19031684,1.0673446947,352.74319879,100,9.6661650863,20,19.26,7.2983343449,20,20,10,6.1607,64.598643994,27.892326864,3.0993700226,31.839822078,0,0,73,1,26,0,0,0,0,0,0,0,26,74,1,0,0,0,"YES" 
"WAZP99-0539",2000,1,0,0.0303045455,0,0.3863772727,0,0,0,0,0,0,1.39577107,1.6938907895,-0.298119719,2.3309201329,2.3406787838,2.3309201329, , ,-0.935149063,-0.944907714,-0.935149063,457.93707782,2.6608058085,-1.265034739,148.5,1.8,40.08,1.5,148.5,13,0,0,0,0,57,34.64,9.79,11.091675,36.13117576,3.8437842132,12.882724086,9.8076923077,1.240837953,3.1625790299,7.9494955,14.882229982,3.0019934464,127.5,16.130893389,41.113527388,53,57,69,39,39,127.5,16.130893389,41.113527388,53,10,12.791865473,5,19.006730946,2,27.501827365,85.858585859,35.69023569,85.858585859,35.69023569,41.568627451,68.421052632,56.52173913,10.86255447,27.685877029,10.86255447,27.685877029,6.9138831002,3.8095238095,0,0,21.904761905,0,2.8571428571,0,7.619047619,19.047619048,0.9523809524,0,43.80952381,0, , ,24.761904762,28.571428571,70.476190476,0,0.9523809524,104,2.0271830079,3,2.1020561926,0.146084461,2.853915539,-2.110922507,3,104,1.39577107,469.3235095,2.0271830079,476.85051781, , , , , , , , , , , , , , , , , , , , , ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , ,1.032795559,10,-94.32536834,115.66224718,10,10,150,15,"NONE",149.24821786,1.0050371264,320.80191952,100,11.71865473,20,10.815,4.9388124505,20,20,10,4.7428,26.46176226,14.233297655,3.0496186405,11.437496933,0,38,19,0,24,1,18,0,0,0,0,0,43,57,38,0,0,0,"YES" 
"WAZP99-0545",2000,1,0,0,0,0,0,0,0,1.1363636364,0,0,1.0724373573,0.7592765013,0.313160856,1.2631928413,1.2469427647,1.2631928413, , ,-0.190755484,-0.174505407,-0.190755484,24.669461497,1.3921596695,-0.319722312,148.5,0.38,22.07,1.5,148.5,9,0,0,0,0,45,27.2275,3.8866354167,4.8755625,7.4698654823,1.1271811997,7.5595827871,13.666666667,1.0216439317,1.2022394404,7.4906965678,13.278271725,1.5373437105,123,9.1947953854,9.6179155235,82,57,64.5,57,64.5,123,9.1947953854,9.6179155235,82,7,14.672775645,5,17.728885903,2,25.14625,82.828282828,55.218855219,82.828282828,55.218855219,66.666666667,100,100,6.1917814043,6.4767107902,6.1917814043,6.4767107902,8.7781479204,0,0,0,19.047619048,0,0,0,52.380952381,19.047619048,0,0,9.5238095238,0, , ,19.047619048,19.047619048,80.952380952,0,0,105,1.6152253015,2.1020561926,1.5051499783,1.5051499783,0.5969062143,-2.110922507,2.1020561926,105,1.0724373573,136.09480876,1.6152253015,284.73208935, , , , , , , , , , , , , , , , , , , ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3938414797,10,130.88635654,-9.682698592,10,10,150,15,"NONE",131.24402074,1.1429092096,94.230919416,100,10.969429513,20,3.785,2.1104439543,20,20,10,0.96905,18.514358003,40.025295499,1.019799592,7.946603662,0,0,41,0,16,0,0,43,0,0,0,0,16,84,43,0,0,0,"YES" 
"WAZP99-0551",2000,1,0,0,0,0,0,0,0,0,0,0,1.8374956626,1.6032916395,0.2342040231,2.8982782084,2.8986470941,2.8981015673, , ,-1.060782546,-1.061151431,-1.060605905,1553.3981804,3.1912827921,-1.353787129,148.5,3.2,18.3,1.5,148.5,25,0,0,0,0,10.5,22.62,2.3970909091,0.8454,0.6130922802,0.5962084566,5.1674034308,3.24,0.1665719356,0.08482553,4.8792040955,2.2366269246,0.1842657656,81,4.1642983895,1.9509871897,23,30,49.5,12,22.5,81,4.1642983895,1.9509871897,23,14,10.338571429,5,16.564,2,21.36,54.545454545,15.488215488,54.545454545,15.488215488,28.395061728,40,45.454545455,2.8042413397,1.3137960874,2.8042413397,1.3137960874,2.4975301269,0,0,0,12,0,0,0,9,41,4,0,34,0, , ,12,12,84,0,4,96,1.5791136556,3,2.1020561926,2.1020561926,0.8979438074,1.5051499783,3,96,1.8374956626,411.18940575,1.5791136556,440.50017856, , , , , , , , , , , , , , , , , , , ,10,10,5,0,0,0,0,2,0,0,0,0,0.29,0,0,0,0,0.116,0,0,0,0,7,0,0,0,0,0.406,0,0,0,0,0.000698812,0,0,0,0,0.0000405311,0,0,0,0,3.367003367,0,0,0,0,0.1952861953,0,0,0,0,1.3468013468,0,0,0,0,0.0781144781,0,0,0,0,4.7138047138,0,0,0,0,0.2734006734,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,5,2,7,0.29,0.116,0.406,0.2645,0.1058,0.3703,5,0,0,0,2,0,0,0,7,0,0,0,5,0,0,2,0,0,7,0,0,1.6193277069,10,71.343148706,-119.0086361,10,10,150,15,"NONE",138.75482097,1.0810435194,149.05821558,100,5.7198926316,20,2.661,1.5418031139,20,20,10,0.52959,14.350979659,14.465715642,0.3854916122,8.3948061615,0,0,0,5.0505050505,94.949494949,0,0,0,0,0,0,0,94.949494949,5.0505050505,5.0505050505,0,0,0,"YES" 
"WAZP99-0568",2000,1,0,0,0,0,0,0,0,0,0,0,0.2055104183,1.2669256367,-1.061415218,2.108128037,2.1169916481,2.108128037, , ,-1.902617619,-1.91148123,-1.902617619,239.8326389,2.3799082861,-2.174397868,148.5,1.6,16.87,1.5,148.5,16,0,0,0,0,21,27.1,5.6886666667,3.4365,2.0754120819,1.0408251797,9.1972536929,7.21875,0.659642834,0.4280010332,6.7836512959,5.8280035175,0.8672944885,115.5,10.554285344,6.4200154983,77,51,63,51,63,115.5,10.554285344,6.4200154983,77,13,15.113039342,9,18.102222222,3,24.36,77.777777778,51.851851852,77.777777778,51.851851852,66.666666667,100,100,7.1072628576,4.3232427598,7.1072628576,4.3232427598,4.6941190094,8.5714285714,0,1.9047619048,45.714285714,0,1.9047619048,0,2.8571428571,8.5714285714,0.9523809524,0,29.523809524,0, , ,47.619047619,56.19047619,40.952380952,0,0.9523809524,102,2.3136814279,3,0.7525785016,-2.110922507,5.1109225073,-2.110922507,3,102,0.2055104183,316.53320322,2.3136814279,455.19709927, , , , , , , , , , , , , , , , , , , ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6992058988,10,33.816019836,144.36240995,10,10,150,15,"NONE",148.2701204,1.0116670816,13.183493031,100,8.4395114512,20,2.415,2.1774623086,20,20,10,0.4576,16.384022473,20.649517911,0.4522765107,14.950836257,0,0,5.5555555556,0,50,0,0,44.444444444,0,0,0,0,50,50,44.444444444,0,0,24,"YES" 
"WAZP99-0569",2000,1,0,0,0,0,0,0,0,0,0,0,2.2294629283,2.0817793739,0.1476835544,2.7773887131,2.774617679,2.5295139669, , ,-0.547925785,-0.545154751,-0.300051039,1445.709921,3.1600811613,-0.930618233,148.5,10.83,16.272727273,1.5,148.5,24,0,0,0,0,6,38.5175,2.3495675,0.9832875,0.9676596997,0.8199632521,9.5293939146,2.4375,0.222203125,0.138434772,8.1670621178,1.3855818116,0.2356024663,58.5,5.332875,3.183999756,27,18,40.5,15,25.5,58.5,5.332875,3.183999756,27,16,15.550866417,12,18.564905223,4,27.5778125,39.393939394,18.181818182,39.393939394,18.181818182,46.153846154,83.333333333,62.962962963,3.5911616162,2.1441075798,3.5911616162,2.1441075798,4.1046639896,0,0,0,2.8571428571,0,1.9047619048,0,10.476190476,39.047619048,6.6666666667,0,39.047619048,0, , ,4.7619047619,4.7619047619,88.571428571,0,6.6666666667,98,1.0242771714,3,2.1020561926,2.1020561926,0.8979438074,1.5051499783,3,98,2.2294629283,474.8857761,1.0242771714,449.13015277, , , , , , , , , , , , , , , , , , , ,10,10,34,24,11,8,0,37,33,20,12,0,64.004,63.424,56.402,49.328,0,77.511,77.279,70.106,47.952,0,71,57,31,20,0,141.515,140.703,126.508,97.28,0,0.0438003221,0.0309178744,0.0141706924,0.0103059581,0,0.082452818,0.0817056361,0.0726595813,0.0635465378,0,22.895622896,16.161616162,7.4074074074,5.3872053872,0,43.1003367,42.70976431,37.981144781,33.217508418,0,24.915824916,22.222222222,13.468013468,8.0808080808,0,52.195959596,52.03973064,47.209427609,32.290909091,0,47.811447811,38.383838384,20.875420875,13.468013468,0,95.296296296,94.749494949,85.190572391,65.508417508,0,10,2,0,6,1,0,5,4,0,2,4,0,4,1,0,7,1,0,5,10,0,7,2,0,14,3,0,13,2,0,10,14,0,9,6,0,34,37,71,64.004,77.511,141.515,78.7914,118.8003,197.5917,12,7,9,6,5,8,15,9,17,15,24,15,23,11,0,23,14,0,46,25,0,3.5006062967,10,89.960795084,98.399711416,10,10,150,15,"NONE",133.32459585,1.1250737273,42.434755346,99,10.394089943,20,2.455,1.9564939103,20,19,10,0.41985,18.519691851,5.4832226514,0.3571603318,17.741056832,1.0101010101,15.151515152,11.111111111,0,50.505050505,3.0303030303,0,0,3.0303030303,16.161616162,0,0,53.535353535,45.454545455,34.343434343,1.0101010101,0,0,"YES" 
"WAZP99-0598",2000,1,0,0,0,0,0,0,0,0,0,0,2.5355862372,1.9959669741,0.5396192631,3.1544678077,3.1562278144,3.1528640318, , ,-0.618881571,-0.620641577,-0.617277795,2816.1647577,3.4496580593,-0.914071822,148.5,5.1,28.36,1.5,148.5,19,0,2,1,0,13.5,78.5375,5.3027127469,4.97505,7.954519153,1.4311485767,14.801252411,5.7631578947,0.8186539694,0.885544233,16.3391571,3.5448257325,1.1161048164,109.5,15.554425418,16.825340427,33,45,63,21,28.5,109.5,15.554425418,16.825340427,33,17,24.021601853,13,28.546710116,6,45.659538584,73.737373737,22.222222222,73.737373737,22.222222222,30.136986301,46.666666667,45.238095238,10.474360551,11.330195574,10.474360551,11.330195574,8.8154714009,1.9047619048,0,0,4.7619047619,0,0,0,4.7619047619,11.428571429,0.9523809524,0,76.19047619,0, , ,4.7619047619,6.6666666667,92.380952381,0,0.9523809524,104,1.16221765,3,3,3,0,2.1020561926,3,104,2.5355862372,785.47338971,1.16221765,394.53133391, , , , , , , , , , , , , , , , , , , ,10,10,5,5,1,1,0,2,1,0,0,0,4.243,4.243,2.911,2.911,0,0.24,0.182,0,0,0,7,6,1,1,0,4.483,4.425,2.911,2.911,0,0.0016534392,0.0016534392,0.0003306878,0.0003306878,0,0.0014031085,0.0014031085,0.0009626323,0.0009626323,0,3.367003367,3.367003367,0.6734006734,0.6734006734,0,2.8572390572,2.8572390572,1.9602693603,1.9602693603,0,1.3468013468,0.6734006734,0,0,0,0.1616161616,0.1225589226,0,0,0,4.7138047138,4.0404040404,0.6734006734,0.6734006734,0,3.0188552189,2.9797979798,1.9602693603,1.9602693603,0,0,0,0,4,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,4,0,0,0,1,0,0,0,0,5,2,7,4.243,0.24,4.483,2.8739,0.2086,3.0825,0,4,1,0,2,0,0,0,2,4,1,0,4,1,0,1,1,0,5,2,0,2.5582111806,10,124.46153135,-52.92035715,10,10,150,15,"NONE",135.24509968,1.1090974857,113.03493541,100,16.889731505,20,3.795,1.4901342221,20,20,10,1.1323,17.797123065,4.9461183891,1.1195669793,12.202819761,0,9.0909090909,13.131313131,0,73.737373737,1.0101010101,0,2.0202020202,1.0101010101,0,0,0,74.747474747,25.252525253,12.121212121,0,0,6,"YES" 
"WAZP99-0605",2000,1,0,0,0,0,0,0,0,1.5,0,0,1.4054523207,0.7124451732,0.6930071476,1.5169277693,1.5145637159,1.5169277693, , ,-0.111475449,-0.109111395,-0.111475449,68.340871204,1.8346805109,-0.42922819,148.5,0.43,17.51,1.5,148.5,13,0,0,0,0,54,30.3975,4.7878557692,6.1309125,7.176415017,1.6997844034,7.5476660367,9,0.6720346154,0.708788669,5.9966451755,15,1.6950062503,117,8.73645,9.2142526974,77,52.5,63,52.5,61.5,117,8.73645,9.2142526974,77,6,11.598408477,2,20.345625,1,30.3975,78.787878788,51.851851852,78.787878788,51.851851852,65.811965812,100,97.619047619,5.8831313131,6.2048839713,5.8831313131,6.2048839713,6.4891140257,0,0,0,18.095238095,0,0,0,10.476190476,57.142857143,0,0,14.285714286,0, , ,18.095238095,18.095238095,81.904761905,0,0,105,1.7049036583,2.1020561926,2.1020561926,1.5051499783,0.5969062143,-2.110922507,2.1020561926,105,1.4054523207,218.49092547,1.7049036583,324.61111843, , , , , , , , , , , , , , , , , , , ,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4398231968,10,25.877382012,-143.3233722,10,10,150,15,"NONE",145.64074956,1.0299315298,169.7653794,100,8.7979508634,20,4.92,1.4763397127,20,20,9,0.88155,33.673373384,43.19546239,0.4533949684,18.63645026,0,0,25,0,26,0,0,49,0,0,0,0,26,74,49,0,0,0,"YES" 
"WAZP99-0615",2000,1,0,0,0,0,0,0,0.0454545455,0.9545454545,0,0,2.1962674606,1.422286877,0.7739805836,2.2660033789,2.2613378133,1.6671325257, , ,-0.069735918,-0.065070353,0.5291349349,359.40338039,2.5555821576,-0.359314697,148.5,4.52,8.54,1.5,148.5,19,0,1,0,0,10.5,51.75,1.4147058824,1.8225,0.6319426887,0.4683433357,8.6166666667,3.5526315789,0.3061184211,0.1027847795,9.7359455814,2.5598108483,0.4961153163,67.5,5.81625,1.8501260318,42,25.5,42,24,39,67.5,5.81625,1.8501260318,42,10,16.0125,4,27.25,2,39.1875,45.454545455,28.282828283,45.454545455,28.282828283,62.222222222,94.117647059,92.857142857,3.9166666667,1.2458761157,3.9166666667,1.2458761157,4.5534089218,0,0,0,3.8095238095,0,0,0,15.238095238,39.047619048,3.8095238095,0,38.095238095,0, , ,3.8095238095,3.8095238095,92.380952381,0,3.8095238095,101,1.0394863239,3,2.1020561926,2.1020561926,0.8979438074,1.5051499783,3,101,2.1962674606,452.45664341,1.0394863239,447.16835861, , , , , , , , , , , , , , , , , , , ,10,10,15,9,5,2,0,3,3,2,1,0,25.456,25.108,21.38,12.332,0,6.859,6.859,5.927,2.911,0,18,12,7,3,0,32.315,31.967,27.307,15.243,0,0.0255427842,0.0153256705,0.0085142614,0.0034057046,0,0.0433478076,0.042755215,0.0364069817,0.0209995743,0,10.101010101,6.0606060606,3.367003367,1.3468013468,0,17.142087542,16.907744108,14.397306397,8.3043771044,0,2.0202020202,2.0202020202,1.3468013468,0.6734006734,0,4.6188552189,4.6188552189,3.9912457912,1.9602693603,0,12.121212121,8.0808080808,4.7138047138,2.0202020202,0,21.760942761,21.526599327,18.388552189,10.264646465,0,6,0,0,0,0,0,4,1,0,3,1,0,0,0,0,0,0,0,1,1,0,1,0,0,6,0,0,0,0,0,5,2,0,4,1,0,15,3,18,25.456,6.859,32.315,47.0983,12.8795,59.9778,6,0,5,4,0,0,2,1,6,0,7,5,13,2,0,2,1,0,15,3,0,2.4933467023,10,-113.6076256,-41.13319276,10,10,150,15,"NONE",120.82479938,1.2414669899,250.09651383,100,9.7756861858,20,0.769,0.7597014649,20,16,6,0.10887,7.8672398186,4.4759292983,0.1300992823,4.7622046983,19,56,13,0,12,0,0,0,0,0,0,0,12,69,56,19,0,0,"YES" 
"WAZP99-0619",2000,1,0,0,0,0,0,0,0,0,0,0,0.5149866314,1.4529027631,-0.937916132,1.7723286954,1.7311433278,1.7722658007, , ,-1.257342064,-1.216156696,-1.257279169,89.17286122,1.9502327017,-1.43524607,633.6,0.73,56.74,6.4,633.6,18,0,1,1,1,70.4,104.192,15.935247059,20.402688,90.58033018,4.1681143679,18.563112407,24.177777778,4.3753412721,14.11224807,18.474488527,21.681858927,6.4842342769,435.2,78.756142897,254.02046527,62,166.4,262.4,153.6,236.8,435.2,78.756142897,254.02046527,62,12,29.809242577,10,34.558291092,7,43.323272989,68.686868687,9.7853535354,68.686868687,9.7853535354,14.246323529,92.307692308,90.243902439,12.429946796,40.091613836,12.429946796,40.091613836,23.141290153,0,0,0,33.653846154,0,0,0,32.692307692,30.769230769,0,0,2.8846153846,0, , ,33.653846154,33.653846154,66.346153846,0,0,104,1.9050278475,2.1020561926,1.5051499783,-2.110922507,4.2129786999,-2.110922507,2.1020561926,104,0.5149866314,78.230299135,1.9050278475,168.09408935, , , , , , , , , , , , , , , , , , , ,10,10,1,1,0,0,0,0,0,0,0,0,0.932,0.932,0,0,0,0,0,0,0,0,1,1,0,0,0,0.932,0.932,0,0,0,0.0000584549,0.0000584549,0,0,0,0.00005448,0.00005448,0,0,0,0.1578282828,0.1578282828,0,0,0,0.1470959596,0.1470959596,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1578282828,0.1578282828,0,0,0,0.1470959596,0.1470959596,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0.932,0,0.932,0.8076,0,0.8076,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0.8340663443,10,377.80567021,-498.6044907,10,10,640,64,"NONE",625.57458595,1.0230594631,142.84784525,100,26.466910922,20,17.16,5.8789007207,20,20,10,11.1268,33.979021696,25.308179973,9.3509517928,20.585265924,0,0,53,19,16,0,10,0,2,0,0,0,26,74,21,0,0,0,"YES" 
