"SITE_ID","YEAR","VISIT_NO","FLOWTYPE","DATE_COL","TEAM_ID","EPIF_SUB","POOL_SUB","POOL_VAR","SEDI_DEP","CHAN_FLS","CHAN_ALT","CHAN_SIN","BANK_STL","BANK_STR","VEG_PROL","VEG_PROR","RIPA_VL","RIPA_VR","EMBEDDED","VELOCITY","FRQ_RIFF","FORMTYPE","SAMPTYPE","TRANSECT","RH_SUM","RH_XHAB" 
"WAZP99-0512",2000,1,"R/R",06/04/2000,"1",4, , ,1,2,11, ,5,7,4,8,4,6, , , ," "," "," ",52,5.2 
"WAZP99-0537",2003,1,"G/P",05/29/2003,"1",1,1,2,2,6,18,8,2,2,0,0,1,1, , , ," "," "," ",44,3.3846153846 
"WAZP99-0539",2000,1,"G/P",05/22/2000,"1",10,10,8,14,15,20,10,9,7,9,9,9,9, , , ," "," "," ",139,10.692307692 
"WAZP99-0545",2000,1,"R/R",06/05/2000,"1",5, , ,7,17,20, ,9,9,9,9,8,8, , , ," "," "," ",101,10.1 
"WAZP99-0551",2000,1,"R/R",05/24/2000,"1",15, , ,19,10,20, ,9,9,10,10,9,9, , , ," "," "," ",120,12 
"WAZP99-0568",2000,1,"G/P",05/20/2000,"1",15,17,8,14,5,19,9,9,9,8,9,6,6, , , ," "," "," ",134,10.307692308 
"WAZP99-0569",2000,1,"R/R",06/06/2000,"1",19, , ,18,15,20, ,9,9,10,10,2,2, , , ," "," "," ",114,11.4 
"WAZP99-0590",2002,1,"R/R",09/15/2002,"1",18, , ,18,10,20, ,10,10,8,8,10,10,17,15,18," "," "," ",172,13.230769231 
"WAZP99-0598",2000,1,"R/R",05/23/2000,"1",20, , ,19,15,20, ,8,7,8,8,8,8, , , ," "," "," ",121,12.1 
"WAZP99-0599",2004,1,"R/R",06/29/2004,"1",10, , ,12,9,17, ,8,7,5,3,9,8,9,13,14,"R"," "," ",124,9.5384615385 
"WAZP99-0605",2000,1,"R/R",06/07/2000,"1",9, , ,12,8,20, ,7,7,7,7,3,3, , , ," "," "," ",83,8.3 
"WAZP99-0615",2000,1,"R/R",06/17/2000,"1",16, , ,17,1,20, ,10,10,10,10,2,2, , , ," "," "," ",98,9.8 
"WAZP99-0619",2000,1,"R/R",06/19/2000,"1",17, , ,13,15,19, ,9,5,9,5,6,6, , , ," "," "," ",104,10.4 
"WAZP99-0632",2001,1,"R/R",05/22/2001,"1",14, , ,12,14,20, ,7,7,3,3,7,7,8,19,17," "," "," ",138,10.615384615 
"WAZP99-0639",2001,1,"R/R",05/31/2001,"1",9, , ,9,10,17, ,4,4,2,2,7,7,8,2,14," "," "," ",95,7.3076923077 
"WAZP99-0645",2001,1,"G/P",06/13/2001,"1",7,12,4,17,8,20,8,5,5,3,5,4,4, , , ," "," "," ",102,7.8461538462 
"WAZP99-0648",2001,1,"G/P",06/01/2001,"1",17,17,17,18,19,17,3,10,10,9,9,8,8, , , ," "," "," ",162,12.461538462 
"WAZP99-0649",2001,1,"G/P",05/25/2001,"1",10,12,18,13,5,20,16,9,9,6,6,7,7, , , ," "," "," ",138,10.615384615 
"WAZP99-0653",2001,1,"R/R",06/28/2001,"1",5, , ,12,9,20, ,8,5,2,2,9,2,7,7,19," "," "," ",107,8.2307692308 
"WAZP99-0669",2001,1,"R/R",06/27/2001,"1",17, , ,9,10,17, ,6,4,5,5,10,8,14,13,17," "," "," ",135,10.384615385 
"WAZP99-0681",2001,1,"R/R",06/19/2001,"1",13, , ,10,9,19, ,8,8,5,5,9,9,14,12,17," "," "," ",138,10.615384615 
"WAZP99-0687",2001,1,"R/R",05/30/2001,"1",13, , ,19,12,18, ,1,1,4,4,7,7,11,14,17," "," "," ",128,9.8461538462 
"WAZP99-0701",2001,1,"G/P",06/26/2001,"1",5,14,2,20,6,20,7,5,5,6,6,6,6, , , ," "," "," ",108,8.3076923077 
"WAZP99-0712",2002,1,"R/R",08/01/2002,"1",10, , ,7,10,19, ,7,6,8,8,9,8,9,14,16," "," "," ",131,10.076923077 
"WAZP99-0716",2002,1,"G/P",06/20/2002,"1",13,9,9,16,10,18,6,4,8,5,3,8,7, , , ," "," "," ",116,8.9230769231 
"WAZP99-0722",2002,1,"R/R",07/18/2002,"1",19, , ,14,9,16, ,4,5,8,8,5,7,13,14,16," "," "," ",138,10.615384615 
"WAZP99-0744",2002,1,"G/P",08/15/2002,"1",2,8,1,3,5,20,14,5,5,2,2,10,10, , , ," "," "," ",87,6.6923076923 
"WAZP99-0750",2003,1,"R/R",07/30/2003,"1",18, , ,17,18,20, ,9,8,9,9,9,9,16,19,16," "," "," ",177,13.615384615 
"WAZP99-0768",2002,1,"R/R",09/15/2002,"1",18, , ,18,18,20, ,9,9,10,10,10,10,18,15,20," "," "," ",185,14.230769231 
"WAZP99-0783",2002,1,"R/R",07/16/2002,"1",17, , ,14,9,19, ,4,4,9,9,10,10,10,7,19," "," "," ",141,10.846153846 
"WAZP99-0828",2002,1,"R/R",08/13/2002,"1",12, , ,10,10,20, ,9,9,9,9,10,10,16,7,18," "," "," ",149,11.461538462 
"WAZP99-0833",2003,1,"R/R",06/10/2003,"1",14, , ,7,19,20, ,10,9,9,9,9,9,9,15,18," "," "," ",157,12.076923077 
"WAZP99-0839",2003,1,"R/R",05/06/2003,"1",13, , ,9,11,19, ,9,8,8,8,9,6,13,14,17," "," "," ",144,11.076923077 
"WAZP99-0840",2002,1,"G/P",08/14/2002,"1",4,14,1,18,6,19,14,2,2,1,1,1,1, , , ," "," "," ",84,6.4615384615 
"WAZP99-0851",2002,1,"G/P",08/20/2002,"1",12,16,9,18,6,20,10,9,9,5,5,10,10, , , ," "," "," ",139,10.692307692 
"WAZP99-0861",2003,1,"R/R",05/28/2003,"1",10, , ,14,14,17, ,1,1,2,2,6,6,8,7,12," "," "," ",100,7.6923076923 
"WAZP99-0863",2003,1,"R/R",05/14/2003,"1",14, , ,9,8,20, ,9,10,5,5,9,9,9,15,14," "," "," ",136,10.461538462 
"WAZP99-0868",2003,1,"R/R",06/03/2003,"1",18, , ,18,8,20, ,8,9,10,10,10,10,16,14,17," "," "," ",168,12.923076923 
"WAZP99-0876",2003,1,"G/P",06/17/2003,"1",7,6,2,4,16,17,10,5,7,5,5,7,7, , , ," "," "," ",98,7.5384615385 
