"SITE_ID","YEAR","VISIT_NO","DATE_COL","TEAM_ID","NINTRVL","SWIDTH","FLOW","FLOW_CFS","FLOWMETH","COMM_FLW","SAMPLED","XS_AREA" 
"WAZP99-0512",2000,1,06/04/2000,"1", ,7.6,0.97464,34.415,"ROUGH_EST"," ","Yes",  
"WAZP99-0537",2003,1,05/29/2003," ",14,6.8,0.08339,2.945,"VEL_DEPTH"," ","Yes",3929.38 
"WAZP99-0539",2000,1,05/22/2000,"1", ,6.5,0.6209,21.924,"ROUGH_EST"," ","Yes",  
"WAZP99-0545",2000,1,06/05/2000,"1", ,3.1,0.05919,2.09,"ROUGH_EST"," ","Yes",  
"WAZP99-0551",2000,1,05/24/2000,"1", ,3.2,0.11146,3.936,"ROUGH_EST"," ","Yes",  
"WAZP99-0568",2000,1,05/20/2000,"1", ,0.8,0.00142,0.05,"ROUGH_EST"," ","Yes",  
"WAZP99-0569",2000,1,06/06/2000,"1", , ,0.00253,0.089,"BUCKET"," ","Yes",  
"WAZP99-0590",2002,1,09/15/2002," ",14,3,0.37489,13.237,"VEL_DEPTH"," ","Yes",4918.71 
"WAZP99-0598",2000,1,05/23/2000,"1", ,2.3,0.02469,0.872,"ROUGH_EST"," ","Yes",  
"WAZP99-0599",2004,1,06/29/2004," ",20,8.55,0.41463,14.641,"VEL_DEPTH"," ","Yes",13537.5 
"WAZP99-0605",2000,1,06/07/2000,"1", ,3.8,0.05313,1.876,"ROUGH_EST"," ","Yes",  
"WAZP99-0615",2000,1,06/17/2000,"1", , ,0.0001,0.003,"BUCKET"," ","Yes",  
"WAZP99-0619",2000,1,06/19/2000,"1", ,19.6,4.61283,162.879,"ROUGH_EST"," ","Yes",  
"WAZP99-0632",2001,1,05/22/2001,"1",12,5.5,0.33655,11.884,"VEL_DEPTH"," ","Yes",6462.5 
"WAZP99-0639",2001,1,05/31/2001,"1",9,0.9,0.00581,0.205,"VEL_DEPTH"," ","Yes",232.5 
"WAZP99-0645",2001,1,06/13/2001,"1",15,1.4,0.02457,0.868,"VEL_DEPTH"," ","Yes",1271.6666667 
"WAZP99-0648",2001,1,06/01/2001,"1",19,5.4,0.45804,16.173,"VEL_DEPTH"," ","Yes",8505 
"WAZP99-0649",2001,1,05/25/2001,"1",9,11,0.02244,0.792,"VEL_DEPTH"," ","Yes",7654.1666667 
"WAZP99-0653",2001,1,06/28/2001,"1",11,1.3,0.01038,0.367,"VEL_DEPTH"," ","Yes",335.83333333 
"WAZP99-0669",2001,1,06/27/2001,"1",9,0.9,0.1548,5.466,"VEL_DEPTH"," ","Yes",315 
"WAZP99-0681",2001,1,06/19/2001,"1",11,4.8,0.17136,6.051,"VEL_DEPTH"," ","Yes",2300 
"WAZP99-0687",2001,1,05/30/2001,"1",11,1.2,0.0167,0.59,"VEL_DEPTH"," ","Yes",405 
"WAZP99-0701",2001,1,06/26/2001,"1",4,0.23,0.0009,0.032,"VEL_DEPTH"," ","Yes",15.333333333 
"WAZP99-0712",2002,1,08/01/2002," ",11,12,0.72915,25.746,"VEL_DEPTH"," ","Yes",9829.8 
"WAZP99-0716",2002,1,06/20/2002," ",9,0.81,0.02199,0.776,"VEL_DEPTH"," ","Yes",229.5 
"WAZP99-0722",2002,1,07/18/2002," ",12,1.1,0.00884,0.312,"VEL_DEPTH"," ","Yes",403.733 
"WAZP99-0744",2002,1,08/15/2002,"1", , ,0.00093,0.033,"BUCKET"," ","Yes",  
"WAZP99-0750",2003,1,07/30/2003," ",20,5.7,0.48486,17.12,"VEL_DEPTH"," ","Yes",14912.34 
"WAZP99-0768",2002,1,09/15/2002," ",15,0.05,0.00504,0.178,"VEL_DEPTH"," ","Yes",84.6455 
"WAZP99-0783",2002,1,07/16/2002," ",10,0.81,0.00229,0.081,"VEL_DEPTH"," ","Yes",1131.57 
"WAZP99-0828",2002,1,08/13/2002," ",12,2.6,0.03107,1.097,"VEL_DEPTH"," ","Yes",2271.776 
"WAZP99-0833",2003,1,06/10/2003," ",16,2.25,0.03428,1.21,"VEL_DEPTH"," ","Yes",2628.9 
"WAZP99-0839",2003,1,05/06/2003," ",13,0.6,0.00891,0.315,"VEL_DEPTH"," ","Yes",377.952 
