"SITE_ID","YEAR","VISIT_NO","LOC_NAME","DATE_COL","TEAM_ID","XSTATUS","VALXSTAT","SITESAMP","MLAT_DD","MLON_DD","XLAT_DD","XLON_DD","MLAT_DEG","MLAT_MIN","MLAT_SEC","MLON_DEG","MLON_MIN","MLON_SEC","XLAT_DEG","XLAT_MIN","XLAT_SEC","XLON_DEG","XLON_MIN","XLON_SEC","XDIMEN","XGPSCOOR","VER_STAT","GPS_VER","LOC_VER","SIG_VER","RDS_VER","TOP_VER","OTH_VER","RCHWIDTH","RCHUP","RCHDOWN","RCHLEN","COM_IM","STATE","TRCHLEN","XLONDD" 
"WAZP99-0512",2000,1,"GILA RIVER",06/04/2000,"1","SAMPLEABLE","WADEABLE","Y",32.870940,-109.197510,32.870833,-109.198611,32,52,15,109,11,51,32,52,15,109,11,55,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",13,260,260,520," ","AZ", ,  
"WAZP99-0537",2003,1,"LITTLE COLORADO RIVER",05/29/2003,"1","SAMPLEABLE","WADEABLE","Y",34.982440,-110.590390,34.981890,-110.589890,34,58,57,110,35,25,34,58,55,110,35,24,"3D","Y","VERIFIED","Y","N","N","N","N"," ",8,160,160,320," ","AZ", ,  
"WAZP99-0539",2000,1,"WEST CLEAR CREEK",05/22/2000,"1","SAMPLEABLE","WADEABLE","Y",34.520140,-111.783660,34.520000,-111.783889,34,31,13,111,47,1,34,31,12,111,47,2,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",18,75,75,150," ","AZ", ,  
"WAZP99-0545",2000,1,"BLACK RIVER",06/05/2000,"1","SAMPLEABLE","WADEABLE","Y",33.912400,-109.355810,33.912222,-109.355833,33,54,45,109,21,21,33,54,44,109,21,21,"3D","Y","VERIFIED","Y","Y","N","Y","Y"," ",3,75,75,150," ","AZ", ,  
"WAZP99-0551",2000,1,"COON CREEK",05/24/2000,"1","SAMPLEABLE","WADEABLE","Y",33.712580,-110.846570,33.714167,-110.847778,33,42,45,110,50,48,33,42,51,110,50,52,"3D","Y","VERIFIED","Y","N","N","Y","Y"," ",3,75,75,150," ","AZ", ,  
"WAZP99-0568",2000,1,"SANTA MARIA RIVER",05/20/2000,"1","SAMPLEABLE","INTWADE","Y",34.352570,-113.218080,34.352500,-113.219167,34,21,9,113,13,5,34,21,9,113,13,9,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",1,30,120,150," ","AZ", ,  
"WAZP99-0569",2000,1,"KP CREEK",06/06/2000,"1","SAMPLEABLE","WADEABLE","Y",33.591930,-109.322010,33.592222,-109.321944,33,35,31,109,19,19,33,35,32,109,19,19,"3D","Y","VERIFIED","Y","Y","N","N","Y"," ",3,75,75,150," ","AZ", ,  
"WAZP99-0590",2002,1,"BRIGHT ANGEL CANYON",09/15/2002,"1","SAMPLEABLE","WADEABLE","Y",36.117830,-112.082980,36.118460,-112.083830,36,7,4,112,4,59,36,7,6,112,5,2,"3D","Y","VERIFIED","Y","Y","Y","N","Y"," ",5,100,100,200,"CREW DID NOT RECORD MAP COORDINATES.  IM ADDED MAP DECIMAL DEGREE COORDINATES FROM DESIGN DATA SET.","AZ", ,  
"WAZP99-0598",2000,1,"CANYON CREEK",05/23/2000,"1","SAMPLEABLE","WADEABLE","Y",34.291930,-110.813250,34.291944,-110.813333,34,17,31,110,48,48,34,17,31,110,48,48,"3D","Y","VERIFIED","Y","N","N","N","Y"," ",3,75,75,150," ","AZ", ,  
"WAZP99-0599",2004,1,"GILA RIVER",06/29/2004,"1","SAMPLEABLE","WADEABLE","Y",32.840970,-109.579630,32.840710,-109.582060,32,50,27,109,34,47,32,50,27,109,34,55,"3D","Y","VERIFIED","Y","N","N","N","N"," ",10,200,200,400," ","AZ", ,  
