"SITE_ID","YEAR","VISIT_NO","INDEX_SAMPTYPE","PHYLUM","CLASS","ORDER","FAMILY","GENUS","ABUND","DISTINCT","HABIT","PTV","FLAG_PTV","FFG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CERATOPOGONIDAE","NA",5,"Y","SP",6," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","BRILLIA",5,"Y","BU",4.6," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CHAETOCLADIUS",1,"Y","SP",2.2," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CORYNONEURA",1,"Y","SP",3.5," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","CRYPTOCHIRONOMUS",1,"Y","SP",7," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","EUKIEFFERIELLA",8,"Y","SP",6.3," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","HELENIELLA",8,"Y","SP",7," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","HETEROTRISSOCLADIUS",1,"Y","SP",4," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","KRENOSMITTIA",1,"Y","SP",8," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","LIMNOPHYES",1,"Y","SP",1," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","MICROPSECTRA",47,"Y","CB,CN,SP",6," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","NA",42,"N","BU",6.2," ","CG,CF" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","ORTHOCLADIUS",2,"Y","SP",4.4," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","PAGASTIELLA",1,"Y","SP",2,"B","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","PARAMETRIOCNEMUS",18,"Y","SP",3.9," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","POLYPEDILUM",8,"Y","CB,CN",5.5," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","RHEOCRICOTOPUS",2,"Y","SP",5.3," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","STEMPELLINELLA",11,"Y","CB,CN",2," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","SYNORTHOCLADIUS",7,"Y"," ",3.1," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TANYTARSUS",48,"Y","CN",2.2," ","CF" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","THIENEMANNIMYIA",2,"Y","SP",5.1," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","CHIRONOMIDAE","TVETENIA",5,"Y","SP",5," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","DIXIDAE","MERINGODIXA",3,"Y","BU", ," "," " 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","CHELIFERA",2,"Y","BU,SP",3.5," ","CG,PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","EMPIDIDAE","CLINOCERA",2,"Y","CN",6," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","PELECORHYNCHIDAE","GLUTOPS",1,"Y","BU",3," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","PSYCHODIDAE","NA",1,"Y","BU", ," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","TABANIDAE","NA",1,"Y","SP",7.3," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","TIPULIDAE","DICRANOTA",7,"Y","BU,SP",4,"B","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","DIPTERA","TIPULIDAE","NA",1,"N","BU",3.8," ","SH,CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","AMELETIDAE","AMELETUS",1,"Y","SW",1,"B","CG,SC,SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","BAETIS",13,"Y","CN",3.4," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","CENTROPTILUM",8,"Y","SW",2,"B","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","NA",2,"N","SW",4.2," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","DRUNELLA",5,"Y","CN",1.2," ","PR,SC" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","EPHEMERELLIDAE","EPHEMERELLA",54,"Y","CN",1.6," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","CINYGMULA",1,"Y","CN",4," ","PR,SC" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","IRONODES",4,"Y","CN", ," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","HEPTAGENIIDAE","RHITHROGENA",5,"Y","CN",5.1," ","PR,SC" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","LEPTOPHLEBIIDAE","NA",1,"N","CN",2.1," ","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","EPHEMEROPTERA","LEPTOPHLEBIIDAE","PARALEPTOPHLEBIA",5,"Y","SW",1,"B","CG" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","MEGALOPTERA","SIALIDAE","SIALIS",1,"Y","BU",4," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","ODONATA","GOMPHIDAE","NA",12,"Y","BU", ," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","CAPNIIDAE","NA",10,"Y","SP",1.2," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","CHLOROPERLIDAE","NA",2,"N","CN",1.1," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","CHLOROPERLIDAE","SWELTSA",4,"Y","CN", ," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","LEUCTRIDAE","NA",1,"Y","CN",0.7," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","NA","NA",2,"N","CN",3," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","NEMOURIDAE","MALENKA",22,"Y","SP", ," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","NEMOURIDAE","NA",3,"N","CN",2.3," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","NEMOURIDAE","ZAPADA",1,"Y","SP",1.9," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","PELTOPERLIDAE","YORAPERLA",3,"Y"," ", ," "," " 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","PERLIDAE","CALINEURIA",3,"Y"," ", ," "," " 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","PERLIDAE","DORONEURIA",1,"Y","CN",1," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","PLECOPTERA","PERLIDAE","NA",5,"N","CN",1.4," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","BRACHYCENTRIDAE","AMIOCENTRUS",5,"Y","CN",1.5," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","BRACHYCENTRIDAE","MICRASEMA",13,"Y","CN",0.9," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","BRACHYCENTRIDAE","NA",4,"N","CB",1.9," ","CF" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","CALAMOCERATIDAE","HETEROPLECTRON",1,"Y","SP",2," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","GLOSSOSOMATIDAE","NA",1,"Y","CN",0.7," ","SC" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","HYDROPSYCHIDAE","HYDROPSYCHE",8,"Y","CN",3," ","CF,PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","HYDROPTILIDAE","NA",1,"Y","CB",3.8," ","PI" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","LEPIDOSTOMATIDAE","LEPIDOSTOMA",19,"Y","CB",3," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","LIMNEPHILIDAE","ALLOCOSMOECUS",1,"Y","SP",2," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","LIMNEPHILIDAE","NA",2,"N","CB",4.5," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","RHYACOPHILIDAE","RHYACOPHILA",5,"Y","CN",1.5," ","PR" 
"WORP99-0952",2003,1,"REACHWIDE","ARTHROPODA","INSECTA","TRICHOPTERA","SERICOSTOMATIDAE","GUMAGA",4,"Y","SP",1.1," ","SH" 
"WORP99-0952",2003,1,"REACHWIDE","NEMATODA","NA","NA","NA","NA",1,"Y"," ", ," ","SH" 
