"locationID","latitude","longitude","waterBody","projectCode"
4687,35.7675098,-101.322332,"Canadian River","NRSA"
4704,29.44390726,-99.99400813,"Nueces River","NRSA"
4702,32.92485108,-99.50661948,"Clear Fork Brazos River","NRSA"
4696,35.97240799,-100.8243878,"Canadian River","NRSA"
4690,33.10875253,-99.44199414,"Paint Creek","NRSA"
4703,35.45113932,-102.0050532,"Canadian River","NRSA"
4701,31.76247549,-100.1404814,"Colorado River","NRSA"
4700,34.56294962,-100.6273496,"Prairie Dog Town Fork Red River","NRSA"
4173,47.37906317,-102.7052533,"Spring Creek","NRSA"
3675,33.7605511,-116.5497488,"Andreas Canyon","NRSA"
3687,32.89961947,-116.5887422,"Sweetwater River","NRSA"
3760,39.3588435,-75.67549416,"Blackbird Creek","NRSA"
3761,38.82969236,-75.64627731,"Tributary to Quarter Branch","NRSA"
3765,38.82241361,-75.43040311,"Tributary to Hudson Pond","NRSA"
3766,39.70279006,-75.69404006,"Pike Creek","NRSA"
3901,39.01490805,-98.01046463,"Twelvemile Creek","NRSA"
3902,37.3952849,-98.92627961,"Turkey Creek","NRSA"
3903,38.19892655,-95.42768365,"Thomas Creek","NRSA"
3904,37.47701976,-98.36534065,"Chikaskia River","NRSA"
3907,37.78662431,-96.42997007,"Spring Creek","NRSA"
3919,37.99322599,-99.32134205,"Arkansas River","NRSA"
3922,39.01570904,-95.84061299,"Blacksmith Creek","NRSA"
3918,37.97450198,-101.7879598,"Arkansas River","NRSA"
3764,39.7302915,-75.59800358,"Little Mill Creek","NRSA"
4291,40.31657757,-116.901529,"Middle Fork Mill Creek","NRSA"
4329,41.88666095,-114.6866143,"Salmon Falls Creek","NRSA"
4291,40.31657757,-116.901529,"Mill Creek","NRSA"
4292,40.90311286,-115.224256,"Reed Creek","NRSA"
4293,39.21792949,-117.0595203,"Kingston Canyon","NRSA"
4294,41.41766741,-116.0342696,"Snow Creek","NRSA"
4295,41.71522014,-115.2289633,"Camp Creek","NRSA"
4296,38.32750793,-114.2774604,"Water Canyon","NRSA"
4297,41.80682461,-115.7046045,"Meadow Creek","NRSA"
4298,41.21398709,-116.3987168,"Bull Camp Creek","NRSA"
4299,41.92147277,-119.4433402,"Catnip","NRSA"
4300,40.74129868,-115.5543686,"Spring Creek","NRSA"
4301,41.01579472,-116.0832885,"Taylor Creek","NRSA"
4302,40.70240853,-116.5235212,"Humboldt River","NRSA"
4303,41.77179727,-117.8060453,"Quinn River","NRSA"
4304,41.3973601,-117.4646693,"Little Humboldt River","NRSA"
4305,41.40884387,-118.9109046,"Battle Creek","NRSA"
