locationID,eventDate,eventID,fieldNotes,samplingProtocol,verbatimD,beaverImpactFlow,year
4687001,2009-10-13,2941,,WADEABLE,1317,,2009
4687002,2009-06-24,2943,,WADEABLE,1318,,2009
4704,2009-08-06,2972,,WADEABLE,1322,,2009
4702,2009-10-15,2973,,WADEABLE,1323,,2009
4696,2009-06-25,2975,,WADEABLE,1326,,2009
4690001,2009-10-14,2977,,WADEABLE,1328,,2009
4690002,2009-07-08,2979,,WADEABLE,1329,,2009
4703,2009-06-23,2981,,WADEABLE,1330,,2009
4701,2008-09-09,2982,,WADEABLE,1331,,2008
4700,2009-07-09,2990,,WADEABLE,1337,,2009
4173,2008-07-22,13329,,WADEABLE,9694,,2008
3675001,2008-06-04,13466,,WADEABLE,9830,,2008
3687,2008-06-03,13469,,WADEABLE,9832,,2008
3760001,2008-07-14,13556,,WADEABLE,9920,,2008
3761,2008-07-08,13559,,WADEABLE,9922,,2008
3765,2008-07-07,13561,,WADEABLE,9923,,2008
3766,2008-07-29,13563,,WADEABLE,9924,,2008
3901001,2008-08-05,1,,WADEABLE,10000,,2008
3902001,2008-08-11,3,,WADEABLE,10001,,2008
3903,2008-07-22,5,,WADEABLE,10002,,2008
3904,2008-08-12,7,,WADEABLE,10003,,2008
3907,2008-07-15,9,,WADEABLE,10004,,2008
3919,2008-08-25,12,,WADEABLE,10006,,2008
3922,2008-07-08,14,,WADEABLE,10007,,2008
3918,2008-07-29,2002,,WADEABLE,10828,,2008
3760002,2008-09-03,2004,,WADEABLE,10829,,2008
3764,2008-08-13,2016,,WADEABLE,10842,,2008
4291001,2008-06-16,2021,,WADEABLE,10854,,2008
4329001,2008-08-06,2022,,WADEABLE,10856,,2008
4291002,2008-08-05,2023,,WADEABLE,10857,,2008
4292001,2008-07-09,2024,,WADEABLE,10858,,2008
4292002,2008-08-07,2033,,WADEABLE,10871,,2008
4293,2008-06-12,2034,,WADEABLE,10872,,2008
4294,2008-06-24,2035,,WADEABLE,10875,,2008
4295,2008-07-15,2036,,WADEABLE,10876,,2008
4296,2008-06-10,2040,,WADEABLE,10885,,2008
4297,2008-06-25,2041,,WADEABLE,10886,,2008
4298,2008-06-25,2043,,WADEABLE,10887,,2008
4299,2008-06-03,2045,,WADEABLE,10888,,2008
4300,2008-06-26,2047,,WADEABLE,10889,,2008
4301,2008-06-27,2049,,WADEABLE,10890,,2008
4302001,2008-07-22,2052,,WADEABLE,10893,,2008
4302002,2008-08-11,2053,,WADEABLE,10895,,2008
4303,2008-06-04,2054,,WADEABLE,10896,,2008
4304,2008-06-05,2055,,WADEABLE,10897,,2008
4305,2008-06-17,2056,,WADEABLE,10898,,2008
4306,2008-06-11,2057,,WADEABLE,10899,,2008
4307,2008-06-18,2059,,WADEABLE,10900,,2008
