"categoryID","table","measurementType","termID","measurementID","term","longName","description","examples","dataType","measurementUnit","AREMPField","AIMField","NRSAField","PIBOField"
1,"RecordLevel",NA,109,NA,"type","type","The nature or genre of the resource.","This will be ""Water Quality and Physical Habitat Structure"" for all values in this data set.","ControlledVocabulary",NA,NA,NA,NA,NA
2,"Location",NA,206,NA,"spatialReferenceID","geodeticDatum","The ellipsoid, geodetic datum, or spatial reference system (SRS) upon which the geographic coordinates given in decimalLatitude and decimalLongitude as based.",NA,"String",NA,NA,NA,NA,NA
4,"MeasurementOrFact",NA,401,NA,"measurementMethod",NA,"A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.","URL of the MonitoringResources.rog field and if avilable calcuation method","String",NA,NA,NA,NA,NA
4,"MeasurementOrFact",NA,NA,NA,"resultTypeCV",NA,"The nature of the measurement, fact, characteristic, or assertion. Recommended best practice is to use a controlled vocabulary.","tail length, ""temperature"", ""trap line length"", ""survey area"", ""trap type""","String",NA,NA,NA,NA,NA
3,"Event",NA,355,NA,"actionType",NA,NA,NA,"String",NA,NA,NA,NA,NA
4,"MeasurementOrFact",NA,356,NA,"measurementUnit",NA,"The units associated with the measurementValue. Recommended best practice is to use the International System of Units (SI).","mm, ""C"", ""km"", ""ha""","String",NA,NA,NA,NA,NA
5,"ControlledVocabulary","Channel Characteristics",357,11,"PctDry","Percent of Reach that is Dry","Percent of the reach that was dry","min: 0, max: 100","Numeric","percent",NA,"PCT_DRY","PCT_DRS","StrmFlow"
5,"ControlledVocabulary","Channel dimensions",358,9,NA,"Count of Transects","Number of transects in the reach.",NA,NA,NA,NA,NA,NA,NA
1,"RecordLevel",NA,359,NA,"datasetAbstract",NA,NA,NA,"String",NA,NA,NA,NA,NA
1,"RecordLevel",NA,360,NA,"collectionCode","rightsHolder","A person or organization owning or managing rights over the resource.","Example: BLM AIM, EPA NARS, USFS ARMEP","String",NA,NA,NA,NA,NA
1,"RecordLevel",NA,361,NA,"ContactName",NA,"Name of the contact person for the data source.",NA,"String",NA,NA,NA,NA,NA
1,"RecordLevel",NA,362,NA,"Phone",NA,"Phone number for the contact person.",NA,NA,NA,NA,NA,NA,NA
1,"RecordLevel",NA,363,NA,"Email",NA,"Email address for the contact person.",NA,NA,NA,NA,NA,NA,NA
1,"RecordLevel",NA,364,NA,"Address",NA,"Street address for the contact person.",NA,NA,NA,NA,NA,NA,NA
1,"RecordLevel",NA,365,NA,"City",NA,"City in which the contact person is located.",NA,NA,NA,NA,NA,NA,NA
1,"RecordLevel",NA,366,NA,"State",NA,"State in which the contact person is located. Use two letter abbreviations for US. For other countries give the full country name.",NA,NA,NA,NA,NA,NA,NA
