"","CategoryID","Category","FieldID","MeasurementID","VocabularyCatagory","Field","LongName","Description","Examples","DataType","Unit","AREMPField","NRSA2004Field","NRSA2008Field","AIMField","PIBOField"
"1",4,"ControlledVocabulary",1,1,"Channel dimensions","BFWidth","Average bankfull width from transects","Average bankfull width across transects.",NA,"Double","m","average_bfwidth","XBKF_W","XBKF_W","BNKFLL_WT","Bf"
"2",4,"ControlledVocabulary",2,1,"Channel dimensions","Grad","Gradient of stream reach","Mean slope of water surface (%) from the bottom of the reach to the top of the reach.","min: 0, max: 100","Double","%","gradient","XSLOPE","XSLOPE","SLPE","Grad"
"3",4,"ControlledVocabulary",3,1,"Channel dimensions","RchLen","Length of sampling reach","Length of sampling reach measured along the thalweg",NA,"Double","m","REACH_LENGTH","REACHLEN","REACHLEN","TOT_RCH_LEN","RchLen"
"4",4,"ControlledVocabulary",4,1,"Channel dimensions","BFWDRatio","Bankfull width to depth ratio at transects","Average Bankfull Width/Depth Ratio across transects.",NA,"Double","m","ave_widthDepth_ratio","BFWD_RAT","BFWD_RAT",NA,"WDTrans"
"5",4,"ControlledVocabulary",6,1,"Channel dimensions","WetWidth","Average wetted width from transects","Average wetted width across transects.",NA,"Double","m","wettedWidth_ave","XWIDTH","XWIDTH","WTTD_WT",NA
"6",4,"ControlledVocabulary",7,1,"Channel dimensions","WetWidthToDepth","Wetted width to depth ratio at transects","Mean Wetted Width/Thalweg Depth ratio",NA,"Double","ratio",NA,"XWD_RAT","XWD_RAT",NA,"WDWetTrans"
"7",4,"ControlledVocabulary",2,2,"Channel Characteristics","PctDry","Percent of Reach that is Dry","Percent of the reach that was dry","min: 0, max: 100","Double","%",NA,"PCT_DRS","PCT_DRS","PCT_DRY",NA
"8",4,"ControlledVocabulary",4,2,"Channel Characteristics","StreamOrder","Stream Order","Strahler stream order of the site from the provider dataset",NA,"Double","NA","StreamOrder",NA,"STRAHLERORDER","STRM_ORDR",NA
"9",4,"ControlledVocabulary",1,4,"Pools","RPD","Residual pool depth","Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth.",NA,"Double","m","ave_residual_depth",NA,NA,"RES_PL_DEP","PoolDp"
"10",4,"ControlledVocabulary",4,4,"Pools","PctPool","Percent pools","Percent of the sample reach (linear extent) classified as pool habitat","min: 0, max: 100","Double","%","PctReachInPools",NA,NA,"PCT_PL","PoolPct"
