"termID","term","dataType","AREMPFieldCW","AIMFieldCW","NRSAFieldCW","PIBOFieldCW"
1,"datasetID","Integer",NA,NA,NA,NA
2,"type","ControlledVocabulary",NA,NA,NA,NA
3,"datasetName","String",NA,NA,NA,NA
4,"bibilographicCitation","String",NA,NA,NA,NA
5,"modified","Date",NA,NA,NA,NA
6,"datasetOrginization","String",NA,NA,NA,NA
8,"institutionCode","String",NA,NA,NA,NA
NA,"projectName","String",NA,NA,NA,NA
NA,"projectCode","String",NA,NA,NA,NA
9,"datasetLink","String",NA,NA,NA,NA
10,"metadataID","String",NA,NA,NA,NA
11,"preProcessingCode","String",NA,NA,NA,NA
12,"locationID","String",NA,NA,NA,NA
13,"verbatimLocationID","String","SITE_ID","MS_CD","SITE_ID","SiteID"
14,"waterBody","String",NA,"STRM_NM",NA,"Stream"
15,"latitude","Numeric","lattitude","MIDLAT","LAT_DD83","Lat"
16,"longitude","Numeric","longitude","MIDLONG","LON_DD83","Long"
18,"locationRemark","String",NA,NA,NA,NA
19,"eventID","String",NA,NA,NA,NA
20,"verbatimEventID","String","site_survey_id","UID","UID","RchID"
22,"eventDate","Date","survey_date","DT","DATE_COL","SampDate"
23,"samplingProtocol","Integer","survey_type","PRTCL","VALXSITE","Type"
NA,"eventRemarks",NA,NA,NA,NA,NA
24,"year","Integer","survey_year",NA,"YEAR","Yr"
25,"resultsID","Integer",NA,NA,NA,NA
26,"resultTypeCV","String",NA,NA,NA,NA
27,"measurementID","Numeric",NA,NA,NA,NA
28,"measurementMethod","String",NA,NA,NA,NA
29,"measurementRemarks","String",NA,NA,NA,NA
30,"measurementValue","double",NA,NA,NA,NA
31,"measurementType","String",NA,NA,NA,NA
32,"measurementUnit","String",NA,NA,NA,NA
33,"EventRemarks","Numeric","beaver_impacted","BVR_SGN",NA,NA
35,"Sin","Numeric",NA,"SNSTY","SINU","Sin"
36,"StreamOrder","Numeric","StreamOrder","STRM_ORDR","STRAHLERORDER",NA
37,"AvgBFWDRatio","Numeric","ave_widthDepth_ratio",NA,"BFWD_RAT","WDTrans"
38,"BFHeight","Numeric","average_bfdepth","BNKFLL_HT","XBKF_H",NA
39,"BFWidth","Numeric","average_bfwidth","BNKFLL_WT","XBKF_W","Bf"
40,"countTransectsBFWidth","Numeric",NA,NA,NA,NA
41,"Grad","Numeric","gradient","SLPE","XSLOPE","Grad"
42,"MeanThalwegDepth","Numeric",NA,"ThalwegDepthMean","XDEPTH_CM",NA
43,"ReachLen","Numeric","REACH_LENGTH","TOT_RCH_LEN","REACHLEN","RchLen"
44,"WetWidth","Numeric","wettedWidth_ave","WTTD_WT","XWIDTH",NA
46,"PctPool","Numeric","PctReachInPools","PCT_PL",NA,"PoolPct"
47,"RPD","Numeric","ave_residual_depth","RES_PL_DEP",NA,"PoolDp"
48,"BankAngle","Numeric",NA,"BNK_AN",NA,"BankAngle"
49,"PctStab","Numeric",NA,"BNK_STBLTY",NA,"Stab"
50,"D16","Numeric",NA,"D16",NA,"D16"
51,"D50","Numeric","D50","D50","Sub_dmm","D50"
52,"D84","Numeric",NA,"D84",NA,"D84"
53,"PctBdrk","Numeric","bedrock_pcnt",NA,"PCT_BDRK",NA
54,"PctFines2","Numeric","pcnt_fines_tran2","PCT_FN","PCT_SAFN",NA
55,"PctFines6","Numeric","pect_fines_tran6","PCT_FN6",NA,NA
56,"PoolTailFines2","Numeric","pool_fines","PL_TL_FN",NA,"PTFines2"
57,"PoolTailFines6","Numeric",NA,"PL_TL_FN6",NA,"PTFines6"
58,"Conductivity","Numeric",NA,NA,"TSS","Cond"
59,"pH","Numeric",NA,"pH",NA,NA
60,"SpecificConductance","Numeric",NA,"SpecificConductance","COND",NA
61,"TotalNitrogen","Numeric",NA,"TotalNitrogen","NTL",NA
62,"TotalPhosphorous","Numeric",NA,"TotalPhosphorous","PTL",NA
63,"Turbidity","Numeric",NA,"TRBDTY","TURB",NA
115,"fieldNotes","String",NA,"PCT_DRY","PCT_DRS","StrmFlow"
