"measurementType","termID","term","longName","description","examples","dataType","measurementUnit","minimumPossibleValue","maximumPossibleValue"
"Channel Characteristics",14,"Sin","Sinuosity of Local Stream Reach","Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach)",NA,"Numeric",NA,"1","NA"
"Channel Characteristics",15,"StreamOrder","Stream Order","Strahler stream order of the site from the provider dataset",NA,"Numeric","NA","1","12"
"Channel dimensions",16,"AvgBFWDRatio","Bankfull width to depth ratio at transects","Average bankfull width/depth ratio for the reach.",NA,"Numeric","m","0","0"
"Channel dimensions",17,"BFHeight","Bankfull Height","Average bankfull height measured from water surface across transects.",NA,"Numeric","m","0","None"
"Channel dimensions",18,"BFWidth","Average bankfull width from transects","Average bankfull width across transects for the reach.",NA,"Numeric","m","0","None"
"Channel dimensions",19,"countTransectsBFWidth","Count of cross sections","Number of cross sections included in the average bankfull width calculation",NA,"Numeric","count of measurments","0","0"
"Channel dimensions",20,"Grad","Gradient of stream reach","Mean slope of water surface (percent) from the bottom of the reach to the top of the reach.","min: 0, max: 100","Numeric","percent","0","100"
"Channel dimensions",21,"MeanThalwegDepth","Average Thalweg Depth","Mean thalweg depth. Metric of how deep water was at the site.",NA,"Numeric","m","0","None"
"Channel dimensions",22,"ReachLen","Length of sampling reach","Length of sampling reach measured along the thalweg",NA,"Numeric","m","150","4000"
"Channel dimensions",23,"WetWidth","Average wetted width from transects","Average wetted width across transects.",NA,"Numeric","m","0","None"
"Pools",25,"PctPool","percent pools","percent of the sample reach (linear extent) classified as pool habitat","min: 0, max: 100","Numeric","percent","0","100"
"Pools",26,"RPD","Residual pool depth","Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth.",NA,"Numeric","m","0","None"
"Streambanks",27,"BankAngle","Bank angle","Measured angle of the stream bank;","min: 0, max: 180","Numeric","degrees","0","180"
"Streambanks",28,"PctStab","percent stable banks","percent of 42 banks lacking visible signs of active erosion (e.g., slump, slough, fracture) (units: percent, min: 0, max: 100, n= 42)","min: 0, max: 100","Numeric","percent","0","100"
"Substrate",29,"D16","Diameter of the 16th percentile streambed particle","Bed surface particle size corresponding to the 16th percentile of measured particles","min: 1, max: 4098","Numeric","mm","1","4098"
"Substrate",30,"D50","Diameter of the 50th percentile streambed particle","Median diameter of bed surface particle size corresponding to the areal median (50th percentile of measured particles) .","min: 1, max: 4098","Numeric","mm","1","4098"
"Substrate",31,"D84","Diameter of the 84th percentile streambed particle","Bed surface particle size corresponding to the 84th percentile of measured particles","min: 1, max: 4098","Numeric","mm","1","4098"
"Substrate",32,"PctBdrk","percent Bed Surface Bedrock","percent of the stream bed area that is composed of particles with a b-axis > 4098mm (bedrock)","min: 0, max: 100","Numeric","percent","0","0"
"Substrate",33,"PctFines2","percent of streambed particles <2mm","percent of the stream bed area that is comprised of particles with a b-axis < 2 mm","min: 0, max: 100","Numeric","percent","0","100"
"Substrate",34,"PctFines6","percent of streambed particles <6mm","percent of the stream bed area that is composed of particles with a b-axis < 6 mm","min: 0, max: 100","Numeric","percent","0","100"
"Substrate",35,"PoolTailFines2","percent pool tail fines < 2mm","Average percent fine sediment (< 2mm) on the pool tail","min: 0, max: 100","Numeric","percent","0","100"
"Substrate",36,"PoolTailFines6","percent pool tail fines < 6mm","Average percent fine sediment (< 6mm) on the pool tail","min: 0, max: 100","Numeric","percent","0","100"
"Water chemistry",37,"Conductivity","Conductivity","Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current. Used as a measure of mineral / ionic concentration.",NA,"Numeric","ppm","0","0"
"Water chemistry",38,"pH","pH","Measured pH value","min: 0, max: 14","Numeric","NA","0","14"
"Water chemistry",39,"SpecificConductance","Specific Conductance","Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C.","min: 0, max: 65500","Numeric","uS/cm","0","65500"
"Water chemistry",40,"TotalNitrogen","Total Nitrogen","Measured total nitrogen value",NA,"Numeric","ug/L","0","None"
"Water chemistry",41,"TotalPhosphorous","Total Phosphorous","Measured total phosphorous value",NA,"Numeric","ug/L","0","None"
"Water chemistry",42,"Turbidity","Turbidity","Average water clarity as measured by the suspended solids in the water column",NA,"Numeric","NTU","0","None"
