"measurementType","measurementTerm","LongName","Description","Examples","DataType","measurementUnit","AREMPField","AIMField","NewAIMField","NRSAField","PIBOField"
"Channel dimensions","BFWidth","Average bankfull width from transects","Average bankfull width across transects for the reach.",NA,"Numeric","m","average_bfwidth","BNKFLL_WT","BankfullWidthAvg","XBKF_W","Bf"
"Channel Characteristics","Sin","Sinuosity of Local Stream Reach","Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach)",NA,"Numeric",NA,NA,"SNSTY",NA,"SINU","Sin"
"Channel dimensions","Grad","Gradient of stream reach","Mean slope of water surface (%) from the bottom of the reach to the top of the reach.","min: 0, max: 100","Numeric","%","gradient","SLPE","PctSlope","XSLOPE","Grad"
"Channel Characteristics","PctDry","Percent of Reach that is Dry","Percent of the reach that was dry","min: 0, max: 100","Numeric","%",NA,"PCT_DRY","PctDru","PCT_DRS",NA
"Channel dimensions","ReachLen","Length of sampling reach","Length of sampling reach measured along the thalweg",NA,"Numeric","m","REACH_LENGTH","TOT_RCH_LEN","ProtocolReachLength","REACHLEN","RchLen"
"Channel Characteristics","Beaver","Beaver Sign at Reach","Beaver value from the provider dataset.",NA,"Numeric",NA,"beaver_impacted","BVR_SGN",NA,NA,NA
"Channel dimensions","AvgBFWDRatio","Bankfull width to depth ratio at transects","Average bankfull width/depth ratio for the reach.",NA,"Numeric","m","ave_widthDepth_ratio",NA,NA,"BFWD_RAT","WDTrans"
"Channel Characteristics","StreamOrder","Stream Order","Strahler stream order of the site from the provider dataset",NA,"Numeric","NA","StreamOrder","STRM_ORDR","StreamOrder","STRAHLERORDER",NA
"Channel dimensions","BFHeight","Bankfull Height","Average bankfull height measured from water surface across transects.",NA,"Numeric","m","average_bfdepth","BNKFLL_HT","BankfullHeightAvg","XBKF_H",NA
"Pools","RPD","Residual pool depth","Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth.",NA,"Numeric","m","ave_residual_depth","RES_PL_DEP","ResPoolDepthAvg",NA,"PoolDp"
"Channel dimensions","WetWidth","Average wetted width from transects","Average wetted width across transects.",NA,"Numeric","m","wettedWidth_ave","WTTD_WT","WettedWidthAvg","XWIDTH",NA
"Pools","PctPool","Percent pools","Percent of the sample reach (linear extent) classified as pool habitat","min: 0, max: 100","Numeric","%","PctReachInPools","PCT_PL","PctPools",NA,"PoolPct"
"Streambanks","BankAngle","Bank angle","Measured angle of the stream bank;","min: 0, max: 180","Numeric","degrees",NA,"BNK_AN",NA,NA,"BankAngle"
"Streambanks","PctStab","Percent stable banks","Percent of 42 banks lacking visible signs of active erosion (e.g., slump, slough, fracture) (units: %, min: 0, max: 100, n= 42)","min: 0, max: 100","Numeric","%",NA,"BNK_STBLTY",NA,NA,"Stab"
