Table,measurementType,measurementID,Term,LongName,Description,Examples,DataType,measurementUnit,AREMPField,AREMPCollectionMethodID,AREMPAnalysisMethodID,AIMField,NewAIMField,AIMCollectionMethodID,AIMAnalysisMethodID,NRSAField,NRSACollectionMethodID,NRSAAnalysisMethodID,PIBOField,PIBOCollectionMethodID,PIBOAnalysisMethodID
ControlledVocabulary,Streambanks,16,BankAngle,Bank angle,Measured angle of the stream bank;,"min: 0, max: 180",Numeric,degrees,NA,NA,NA,BNK_AN,NA,NA,NA,NA,NA,NA,BankAngle,www.monitoringresources.org/Document/Method/Details/68,NA
ControlledVocabulary,Streambanks,17,PctStab,Percent stable banks,"Percent of 42 banks lacking visible signs of active erosion (e.g., slump, slough, fracture) (units: %, min: 0, max: 100, n= 42)","min: 0, max: 100",Numeric,%,NA,NA,NA,BNK_STBLTY,NA,NA,NA,NA,NA,NA,Stab,www.monitoringresources.org/Document/Method/Details/69,NA
ControlledVocabulary,Channel dimensions,6,BFHeight,Bankfull Height,Average bankfull height measured from water surface across transects.,NA,Numeric,m,average_bfdepth,NA,NA,BNKFLL_HT,BankfullHeightAvg,NA,NA,XBKF_H,NA,NA,NA,NA,NA
ControlledVocabulary,Channel dimensions,1,BFWidth,Average bankfull width from transects,Average bankfull width across transects for the reach.,NA,Numeric,m,average_bfwidth,www.monitoringresources.org/Document/Method/Details/6849,NA,BNKFLL_WT,BankfullWidthAvg,https://www.monitoringresources.org/Document/CustomizedMethod/Details/31137,NA,XBKF_W,www.monitoringresources.org/Document/Method/Details/6870,NA,Bf,www.monitoringresources.org/Document/Method/Details/6871,NA
ControlledVocabulary,Channel Characteristics,12,Beaver,Beaver Sign at Reach,Beaver value from the provider dataset.,NA,Numeric,NA,beaver_impacted,NA,NA,BVR_SGN,NA,NA,NA,NA,NA,NA,NA,NA,NA
ControlledVocabulary,Substrate,21,D16,Diameter of the 16th percentile streambed particle,Bed surface particle size corresponding to the 16th percentile of measured particles,"min: 1, max: 4098",Numeric,mm,NA,www.monitoringresources.org/Document/Method/Details/6797,NA,D16,NA,www.monitoringresources.org/Document/Method/Details/6810,NA,NA,www.monitoringresources.org/Document/Method/Details/6874,NA,D16,www.monitoringresources.org/Document/Method/Details/6797,NA
ControlledVocabulary,Substrate,18,D50,Diameter of the 50th percentile streambed particle,Median diameter of bed surface particle size corresponding to the areal median (50th percentile of measured particles) .,"min: 1, max: 4098",Numeric,mm,D50,www.monitoringresources.org/Document/Method/Details/6797,NA,D50,D50,www.monitoringresources.org/Document/Method/Details/6801,NA,Sub_dmm,www.monitoringresources.org/Document/Method/Details/6874,NA,D50,www.monitoringresources.org/Document/Method/Details/6797,NA
ControlledVocabulary,Substrate,22,D84,Diameter of the 84th percentile streambed particle,Bed surface particle size corresponding to the 84th percentile of measured particles,"min: 1, max: 4098",Numeric,mm,NA,www.monitoringresources.org/Document/Method/Details/6797,NA,D84,NA,www.monitoringresources.org/Document/Method/Details/6810,NA,NA,www.monitoringresources.org/Document/Method/Details/6874,NA,D84,www.monitoringresources.org/Document/Method/Details/6797,NA
ControlledVocabulary,Water chemistry,60,Conductivity,Conductivity,"Measure of the concentration of ionized materials in water, or the ability of water to conduct electrical current. Used as a measure of mineral / ionic concentration.",NA,Numeric,ppm,NA,www.monitoringresources.org/Document/Method/Details/5537,NA,NA,NA,NA,NA,TSS,NA,NA,Cond,www.monitoringresources.org/Document/Method/Details/61,NA
ControlledVocabulary,Channel dimensions,5,AvgBFWDRatio,Bankfull width to depth ratio at transects,Average bankfull width/depth ratio for the reach.,NA,Numeric,m,ave_widthDepth_ratio,NA,NA,NA,NA,NA,NA,BFWD_RAT,NA,NA,WDTrans,NA,NA
ControlledVocabulary,Channel dimensions,9,countTransects,Count of Transects,Number of transects in the reach.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,www.monitoringresources.org/Document/Method/Details/65,NA
ControlledVocabulary,Channel dimensions,2,countTransectsBFWidth,Count of cross sections,Number of cross sections included in the average bankfull width calculation,NA,Numeric,count of measurments,NA,www.monitoringresources.org/Document/Method/Details/3806,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
ControlledVocabulary,Substrate,23,PctBdrk,Percent Bed Surface Bedrock,Percent of the stream bed area that is composed of particles with a b-axis > 4098mm (bedrock),"min: 0, max: 100",Numeric,%,bedrock_pcnt,www.monitoringresources.org/Document/Method/Details/6797,NA,NA,NA,www.monitoringresources.org/Document/Method/Details/6810,NA,PCT_BDRK,NA,NA,NA,NA,NA
ControlledVocabulary,Channel Characteristics,11,PctDry,Percent of Reach that is Dry,Percent of the reach that was dry,"min: 0, max: 100",Numeric,%,NA,NA,NA,PCT_DRY,PctDru,NA,NA,PCT_DRS,NA,NA,StrmFlow,NA,NA
ControlledVocabulary,Substrate,19,PctFines2,Percent of streambed particles <2mm,Percent of the stream bed area that is comprised of particles with a b-axis < 2 mm,"min: 0, max: 100",Numeric,%,pcnt_fines_tran2,www.monitoringresources.org/Document/Method/Details/6797,NA,PCT_FN,PctFinesLessThan2mm,www.monitoringresources.org/Document/Method/Details/6862,NA,PCT_SAFN,www.monitoringresources.org/Document/Method/Details/6874,NA,NA,www.monitoringresources.org/Document/Method/Details/6797,NA
ControlledVocabulary,Substrate,20,PctFines6,Percent of streambed particles <6mm,Percent of the stream bed area that is composed of particles with a b-axis < 6 mm,"min: 0, max: 100",Numeric,%,pect_fines_tran6,www.monitoringresources.org/Document/Method/Details/6797,NA,PCT_FN6,PctFinesLessThan6mm,www.monitoringresources.org/Document/Method/Details/6801,NA,NA,www.monitoringresources.org/Document/Method/Details/6874,NA,NA,www.monitoringresources.org/Document/Method/Details/6797,NA
ControlledVocabulary,Pools,15,PctPool,Percent pools,Percent of the sample reach (linear extent) classified as pool habitat,"min: 0, max: 100",Numeric,%,PctReachInPools,www.monitoringresources.org/Document/Method/Details/6844,www.monitoringresources.org/Document/Method/Details/3852,PCT_PL,PctPools,www.monitoringresources.org/Document/Method/Details/6859,NA,NA,www.monitoringresources.org/Document/Method/Details/6875,88,PoolPct,www.monitoringresources.org/Document/Method/Details/6872,www.monitoringresources.org/Document/Method/Details/55
ControlledVocabulary,Water chemistry,64,pH,pH,Measured pH value,"min: 0, max: 14",Numeric,NA,NA,NA,NA,pH,NA,NA,NA,NA,NA,NA,NA,www.monitoringresources.org/Document/Method/Details/61,NA
ControlledVocabulary,Substrate,24,PoolTailFines2,Percent pool tail fines < 2mm,Average percent fine sediment (< 2mm) on the pool tail,"min: 0, max: 100",Numeric,%,pool_fines,www.monitoringresources.org/Document/Method/Details/6798,NA,PL_TL_FN,NA,www.monitoringresources.org/Document/Method/Details/6862,NA,NA,NA,NA,PTFines2,www.monitoringresources.org/Document/Method/Details/6862,NA
ControlledVocabulary,Substrate,25,PoolTailFines6,Percent pool tail fines < 6mm,Average percent fine sediment (< 6mm) on the pool tail,"min: 0, max: 100",Numeric,%,NA,NA,NA,PL_TL_FN6,NA,www.monitoringresources.org/Document/Method/Details/6862,NA,NA,NA,NA,PTFines6,www.monitoringresources.org/Document/Method/Details/6862,NA
ControlledVocabulary,Pools,14,RPD,Residual pool depth,Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth.,NA,Numeric,m,ave_residual_depth,www.monitoringresources.org/Document/Method/Details/6844,NA,RES_PL_DEP,ResPoolDepthAvg,www.monitoringresources.org/Document/Method/Details/6859,NA,NA,www.monitoringresources.org/Document/Method/Details/6875,NA,PoolDp,www.monitoringresources.org/Document/Method/Details/6872,NA
ControlledVocabulary,Channel dimensions,3,Grad,Gradient of stream reach,Mean slope of water surface (%) from the bottom of the reach to the top of the reach.,"min: 0, max: 100",Numeric,%,gradient,www.monitoringresources.org/Document/Method/Details/6852,NA,SLPE,PctSlope,https://www.monitoringresources.org/Document/CustomizedMethod/Details/31139,NA,XSLOPE,www.monitoringresources.org/Document/Method/Details/6852,NA,Grad,www.monitoringresources.org/Document/Method/Details/6868,NA
ControlledVocabulary,Channel Characteristics,10,Sin,Sinuosity of Local Stream Reach,Reach sinuosity (reach length along the thalweg divided by straight line distance between the bottom of the reach and the top of the reach),NA,Numeric,NA,NA,NA,NA,SNSTY,NA,NA,NA,SINU,NA,NA,Sin,NA,NA
ControlledVocabulary,Water chemistry,63,SpecificConductance,Specific Conductance,Measured specific conductance value. The specific conductance is conductivity standardized to 25 degrees C.,"min: 0, max: 65500",Numeric,uS/cm,NA,NA,NA,SpecificConductance,NA,NA,NA,COND,NA,NA,NA,NA,NA
ControlledVocabulary,Channel Characteristics,13,StreamOrder,Stream Order,Strahler stream order of the site from the provider dataset,NA,Numeric,NA,StreamOrder,NA,NA,STRM_ORDR,StreamOrder,NA,NA,STRAHLERORDER,NA,NA,NA,NA,NA
ControlledVocabulary,Channel dimensions,8,MeanThalwegDepth,Average Thalweg Depth,Mean thalweg depth. Metric of how deep water was at the site.,NA,Numeric,m,NA,NA,NA,ThalwegDepthMean,NA,NA,NA,XDEPTH_CM,NA,NA,NA,NA,NA
ControlledVocabulary,Channel dimensions,4,ReachLen,Length of sampling reach,Length of sampling reach measured along the thalweg,NA,Numeric,m,REACH_LENGTH,www.monitoringresources.org/Document/Method/Details/3807,NA,TOT_RCH_LEN,ProtocolReachLength,NA,NA,REACHLEN,NA,NA,RchLen,www.monitoringresources.org/Document/Method/Details/6868,NA
ControlledVocabulary,Water chemistry,61,TotalNitrogen,Total Nitrogen,Measured total nitrogen value,NA,Numeric,ug/L,NA,NA,NA,TotalNitrogen,NA,NA,NA,NTL,NA,NA,NA,NA,NA
ControlledVocabulary,Water chemistry,62,TotalPhosphorous,Total Phosphorous,Measured total phosphorous value,NA,Numeric,ug/L,NA,NA,NA,TotalPhosphorous,NA,NA,NA,PTL,NA,NA,NA,NA,NA
ControlledVocabulary,Water chemistry,65,Turbidity,Turbidity,Average water clarity as measured by the suspended solids in the water column,NA,Numeric,NTU,NA,NA,NA,TRBDTY,NA,NA,NA,TURB,NA,NA,NA,NA,NA
ControlledVocabulary,Channel dimensions,7,WetWidth,Average wetted width from transects,Average wetted width across transects.,NA,Numeric,m,wettedWidth_ave,NA,NA,WTTD_WT,WettedWidthAvg,NA,NA,XWIDTH,NA,NA,NA,NA,NA
