"termID","term","dataType","AREMPFieldCW","AIMFieldCW","NRSAFieldCW","PIBOFieldCW"
NA,"bibilographicCitation","String",NA,NA,NA,NA
1,"datasetID","Integer",NA,NA,NA,NA
NA,"datasetLink","String",NA,NA,NA,NA
NA,"datasetName","String",NA,NA,NA,NA
NA,"datasetOrginization","String",NA,NA,NA,NA
NA,"type","ControlledVocabulary",NA,NA,NA,NA
8,"institutionCode","String",NA,NA,NA,NA
9,"metadataID","String",NA,NA,NA,NA
10,"modified","Date",NA,NA,NA,NA
11,"preProcessingCode","String",NA,NA,NA,NA
NA,"projectCode","String",NA,NA,NA,NA
NA,"projectName","String",NA,NA,NA,NA
1,"latitude","Numeric","lattitude","MIDLAT","LAT_DD83","Lat"
2,"locationID","String",NA,NA,NA,NA
3,"locationRemarks","String",NA,NA,NA,NA
4,"longitude","Numeric","longitude","MIDLONG","LON_DD83","Long"
5,"verbatimLocationID","String","SITE_ID","MS_CD","SITE_ID","SiteID"
7,"waterBody","String",NA,"STRM_NM",NA,"Stream"
8,"eventDate","Date","survey_date","DT","DATE_COL","SampDate"
9,"eventID","String",NA,NA,NA,NA
NA,"eventRemarks","String",NA,NA,NA,NA
1,"fieldNotes","String",NA,"PCT_DRY","PCT_DRS","StrmFlow"
2,"samplingProtocol","Integer","survey_type","PRTCL","VALXSITE","Type"
3,"verbatimEventID","String","site_survey_id","UID","UID","RchID"
4,"measurementID","Numeric",NA,NA,NA,NA
5,"measurementMethod","String",NA,NA,NA,NA
6,"measurementRemarks","String",NA,NA,NA,NA
7,"measurementType","String",NA,NA,NA,NA
9,"measurementValue","Numeric",NA,NA,NA,NA
10,"resultsID","Integer",NA,NA,NA,NA
11,"resultTypeCV","String",NA,NA,NA,NA
12,"EventRemarks","Numeric","beaver_impacted","BVR_SGN",NA,NA
13,"PctDry","Numeric",NA,"PCT_DRY","PCT_DRS","StrmFlow"
14,"Sin","Numeric",NA,"SNSTY","SINU","Sin"
15,"StreamOrder","Numeric","StreamOrder","STRM_ORDR","STRAHLERORDER",NA
16,"AvgBFWDRatio","Numeric","ave_widthDepth_ratio",NA,"BFWD_RAT","WDTrans"
17,"BFHeight","Numeric","average_bfdepth","BNKFLL_HT","XBKF_H",NA
18,"BFWidth","Numeric","average_bfwidth","BNKFLL_WT","XBKF_W","Bf"
19,"countTransectsBFWidth","Numeric",NA,NA,NA,NA
20,"Grad","Numeric","gradient","SLPE","XSLOPE","Grad"
21,"MeanThalwegDepth","Numeric",NA,"ThalwegDepthMean","XDEPTH_CM",NA
22,"ReachLen","Numeric","REACH_LENGTH","TOT_RCH_LEN","REACHLEN","RchLen"
23,"WetWidth","Numeric","wettedWidth_ave","WTTD_WT","XWIDTH",NA
25,"PctPool","Numeric","PctReachInPools","PCT_PL",NA,"PoolPct"
26,"RPD","Numeric","ave_residual_depth","RES_PL_DEP",NA,"PoolDp"
27,"BankAngle","Numeric",NA,"BNK_AN",NA,"BankAngle"
28,"PctStab","Numeric",NA,"BNK_STBLTY",NA,"Stab"
29,"D16","Numeric",NA,"D16",NA,"D16"
30,"D50","Numeric","D50","D50","Sub_dmm","D50"
31,"D84","Numeric",NA,"D84",NA,"D84"
32,"PctBdrk","Numeric","bedrock_pcnt",NA,"PCT_BDRK",NA
33,"PctFines2","Numeric","pcnt_fines_tran2","PCT_FN","PCT_SAFN",NA
34,"PctFines6","Numeric","pect_fines_tran6","PCT_FN6",NA,NA
35,"PoolTailFines2","Numeric","pool_fines","PL_TL_FN",NA,"PTFines2"
36,"PoolTailFines6","Numeric",NA,"PL_TL_FN6",NA,"PTFines6"
37,"Conductivity","Numeric",NA,NA,"TSS","Cond"
38,"pH","Numeric",NA,"pH",NA,NA
39,"SpecificConductance","Numeric",NA,"SpecificConductance","COND",NA
40,"TotalNitrogen","Numeric",NA,"TotalNitrogen","NTL",NA
41,"TotalPhosphorous","Numeric",NA,"TotalPhosphorous","PTL",NA
42,"Turbidity","Numeric",NA,"TRBDTY","TURB",NA
93,"year","Numeric","survey_year",NA,"YEAR","Yr"
