"CategoryID","TermID","Category","Term","Description","Examples","DataType"
3,1,"Event","verbatimEventID","Unique number that identifies one sample of a particular site.","In habitat datasets this is often referred to as the ReachID. This ID identifying a unique visit to a location, while the SiteID corresponds to the LocationID. We use eventID to corresponds to Darwin Core standard.","String"
3,2,"Event","eventID","An identifier for the set of information associated with an Event (something that occurs at a place and time). May be a global unique identifier or an identifier specific to the data set.",NA,"String"
3,3,"Event","samplingProtocol","The name of, reference to, or description of the method or protocol used during an Event.","UV light trap, ""mist net"", ""bottom trawl"", ""ad hoc observation"", ""point count"", ""Penguins from space: faecal stains reveal the location of emperor penguin colonies, http://dx.doi.org/10.1111/j.1466-8238.2009.00467.x"", ""Takats et al. 2001. Guidelines for Nocturnal Owl Monitoring in North America. Beaverhill Bird Observatory and Bird Studies Canada, Edmonton, Alberta. 32 pp."", ""http://www.bsc-eoc.org/download/Owl.pdf""","Integer"
3,4,"Event","verbatimEventDate","The verbatim original representation of the date and time information for an Event.","spring 1910, ""Marzo 2002"", ""1999-03-XX"", ""17IV1934""","Date"
3,5,"Event","EventDate","The date-time or interval during which an Event occurred. For occurrences, this is the date-time when the event was recorded. Not suitable for a time in a geological context. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","1963-03-08T14:07-0600 is 8 Mar 1963 2:07pm in the time zone six hours earlier than UTC, ""2009-02-20T08:40Z"" is 20 Feb 2009 8:40am UTC, ""1809-02-12"" is 12 Feb 1809, ""1906-06"" is Jun 1906, ""1971"" is just that year, ""2007-03-01T13:00:00Z/2008-05-11T15:30:00Z"" is the interval between 1 Mar 2007 1pm UTC and 11 May 2008 3:30pm UTC, ""2007-11-13/15"" is the interval between 13 Nov 2007 and 15 Nov 2007.","Date"
3,6,"Event","verbatimEventTime","The time or interval during which an Event occurred. Recommended best practice is to use an encoding scheme, such as ISO 8601:2004(E).","14:07-0600 is 2:07pm in the time zone six hours earlier than UTC, ""08:40:21Z"" is 8:40:21am UTC, ""13:00:00Z/15:30:00Z"" is the interval between 1pm UTC and 3:30pm UTC.","Date"
3,7,"Event","day","The integer day of the month on which the Event occurred.","9, ""28""","Date"
3,8,"Event","month","The ordinal month in which the Event occurred.","1 (=January), ""10"" (=October)","Date"
3,9,"Event","year","The four-digit year in which the Event occurred, according to the Common Era Calendar.","2008","Integer"
3,10,"Event","fieldNumber","An identifier given to the event in the field. Often serves as a link between field notes and the Event.","RV Sol 87-03-08","String"
3,11,"Event","fieldNotes","One of a) an indicator of the existence of, b) a reference to (publication, URI), or c) the text of notes taken in the field about the Event.","notes available in Grinnell-Miller Library","String"
3,12,"Event","eventRemark","Comments or notes about the Event.","after the recent rains the river is nearly at flood stage","String"
