"tblname","label","definition","rdommin","rdommax","dataType","examples","standard"
"MeasurementorFact",NA,"Comma Separated Value (CSV) file containing MeasurementorFact data for the Integrated Stream Habitat Data. This table corresponds to the 'MeasurementorFact' table in the database (.accdb) file.",NA,NA,NA,NA,NA
"MeasurementorFact","eventID","Global unique identifier assigned to an Event (something that occurs at a place and time, such as a survey or measurement).",NA,NA,NA,NA,NA
"MeasurementorFact","measurementDeterminedBy","The acronym for the monitoring program from which this measurement originated.",NA,NA,NA,NA,NA
"MeasurementorFact","measurementID","Global unique identifier assigned to the variable/measurementType.",NA,NA,"Numeric",NA,"Darwin Core"
"MeasurementorFact","measurementMethod","A description of or reference to (publication, URI) the method or protocol used to determine the measurement, fact, characteristic, or assertion.",NA,NA,"String","URL of the MonitoringResources.rog field and if avilable calcuation method","Darwin Core"
"MeasurementorFact","measurementRemarks","Comments or notes accompanying the MeasurementOrFact.",NA,NA,"String","tip of tail missing","Darwin Core"
"MeasurementorFact","measurementType","The variable or name of the measurement.",NA,NA,"String","Grad, WetWidth, ReachLen","Darwin Core"
"MeasurementorFact","measurementValue","The value of the measurementTerm attribute measured in units given in the measurementTerm definitions.",NA,NA,"double","45, ""20"", ""1"", ""14.5"", ""UV-light""","Darwin Core"
"MeasurementorFact","resultID","Unique global identifier for each result measurement.",NA,NA,"Integer","5","Producer defned"
"MeasurementorFact","resultTypeCV","The category of measurement type to which the measurement belongs. This is the same category as that in the 'measurementType' attribute in the MetricCV table.",NA,NA,"String","tail length, ""temperature"", ""trap line length"", ""survey area"", ""trap type""","Producer defned"
