"tblname","term","definition","rdommin","rdommax","dataType","examples","standard"
"MetricCV","measurementType","The category of measurement type to which the measurement belongs. This is the same category as that in the 'resultTypeCV' attribute in the MeasurementorFact table.",NA,NA,"String",NA,NA
"MetricCV","termID","Global unique identifier assigned to the variable/measurementType. This is the same as the 'variableID' in the MeasurementorFact table.",NA,NA,"Integer",NA,NA
"MetricCV","term","The variable or name of the measurement. This is the same as the 'measurementTerm' in the MeasurementorFact table.",NA,NA,"String",NA,NA
"MetricCV","longName","A more descriptive name for the 'term' attribute where the abbreviated acronyms are spelled out (e.g., the term PctDry is Percent Dry and the term BFHeight is Bankfull Height.)",NA,NA,"String",NA,NA
"MetricCV","description","The term description as defined in the Integrated Data Set.",NA,NA,"String",NA,NA
"MetricCV","examples","Minimum and maximum numeric legal limits for values of the 'term' data (e.g., values for a percent for PctDry must be between 0 and 100).",NA,NA,"String",NA,NA
"MetricCV","dataType","The type of data assigned to the value of a term.",NA,NA,"String",NA,NA
"MetricCV","measurementUnit","The unit of measurement associated with the term.",NA,NA,"String",NA,NA
"MetricCV","minimumPossibleValue","The minimum possible legal value for this term.",NA,NA,NA,NA,NA
"MetricCV","maximumPossibleValue","The maximum possible legal value for this term.",NA,NA,NA,NA,NA
