"CategoryID","Category","TermID","MeasurementID","VocabularyCatagory","Term","LongName","Description","Examples","DataType","Unit","AREMPField","AREMPCollectionMethodID","NRSAField","NRSACollectionMethodID","AIMField","AIMCollectionMethodID","PIBOField","PIBOCollectionMethodID"
5,"ControlledVocabulary",1,1,"Channel dimensions","BFWidth","Average bankfull width from transects","Average bankfull width across transects.",NA,"Numeric","m","average_bfwidth",6849,"XBKF_W",6870,"BNKFLL_WT","https://www.monitoringresources.org/Document/CustomizedMethod/Details/31137","Bf",6871
5,"ControlledVocabulary",2,1,"Channel dimensions","Grad","Gradient of stream reach","Mean slope of water surface (%) from the bottom of the reach to the top of the reach.","min: 0, max: 100","Numeric","%","gradient",6852,"XSLOPE",6852,"SLPE","https://www.monitoringresources.org/Document/CustomizedMethod/Details/31139","Grad",6868
5,"ControlledVocabulary",3,1,"Channel dimensions","RchLen","Length of sampling reach","Length of sampling reach measured along the thalweg",NA,"Numeric","m","REACH_LENGTH",NA,"REACHLEN",NA,"TOT_RCH_LEN",NA,"RchLen",NA
5,"ControlledVocabulary",4,1,"Channel dimensions","BFWDRatio","Bankfull width to depth ratio at transects","Average Bankfull Width/Depth Ratio across transects.",NA,"Numeric","m","ave_widthDepth_ratio",NA,"BFWD_RAT",NA,NA,NA,"WDTrans",NA
5,"ControlledVocabulary",6,1,"Channel dimensions","WetWidth","Average wetted width from transects","Average wetted width across transects.",NA,"Numeric","m","wettedWidth_ave",NA,"XWIDTH",NA,"WTTD_WT",NA,NA,NA
5,"ControlledVocabulary",7,1,"Channel dimensions","WetWidthToDepth","Wetted width to depth ratio at transects","Mean Wetted Width/Thalweg Depth ratio",NA,"Numeric","ratio",NA,NA,"XWD_RAT",NA,NA,NA,"WDWetTrans",NA
5,"ControlledVocabulary",26,1,"Channel dimensions","countTransects","Count of Transects","Number of transects in the reach.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,"ControlledVocabulary",2,2,"Channel Characteristics","PctDry","Percent of Reach that is Dry","Percent of the reach that was dry","min: 0, max: 100","Numeric","%",NA,NA,"PCT_DRS",NA,"PCT_DRY",NA,NA,NA
5,"ControlledVocabulary",3,2,"Channel Characteristics","Beaver","Beaver Sign at Reach","Beaver value from the provider dataset.",NA,"String",NA,NA,NA,NA,NA,"BVR_SGN",NA,NA,NA
5,"ControlledVocabulary",4,2,"Channel Characteristics","StreamOrder","Stream Order","Strahler stream order of the site from the provider dataset",NA,"Numeric","NA","StreamOrder",NA,"STRAHLERORDER",NA,"STRM_ORDR",NA,NA,NA
5,"ControlledVocabulary",1,4,"Pools","RPD","Residual pool depth","Average of the residual pool depth values for all pools in a reach. Residual pool depth the difference of the pool tail depth from the max depth.",NA,"Numeric","m","ave_residual_depth",NA,NA,NA,"RES_PL_DEP",NA,"PoolDp",NA
